Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,4,0,0
3/9/20,4,0,0
3/10/20,5,0,0
3/11/20,7,0,0
3/12/20,7,0,0
3/13/20,7,0,0
3/14/20,11,0,0
3/15/20,16,0,0
3/16/20,21,0,1
3/17/20,22,0,1
3/18/20,22,0,1
3/19/20,22,0,1
3/20/20,24,0,1
3/21/20,24,0,1
3/22/20,40,1,1
3/23/20,40,1,1
3/24/20,74,1,1
3/25/20,84,2,2
3/26/20,94,4,2
3/27/20,110,4,2
3/28/20,110,4,2
3/29/20,120,4,2
3/30/20,170,4,2
3/31/20,174,4,5
4/1/20,237,4,5
4/2/20,273,6,10
4/3/20,281,6,10
4/4/20,299,7,10
4/5/20,349,7,15
4/6/20,367,11,18
4/7/20,423,14,18
4/8/20,444,14,29
4/9/20,484,15,32
4/10/20,521,15,32
4/11/20,555,18,32
4/12/20,607,18,32
4/13/20,665,21,32
4/14/20,714,23,40
4/15/20,784,25,43
4/16/20,840,30,54
4/17/20,906,30,99
4/18/20,933,30,112
4/19/20,996,33,131
4/20/20,1026,36,135
4/21/20,1092,36,150
4/22/20,1176,40,166
4/23/20,1279,42,179
4/24/20,1351,43,188
4/25/20,1463,47,188
4/26/20,1531,50,207
4/27/20,1703,57,220
4/28/20,1828,58,228
4/29/20,1939,60,252
4/30/20,2171,64,260
5/1/20,2335,68,310
5/2/20,2469,72,331
5/3/20,2704,85,345
5/4/20,2894,90,397
5/5/20,3224,95,421
5/6/20,3392,104,458
5/7/20,3563,106,468
5/8/20,3778,109,472
5/9/20,4033,115,502
5/10/20,4402,120,558
5/11/20,4687,122,558
5/12/20,4963,127,610
5/13/20,5226,132,648
5/14/20,5639,136,691
5/15/20,6053,153,745
5/16/20,6402,168,745
5/17/20,6664,169,778
5/18/20,7072,173,801
5/19/20,7653,178,850
5/20/20,8145,187,930
5/21/20,8676,193,938
5/22/20,9216,205,996
5/23/20,9998,216,1040
5/24/20,10582,218,1075
5/25/20,11173,219,1097
5/26/20,11831,220,1128
5/27/20,12456,227,1138
5/28/20,13036,235,1209
5/29/20,13659,246,1259
5/30/20,14525,249,1303
5/31/20,15205,257,1328
6/1/20,15750,265,1428
6/2/20,16509,270,1450
6/3/20,17267,294,1522
6/4/20,18054,300,1585
6/5/20,18969,309,1762
6/6/20,19551,327,1830
6/7/20,20342,357,1875
6/8/20,20917,369,2171
6/9/20,21459,384,2651
6/10/20,22142,405,3013
6/11/20,22890,426,3326
6/12/20,23546,446,3928
6/13/20,24102,451,4201
6/14/20,24766,471,4725
6/15/20,25527,478,5164
6/16/20,26310,491,5508
6/17/20,26874,504,6158
