Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,2,0,0
3/10/20,10,0,0
3/11/20,12,1,0
3/12/20,23,1,0
3/13/20,33,1,0
3/14/20,38,1,0
3/15/20,42,1,0
3/16/20,51,1,0
3/17/20,55,1,0
3/18/20,59,2,0
3/19/20,64,2,0
3/20/20,70,2,0
3/21/20,76,2,2
3/22/20,89,2,2
3/23/20,104,4,2
3/24/20,123,5,10
3/25/20,146,5,17
3/26/20,174,6,17
3/27/20,186,8,31
3/28/20,197,10,31
3/29/20,212,10,33
3/30/20,223,11,44
3/31/20,243,15,52
4/1/20,259,15,67
4/2/20,277,16,76
4/3/20,304,17,89
4/4/20,333,20,99
4/5/20,361,20,104
4/6/20,377,21,116
4/7/20,383,22,131
4/8/20,400,22,154
4/9/20,409,23,165
4/10/20,416,23,182
4/11/20,433,23,197
4/12/20,446,23,217
4/13/20,467,23,232
4/14/20,475,24,248
4/15/20,494,25,251
4/16/20,518,26,277
4/17/20,539,26,283
4/18/20,548,26,302
4/19/20,562,26,314
4/20/20,584,26,327
4/21/20,609,26,345
4/22/20,634,27,356
4/23/20,663,27,385
4/24/20,678,27,394
4/25/20,712,27,403
4/26/20,726,28,410
4/27/20,736,28,422
4/28/20,750,30,431
4/29/20,766,30,455
4/30/20,773,31,470
5/1/20,782,31,488
5/2/20,789,31,519
5/3/20,795,31,531
5/4/20,803,31,543
5/5/20,820,31,570
5/6/20,832,31,595
5/7/20,842,31,605
5/8/20,850,31,620
5/9/20,856,31,627
5/10/20,868,31,650
5/11/20,872,31,654
5/12/20,876,31,682
5/13/20,880,31,688
5/14/20,898,31,694
5/15/20,916,31,705
5/16/20,933,31,714
5/17/20,946,31,715
5/18/20,948,31,727
5/19/20,949,31,742
5/20/20,964,31,758
5/21/20,969,31,771
5/22/20,981,31,777
5/23/20,989,31,783
5/24/20,998,32,789
5/25/20,1004,32,795
5/26/20,1029,33,803
5/27/20,1050,33,812
5/28/20,1076,33,823
5/29/20,1099,33,851
5/30/20,1122,33,857
5/31/20,1137,33,872
6/1/20,1143,33,877
6/2/20,1164,33,891
6/3/20,1184,33,898
6/4/20,1197,33,898
6/5/20,1212,33,910
6/6/20,1232,34,925
6/7/20,1246,34,938
6/8/20,1263,34,945
6/9/20,1299,34,960
6/10/20,1341,34,980
6/11/20,1385,35,1001
6/12/20,1416,36,1034
6/13/20,1464,36,1039
6/14/20,1521,36,1044
6/15/20,1590,36,1055
6/16/20,1672,37,1064
6/17/20,1722,38,1077
