Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,1,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,3,0,0
3/3/20,5,0,0
3/4/20,12,0,0
3/5/20,12,0,0
3/6/20,17,0,0
3/7/20,17,0,0
3/8/20,19,0,0
3/9/20,20,0,0
3/10/20,20,0,0
3/11/20,20,0,0
3/12/20,24,1,8
3/13/20,26,2,8
3/14/20,37,3,12
3/15/20,48,4,12
3/16/20,54,4,12
3/17/20,60,4,12
3/18/20,74,7,12
3/19/20,87,9,32
3/20/20,90,11,32
3/21/20,139,15,32
3/22/20,201,17,65
3/23/20,230,17,65
3/24/20,264,19,24
3/25/20,302,21,65
3/26/20,367,25,29
3/27/20,409,26,29
3/28/20,454,29,31
3/29/20,511,31,31
3/30/20,584,35,37
3/31/20,716,44,46
4/1/20,847,58,61
4/2/20,986,86,61
4/3/20,1171,105,62
4/4/20,1251,130,90
4/5/20,1320,152,90
4/6/20,1423,173,90
4/7/20,1468,193,113
4/8/20,1572,205,237
4/9/20,1666,235,347
4/10/20,1761,256,405
4/11/20,1825,275,460
4/12/20,1914,293,591
4/13/20,1983,313,601
4/14/20,2070,326,691
4/15/20,2160,336,708
4/16/20,2268,348,783
4/17/20,2418,364,846
4/18/20,2534,367,894
4/19/20,2629,375,1047
4/20/20,2718,384,1099
4/21/20,2811,392,1152
4/22/20,2910,402,1204
4/23/20,3007,407,1355
4/24/20,3127,415,1408
4/25/20,3256,419,1479
4/26/20,3382,425,1508
4/27/20,3517,432,1558
4/28/20,3649,437,1651
4/29/20,3848,444,1702
4/30/20,4006,450,1779
5/1/20,4154,453,1821
5/2/20,4295,459,1872
5/3/20,4474,463,1936
5/4/20,4648,465,1998
5/5/20,4838,470,2067
5/6/20,4997,476,2197
5/7/20,5182,483,2323
5/8/20,5369,488,2467
5/9/20,5558,494,2546
5/10/20,5723,502,2678
5/11/20,5891,507,2841
5/12/20,6067,515,2998
5/13/20,6253,522,3058
5/14/20,6442,529,3158
5/15/20,6629,536,3271
5/16/20,6821,542,3409
5/17/20,7019,548,3507
5/18/20,7201,555,3625
5/19/20,7377,561,3746
5/20/20,7542,568,3968
5/21/20,7728,575,4062
5/22/20,7918,582,4256
5/23/20,8113,592,4426
5/24/20,8306,600,4784
5/25/20,8503,609,4747
5/26/20,8697,617,4918
5/27/20,8857,623,5129
5/28/20,8997,630,5277
5/29/20,9134,638,5422
5/30/20,9267,646,5549
5/31/20,9394,653,5748
6/1/20,9513,661,5894
6/2/20,9626,667,6067
6/3/20,9733,673,6218
6/4/20,9831,681,6297
6/5/20,9935,690,6453
6/6/20,10050,698,6631
6/7/20,10154,707,6717
6/8/20,10265,715,6799
6/9/20,10382,724,6951
6/10/20,10484,732,7074
6/11/20,10589,741,7255
6/12/20,10698,751,7322
6/13/20,10810,760,7420
6/14/20,10919,767,7606
6/15/20,11031,777,7735
6/16/20,11147,788,7842
6/17/20,11268,799,7943
