Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,1
3/13/20,1,0,0
3/14/20,1,0,1
3/15/20,1,0,1
3/16/20,2,0,1
3/17/20,39,0,1
3/18/20,39,0,1
3/19/20,53,0,1
3/20/20,75,0,1
3/21/20,88,0,1
3/22/20,113,1,1
3/23/20,133,1,1
3/24/20,164,1,1
3/25/20,188,1,1
3/26/20,224,3,1
3/27/20,267,3,1
3/28/20,308,3,1
3/29/20,334,6,1
3/30/20,370,8,10
3/31/20,376,12,10
4/1/20,390,14,10
4/2/20,428,15,10
4/3/20,439,16,16
4/4/20,466,17,21
4/5/20,501,18,26
4/6/20,525,21,31
4/7/20,545,22,39
4/8/20,564,23,52
4/9/20,583,25,58
4/10/20,601,26,71
4/11/20,601,26,71
4/12/20,638,29,128
4/13/20,646,29,128
4/14/20,659,31,128
4/15/20,673,33,169
4/16/20,673,33,169
4/17/20,696,35,191
4/18/20,704,35,205
4/19/20,713,36,235
4/20/20,717,37,248
4/21/20,717,37,282
4/22/20,723,37,309
4/23/20,723,37,333
4/24/20,731,40,344
4/25/20,738,40,344
4/26/20,738,40,344
4/27/20,743,40,385
4/28/20,743,41,398
4/29/20,743,42,423
4/30/20,745,42,468
5/1/20,745,43,468
5/2/20,747,44,472
5/3/20,748,45,493
5/4/20,750,45,499
5/5/20,751,46,514
5/6/20,751,46,521
5/7/20,752,47,526
5/8/20,752,47,537
5/9/20,754,48,545
5/10/20,755,48,550
5/11/20,755,48,550
5/12/20,758,48,568
5/13/20,760,49,576
5/14/20,761,49,596
5/15/20,761,49,604
5/16/20,761,51,615
5/17/20,761,51,617
5/18/20,761,51,624
5/19/20,761,51,628
5/20/20,762,51,639
5/21/20,762,51,639
5/22/20,762,51,652
5/23/20,762,51,653
5/24/20,762,51,653
5/25/20,763,51,663
5/26/20,763,51,676
5/27/20,763,51,676
5/28/20,763,51,681
5/29/20,764,51,684
5/30/20,764,51,692
5/31/20,764,51,694
6/1/20,765,51,698
6/2/20,844,51,733
6/3/20,851,51,735
6/4/20,852,51,738
6/5/20,852,51,741
6/6/20,852,51,741
6/7/20,852,51,744
6/8/20,852,51,751
6/9/20,852,51,757
6/10/20,852,51,759
6/11/20,852,51,780
6/12/20,853,51,781
6/13/20,853,51,781
6/14/20,853,51,781
6/15/20,853,51,789
6/16/20,854,52,789
6/17/20,854,52,791
