Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,2,0,0
3/22/20,2,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,3,0,0
3/26/20,4,0,0
3/27/20,4,0,0
3/28/20,5,0,0
3/29/20,7,2,0
3/30/20,7,2,0
3/31/20,7,2,1
4/1/20,8,2,1
4/2/20,8,2,1
4/3/20,8,2,1
4/4/20,10,2,2
4/5/20,14,2,2
4/6/20,16,2,2
4/7/20,17,2,2
4/8/20,19,2,2
4/9/20,19,2,2
4/10/20,19,2,2
4/11/20,19,2,4
4/12/20,19,2,4
4/13/20,19,2,4
4/14/20,19,2,5
4/15/20,19,2,5
4/16/20,19,2,5
4/17/20,19,2,5
4/18/20,24,2,6
4/19/20,24,2,6
4/20/20,24,2,6
4/21/20,24,2,6
4/22/20,25,2,6
4/23/20,25,2,6
4/24/20,25,2,6
4/25/20,25,2,6
4/26/20,26,2,6
4/27/20,27,2,6
4/28/20,27,2,6
4/29/20,27,2,7
4/30/20,27,2,7
5/1/20,30,2,11
5/2/20,35,2,11
5/3/20,35,2,11
5/4/20,35,2,11
5/5/20,36,2,11
5/6/20,36,2,11
5/7/20,36,2,11
5/8/20,43,2,11
5/9/20,43,2,13
5/10/20,45,2,13
5/11/20,45,2,13
5/12/20,45,2,13
5/13/20,45,2,14
5/14/20,48,2,14
5/15/20,48,2,17
5/16/20,48,2,17
5/17/20,48,2,17
5/18/20,50,3,17
5/19/20,52,3,17
5/20/20,52,3,17
5/21/20,58,3,17
5/22/20,60,3,17
5/23/20,61,4,18
5/24/20,69,4,18
5/25/20,70,4,18
5/26/20,70,4,18
5/27/20,71,4,18
5/28/20,74,4,18
5/29/20,81,4,18
5/30/20,84,4,18
5/31/20,86,4,18
6/1/20,86,4,18
6/2/20,86,4,18
6/3/20,86,4,18
6/4/20,86,4,18
6/5/20,86,4,21
6/6/20,88,4,24
6/7/20,91,4,24
6/8/20,92,4,38
6/9/20,96,4,38
6/10/20,113,4,40
6/11/20,118,5,41
6/12/20,130,5,42
6/13/20,138,6,61
6/14/20,140,6,61
6/15/20,142,6,64
6/16/20,148,6,64
6/17/20,155,7,64
