Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,2,0,0
3/7/20,8,0,0
3/8/20,12,1,0
3/9/20,12,1,0
3/10/20,17,1,0
3/11/20,19,1,0
3/12/20,19,1,0
3/13/20,31,2,0
3/14/20,34,2,1
3/15/20,45,2,1
3/16/20,56,2,1
3/17/20,68,2,3
3/18/20,79,2,3
3/19/20,97,3,3
3/20/20,128,3,3
3/21/20,158,4,3
3/22/20,266,4,3
3/23/20,301,4,3
3/24/20,387,6,52
3/25/20,387,8,52
3/26/20,502,9,63
3/27/20,589,13,72
3/28/20,690,18,72
3/29/20,745,19,72
3/30/20,820,23,228
3/31/20,1054,27,240
4/1/20,1054,28,248
4/2/20,1133,36,256
4/3/20,1265,39,266
4/4/20,1451,43,279
4/5/20,1451,44,280
4/6/20,1554,48,325
4/7/20,1628,56,338
4/8/20,1715,63,358
4/9/20,1795,72,365
4/10/20,1975,82,375
4/11/20,1975,83,440
4/12/20,2142,90,468
4/13/20,2208,97,515
4/14/20,2277,102,559
4/15/20,2443,111,596
4/16/20,2571,115,631
4/17/20,2669,123,666
4/18/20,2758,129,685
4/19/20,2839,132,709
4/20/20,2941,136,737
4/21/20,3031,147,840
4/22/20,3144,152,872
4/23/20,3435,165,919
4/24/20,3607,176,976
4/25/20,3780,185,1030
4/26/20,3892,192,1107
4/27/20,4003,197,1140
4/28/20,4127,207,1162
4/29/20,4285,214,1192
4/30/20,4428,218,1256
5/1/20,4532,225,1292
5/2/20,4681,237,1320
5/3/20,4783,246,1354
5/4/20,4887,260,1442
5/5/20,5020,264,1472
5/6/20,5208,273,1524
5/7/20,5371,282,1601
5/8/20,5611,293,1659
5/9/20,5776,300,1728
5/10/20,6034,305,1757
5/11/20,6278,314,1837
5/12/20,6563,319,1862
5/13/20,6879,329,2266
5/14/20,7134,353,2385
5/15/20,7479,356,2497
5/16/20,7805,363,2534
5/17/20,8068,373,2569
5/18/20,8371,382,2625
5/19/20,8809,393,2872
5/20/20,9283,403,2933
5/21/20,9931,416,3032
5/22/20,10649,433,3062
5/23/20,11353,445,3530
5/24/20,12076,452,3732
5/25/20,12628,467,3999
5/26/20,13228,484,4167
5/27/20,13933,500,4349
5/28/20,14702,508,4617
5/29/20,15419,520,4788
5/30/20,16214,528,4788
5/31/20,16851,539,5336
6/1/20,17415,556,5521
6/2/20,18319,569,5709
6/3/20,19268,583,5896
6/4/20,20197,608,5993
6/5/20,21037,632,6088
6/6/20,22020,648,6180
6/7/20,22794,664,6909
6/8/20,23620,693,7305
6/9/20,24761,717,7568
6/10/20,25987,735,7991
6/11/20,27373,765,8332
6/12/20,28764,785,8743
6/13/20,30295,815,9083
6/14/20,31577,833,9564
6/15/20,32785,854,9891
6/16/20,34159,878,10174
6/17/20,35552,913,10512
