Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,4,0,0
3/13/20,8,0,0
3/14/20,18,0,0
3/15/20,26,0,0
3/16/20,52,0,0
3/17/20,78,0,1
3/18/20,84,0,1
3/19/20,115,0,1
3/20/20,136,0,1
3/21/20,160,0,1
3/22/20,194,0,2
3/23/20,235,0,2
3/24/20,249,0,14
3/25/20,265,0,16
3/26/20,290,1,18
3/27/20,329,1,28
3/28/20,407,1,30
3/29/20,424,3,30
3/30/20,482,3,30
3/31/20,532,3,30
4/1/20,571,4,31
4/2/20,663,7,33
4/3/20,736,7,43
4/4/20,770,7,43
4/5/20,822,7,57
4/6/20,833,8,62
4/7/20,853,8,87
4/8/20,881,9,114
4/9/20,921,10,138
4/10/20,937,12,149
4/11/20,967,13,173
4/12/20,1013,13,197
4/13/20,1039,14,211
4/14/20,1067,16,265
4/15/20,1111,17,297
4/16/20,1159,18,358
4/17/20,1201,19,402
4/18/20,1248,20,523
4/19/20,1291,20,545
4/20/20,1339,22,580
4/21/20,1401,24,609
4/22/20,1473,24,633
4/23/20,1523,24,659
4/24/20,1596,27,728
4/25/20,1677,28,803
4/26/20,1746,28,833
4/27/20,1808,29,848
4/28/20,1867,30,866
4/29/20,1932,30,900
4/30/20,2066,32,929
5/1/20,2148,33,977
5/2/20,2273,33,1010
5/3/20,2386,35,1035
5/4/20,2507,39,1071
5/5/20,2619,40,1111
5/6/20,2782,40,1135
5/7/20,2884,42,1185
5/8/20,3029,43,1218
5/9/20,3175,44,1267
5/10/20,3313,45,1325
5/11/20,3392,46,1359
5/12/20,3538,47,1430
5/13/20,3718,48,1500
5/14/20,3860,49,1572
5/15/20,4044,52,1666
5/16/20,4283,55,1791
5/17/20,4472,60,1925
5/18/20,4823,61,2019
5/19/20,5041,64,2164
5/20/20,5271,67,2419
5/21/20,5606,70,2581
5/22/20,5928,74,2874
5/23/20,6302,77,2936
5/24/20,6661,81,3064
5/25/20,7113,87,3145
5/26/20,7402,91,3220
5/27/20,7774,98,3255
5/28/20,8216,113,3287
5/29/20,8676,120,3297
5/30/20,8927,127,3317
5/31/20,9282,131,3386
6/1/20,9492,139,3402
6/2/20,10009,158,3427
6/3/20,10524,170,3454
6/4/20,11221,176,3468
6/5/20,11817,183,3513
6/6/20,12364,190,3720
6/7/20,13130,200,4014
6/8/20,13325,211,4099
6/9/20,13675,217,4451
6/10/20,14103,227,5226
6/11/20,14669,245,5466
6/12/20,15281,258,5639
6/13/20,16004,264,6081
6/14/20,16667,269,6214
6/15/20,17064,285,6276
6/16/20,17489,293,6571
6/17/20,18033,302,6814
