Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,2,0,0
3/17/20,2,0,0
3/18/20,3,0,0
3/19/20,4,0,0
3/20/20,6,0,0
3/21/20,9,0,0
3/22/20,19,0,0
3/23/20,32,0,0
3/24/20,39,0,0
3/25/20,39,0,0
3/26/20,53,0,1
3/27/20,62,0,1
3/28/20,71,0,2
3/29/20,77,0,2
3/30/20,78,1,2
3/31/20,80,1,3
4/1/20,84,1,8
4/2/20,87,1,11
4/3/20,91,1,18
4/4/20,93,2,18
4/5/20,96,2,28
4/6/20,96,2,40
4/7/20,96,2,40
4/8/20,99,2,40
4/9/20,100,2,47
4/10/20,103,2,59
4/11/20,103,2,59
4/12/20,103,2,59
4/13/20,102,2,59
4/14/20,103,2,72
4/15/20,103,3,72
4/16/20,103,3,82
4/17/20,103,3,81
4/18/20,103,3,88
4/19/20,103,3,88
4/20/20,104,3,91
4/21/20,104,3,92
4/22/20,104,3,93
4/23/20,104,3,93
4/24/20,105,3,97
4/25/20,106,3,98
4/26/20,106,3,99
4/27/20,106,3,100
4/28/20,106,3,101
4/29/20,106,3,101
4/30/20,106,3,103
5/1/20,106,3,103
5/2/20,106,3,103
5/3/20,106,3,103
5/4/20,107,3,103
5/5/20,107,3,103
5/6/20,107,3,103
5/7/20,107,3,103
5/8/20,107,3,103
5/9/20,107,3,104
5/10/20,107,3,104
5/11/20,107,3,104
5/12/20,107,3,104
5/13/20,107,3,104
5/14/20,107,3,104
5/15/20,107,3,104
5/16/20,107,3,104
5/17/20,107,3,104
5/18/20,107,3,104
5/19/20,107,3,104
5/20/20,107,3,104
5/21/20,107,3,104
5/22/20,107,3,104
5/23/20,107,3,104
5/24/20,107,3,104
5/25/20,107,3,104
5/26/20,107,3,104
5/27/20,107,3,104
5/28/20,107,3,104
5/29/20,107,3,104
5/30/20,107,3,104
5/31/20,107,3,104
6/1/20,107,3,104
6/2/20,107,3,104
6/3/20,107,3,104
6/4/20,107,3,104
6/5/20,107,3,104
6/6/20,108,3,104
6/7/20,108,3,104
6/8/20,108,3,104
6/9/20,108,3,104
6/10/20,108,3,104
6/11/20,108,3,104
6/12/20,108,3,104
6/13/20,108,3,104
6/14/20,108,3,104
6/15/20,108,3,104
6/16/20,108,3,105
6/17/20,108,3,105
