Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,3,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,4,0,0
1/30/20,4,0,2
1/31/20,4,0,2
2/1/20,4,0,2
2/2/20,4,0,2
2/3/20,4,0,2
2/4/20,4,0,2
2/5/20,4,0,2
2/6/20,4,0,2
2/7/20,4,0,2
2/8/20,4,0,2
2/9/20,4,0,2
2/10/20,4,0,2
2/11/20,4,0,2
2/12/20,4,0,2
2/13/20,4,0,4
2/14/20,4,0,4
2/15/20,4,0,4
2/16/20,4,0,4
2/17/20,4,0,4
2/18/20,4,0,4
2/19/20,4,0,4
2/20/20,4,0,4
2/21/20,4,0,4
2/22/20,4,0,4
2/23/20,4,0,4
2/24/20,4,0,4
2/25/20,4,0,4
2/26/20,4,0,4
2/27/20,4,0,4
2/28/20,4,0,4
2/29/20,4,0,4
3/1/20,6,0,4
3/2/20,6,0,4
3/3/20,13,0,4
3/4/20,22,1,4
3/5/20,22,1,4
3/6/20,26,1,4
3/7/20,28,1,4
3/8/20,38,2,4
3/9/20,48,2,4
3/10/20,55,2,4
3/11/20,65,2,4
3/12/20,65,2,4
3/13/20,92,2,4
3/14/20,112,2,4
3/15/20,134,2,4
3/16/20,171,2,4
3/17/20,210,4,4
3/18/20,267,5,4
3/19/20,307,5,4
3/20/20,353,6,4
3/21/20,436,6,4
3/22/20,669,6,4
3/23/20,669,6,4
3/24/20,818,7,4
3/25/20,1029,7,4
3/26/20,1219,7,4
3/27/20,1405,7,4
3/28/20,1617,8,4
3/29/20,1791,8,4
3/30/20,2032,8,4
3/31/20,2032,8,4
4/1/20,2182,9,4
4/2/20,2298,10,4
4/3/20,2389,12,4
4/4/20,2493,12,4
4/5/20,2580,16,4
4/6/20,2637,18,4
4/7/20,2686,21,4
4/8/20,2734,21,4
4/9/20,2773,21,4
4/10/20,2822,22,4
4/11/20,2857,23,4
4/12/20,2857,24,4
4/13/20,2863,25,4
4/14/20,2870,25,4
4/15/20,2886,25,4
4/16/20,2897,25,4
4/17/20,2926,26,1379
4/18/20,2936,26,1379
4/19/20,2957,26,1379
4/20/20,2963,26,1379
4/21/20,2969,26,1755
4/22/20,2971,26,1926
4/23/20,2976,31,2006
4/24/20,2982,33,2056
4/25/20,2994,33,2193
4/26/20,3002,34,2208
4/27/20,3004,34,2227
4/28/20,3016,39,2266
4/29/20,3016,40,2284
4/30/20,3025,41,2293
5/1/20,3030,41,2293
5/2/20,3035,42,2306
5/3/20,3033,42,2328
5/4/20,3035,43,2349
5/5/20,3042,44,2418
5/6/20,3044,44,2463
5/7/20,3047,44,2486
5/8/20,3051,44,2504
5/9/20,3053,44,2504
5/10/20,3053,44,2517
5/11/20,3053,44,2543
5/12/20,3059,45,2571
5/13/20,3063,45,2595
5/14/20,3071,45,2605
5/15/20,3074,45,2611
5/16/20,3075,45,2611
5/17/20,3076,46,2612
5/18/20,3078,46,2614
5/19/20,3081,47,2631
5/20/20,3082,47,2648
5/21/20,3084,48,2648
5/22/20,3086,48,2653
5/23/20,3087,48,2653
5/24/20,3090,48,2656
5/25/20,3092,48,2661
5/26/20,3089,48,2663
5/27/20,3090,48,2670
5/28/20,3092,48,2666
5/29/20,3092,48,2683
5/30/20,3095,48,2685
5/31/20,3098,48,2685
6/1/20,3104,48,2687
6/2/20,3104,48,2691
6/3/20,3106,48,2700
6/4/20,3110,48,2714
6/5/20,3110,48,2719
6/6/20,3109,48,2723
6/7/20,3112,48,2724
6/8/20,3114,48,2729
6/9/20,3117,48,2735
6/10/20,3117,48,2738
6/11/20,3115,48,2743
6/12/20,3119,48,2763
6/13/20,3128,48,2766
6/14/20,3131,48,2766
6/15/20,3134,48,2768
6/16/20,3135,48,2770
6/17/20,3137,48,2770
