Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,3,0,0
3/21/20,3,0,0
3/22/20,5,0,0
3/23/20,5,0,0
3/24/20,6,0,0
3/25/20,6,0,0
3/26/20,12,0,0
3/27/20,12,0,0
3/28/20,15,0,0
3/29/20,15,0,0
3/30/20,15,0,0
3/31/20,17,0,0
4/1/20,19,0,0
4/2/20,21,0,0
4/3/20,22,0,0
4/4/20,26,0,1
4/5/20,27,0,1
4/6/20,28,0,2
4/7/20,28,0,2
4/8/20,28,0,2
4/9/20,28,0,2
4/10/20,28,0,2
4/11/20,28,0,2
4/12/20,28,0,2
4/13/20,28,0,2
4/14/20,28,0,6
4/15/20,28,0,6
4/16/20,28,0,6
4/17/20,28,0,9
4/18/20,28,0,9
4/19/20,28,0,9
4/20/20,28,0,12
4/21/20,28,0,15
4/22/20,28,0,16
4/23/20,28,0,16
4/24/20,28,0,20
4/25/20,28,0,23
4/26/20,28,0,23
4/27/20,28,0,23
4/28/20,28,0,25
4/29/20,28,0,25
4/30/20,28,0,25
5/1/20,27,0,24
5/2/20,29,0,24
5/3/20,29,0,24
5/4/20,29,0,24
5/5/20,29,0,26
5/6/20,29,0,27
5/7/20,29,0,27
5/8/20,29,0,27
5/9/20,29,0,27
5/10/20,29,0,27
5/11/20,29,0,27
5/12/20,29,0,27
5/13/20,29,0,27
5/14/20,29,0,27
5/15/20,29,0,27
5/16/20,29,0,27
5/17/20,29,0,27
5/18/20,29,0,27
5/19/20,29,0,27
5/20/20,29,0,29
5/21/20,29,0,29
5/22/20,29,0,29
5/23/20,29,0,29
5/24/20,29,0,29
5/25/20,29,0,29
5/26/20,29,0,29
5/27/20,29,0,29
5/28/20,29,0,29
5/29/20,29,0,29
5/30/20,29,0,29
5/31/20,29,0,29
6/1/20,29,0,29
6/2/20,29,0,29
6/3/20,29,0,29
6/4/20,29,0,29
6/5/20,29,0,29
6/6/20,29,0,29
6/7/20,29,0,29
6/8/20,29,0,29
6/9/20,29,0,29
6/10/20,29,0,29
6/11/20,29,0,29
6/12/20,29,0,29
6/13/20,29,0,29
6/14/20,29,0,29
6/15/20,29,0,29
6/16/20,29,0,29
6/17/20,29,0,29
