Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,1,0,0
1/30/20,3,0,0
1/31/20,2,0,0
2/1/20,3,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,3,0,0
2/5/20,3,0,0
2/6/20,4,0,0
2/7/20,5,0,0
2/8/20,5,0,0
2/9/20,5,0,0
2/10/20,5,0,0
2/11/20,5,0,0
2/12/20,5,0,0
2/13/20,5,0,0
2/14/20,5,0,0
2/15/20,5,0,0
2/16/20,5,0,0
2/17/20,5,0,0
2/18/20,5,0,0
2/19/20,5,0,0
2/20/20,5,0,0
2/21/20,5,0,1
2/22/20,5,0,1
2/23/20,5,0,1
2/24/20,5,0,1
2/25/20,5,0,1
2/26/20,5,0,1
2/27/20,5,0,1
2/28/20,5,0,1
2/29/20,9,0,1
3/1/20,9,0,1
3/2/20,9,0,1
3/3/20,11,0,1
3/4/20,11,0,1
3/5/20,13,0,8
3/6/20,13,0,8
3/7/20,13,0,8
3/8/20,15,0,8
3/9/20,15,0,8
3/10/20,18,0,8
3/11/20,20,0,8
3/12/20,20,0,8
3/13/20,35,0,8
3/14/20,46,0,8
3/15/20,61,0,8
3/16/20,68,0,8
3/17/20,78,0,8
3/18/20,94,0,8
3/19/20,144,0,8
3/20/20,184,0,8
3/21/20,221,0,8
3/22/20,259,0,8
3/23/20,319,0,8
3/24/20,397,0,8
3/25/20,443,0,8
3/26/20,493,1,8
3/27/20,555,1,8
3/28/20,625,1,8
3/29/20,656,2,8
3/30/20,689,2,8
3/31/20,743,2,8
4/1/20,781,2,8
4/2/20,835,4,8
4/3/20,873,4,8
4/4/20,900,4,8
4/5/20,907,4,8
4/6/20,921,4,173
4/7/20,934,4,173
4/8/20,943,4,173
4/9/20,953,4,345
4/10/20,965,4,372
4/11/20,974,5,372
4/12/20,983,5,372
4/13/20,987,5,372
4/14/20,998,5,442
4/15/20,999,5,442
4/16/20,1001,5,442
4/17/20,1007,5,442
4/18/20,1015,6,738
4/19/20,1019,6,738
4/20/20,1019,6,738
4/21/20,1024,6,738
4/22/20,1024,6,738
4/23/20,1026,6,738
4/24/20,1026,6,738
4/25/20,1026,6,803
4/26/20,1030,6,926
4/27/20,1033,6,926
4/28/20,1034,6,934
4/29/20,1033,6,943
4/30/20,1033,6,948
5/1/20,1034,6,965
5/2/20,1035,6,976
5/3/20,1038,6,980
5/4/20,1043,6,980
5/5/20,1043,6,985
5/6/20,1045,6,989
5/7/20,1045,6,994
5/8/20,1045,6,1019
5/9/20,1045,6,1019
5/10/20,1045,6,1021
5/11/20,1051,6,1027
5/12/20,1052,6,1028
5/13/20,1051,6,1030
5/14/20,1054,6,1031
5/15/20,1055,6,1036
5/16/20,1055,6,1037
5/17/20,1057,6,1038
5/18/20,1057,6,1039
5/19/20,1058,6,1040
5/20/20,1058,6,1040
5/21/20,1058,6,1040
5/22/20,1060,6,1041
5/23/20,1061,6,1041
5/24/20,1056,6,1038
5/25/20,1057,6,1039
5/26/20,1058,7,1044
5/27/20,1058,7,1045
5/28/20,1058,7,1045
5/29/20,1058,7,1045
5/30/20,1058,7,1046
5/31/20,1058,7,1046
6/1/20,1059,6,1048
6/2/20,1059,6,1047
6/3/20,1060,6,1046
6/4/20,1060,6,1049
6/5/20,1061,6,1049
6/6/20,1061,6,1050
6/7/20,1062,6,1050
6/8/20,1062,6,1051
6/9/20,1062,6,1051
6/10/20,1063,6,1051
6/11/20,1064,6,1051
6/12/20,1065,6,1051
6/13/20,1065,6,1051
6/14/20,1065,6,1051
6/15/20,1065,6,1051
6/16/20,1066,6,1052
6/17/20,1066,6,1052
