Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,1,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,2,0,0
2/8/20,2,0,0
2/9/20,2,0,0
2/10/20,2,0,0
2/11/20,2,0,0
2/12/20,2,0,0
2/13/20,2,0,0
2/14/20,2,0,0
2/15/20,2,0,0
2/16/20,2,0,0
2/17/20,2,0,2
2/18/20,2,0,2
2/19/20,2,0,2
2/20/20,2,0,2
2/21/20,2,0,2
2/22/20,2,0,2
2/23/20,2,0,2
2/24/20,2,0,2
2/25/20,2,0,2
2/26/20,2,0,2
2/27/20,2,0,2
2/28/20,2,0,2
2/29/20,3,0,2
3/1/20,3,0,2
3/2/20,3,0,2
3/3/20,3,0,2
3/4/20,5,0,2
3/5/20,5,0,2
3/6/20,7,0,2
3/7/20,7,0,2
3/8/20,7,0,2
3/9/20,7,0,2
3/10/20,7,0,2
3/11/20,9,0,2
3/12/20,9,0,2
3/13/20,16,0,3
3/14/20,19,0,3
3/15/20,20,0,3
3/16/20,29,0,3
3/17/20,29,0,3
3/18/20,37,0,3
3/19/20,42,0,3
3/20/20,50,0,3
3/21/20,67,0,3
3/22/20,100,0,3
3/23/20,134,0,3
3/24/20,170,0,3
3/25/20,170,0,6
3/26/20,235,0,6
3/27/20,257,0,6
3/28/20,287,0,6
3/29/20,299,0,6
3/30/20,305,0,6
3/31/20,337,0,6
4/1/20,367,0,6
4/2/20,367,0,6
4/3/20,396,0,46
4/4/20,407,0,46
4/5/20,407,0,46
4/6/20,411,0,53
4/7/20,411,1,53
4/8/20,415,2,53
4/9/20,420,3,120
4/10/20,428,3,179
4/11/20,429,3,179
4/12/20,429,4,179
4/13/20,429,4,179
4/14/20,433,4,240
4/15/20,433,4,240
4/16/20,433,4,279
4/17/20,435,4,331
4/18/20,435,4,331
4/19/20,435,4,331
4/20/20,435,4,369
4/21/20,437,4,376
4/22/20,438,4,388
4/23/20,438,4,394
4/24/20,438,4,401
4/25/20,438,4,402
4/26/20,438,4,411
4/27/20,438,4,414
4/28/20,438,4,420
4/29/20,438,4,420
4/30/20,438,4,420
5/1/20,438,4,422
5/2/20,438,4,427
5/3/20,438,4,427
5/4/20,438,4,427
5/5/20,438,4,429
5/6/20,438,4,432
5/7/20,439,4,433
5/8/20,439,4,433
5/9/20,439,4,433
5/10/20,439,4,434
5/11/20,439,4,434
5/12/20,439,4,434
5/13/20,439,4,434
5/14/20,439,4,434
5/15/20,439,4,435
5/16/20,439,4,435
5/17/20,439,4,435
5/18/20,439,4,435
5/19/20,439,4,435
5/20/20,439,4,435
5/21/20,439,4,435
5/22/20,439,4,435
5/23/20,439,4,435
5/24/20,439,4,435
5/25/20,439,4,435
5/26/20,440,4,435
5/27/20,440,4,435
5/28/20,440,4,435
5/29/20,440,4,435
5/30/20,440,4,435
5/31/20,440,4,435
6/1/20,440,4,435
6/2/20,440,4,435
6/3/20,440,4,435
6/4/20,440,4,436
6/5/20,440,4,436
6/6/20,440,4,436
6/7/20,440,4,436
6/8/20,440,4,436
6/9/20,440,4,436
6/10/20,440,4,436
6/11/20,440,4,436
6/12/20,440,4,436
6/13/20,440,4,436
6/14/20,440,4,436
6/15/20,440,4,436
6/16/20,440,4,436
6/17/20,440,4,436
