Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,2,0,0
3/11/20,3,0,0
3/12/20,3,0,0
3/13/20,5,0,0
3/14/20,5,0,0
3/15/20,6,0,0
3/16/20,7,0,0
3/17/20,7,0,0
3/18/20,10,0,0
3/19/20,10,0,3
3/20/20,10,0,3
3/21/20,16,0,3
3/22/20,22,0,3
3/23/20,28,0,3
3/24/20,28,0,3
3/25/20,36,0,3
3/26/20,47,0,3
3/27/20,47,0,3
3/28/20,62,0,5
3/29/20,66,0,5
3/30/20,66,0,5
3/31/20,69,1,5
4/1/20,69,2,5
4/2/20,72,2,5
4/3/20,74,2,5
4/4/20,80,2,5
4/5/20,82,2,5
4/6/20,86,2,26
4/7/20,89,2,26
4/8/20,98,3,26
4/9/20,111,3,48
4/10/20,122,4,48
4/11/20,133,4,48
4/12/20,133,5,48
4/13/20,144,5,48
4/14/20,165,6,53
4/15/20,165,6,53
4/16/20,169,6,67
4/17/20,180,7,67
4/18/20,188,7,67
4/19/20,195,7,67
4/20/20,200,7,71
4/21/20,201,7,74
4/22/20,205,7,77
4/23/20,207,8,91
4/24/20,207,9,106
4/25/20,207,10,117
4/26/20,212,11,123
4/27/20,214,11,132
4/28/20,218,11,137
4/29/20,219,12,144
4/30/20,221,13,153
5/1/20,221,13,157
5/2/20,221,13,158
5/3/20,221,13,164
5/4/20,221,13,165
5/5/20,225,13,165
5/6/20,226,13,167
5/7/20,227,13,174
5/8/20,227,13,175
5/9/20,227,13,182
5/10/20,227,13,182
5/11/20,227,13,182
5/12/20,227,13,184
5/13/20,227,13,184
5/14/20,227,13,188
5/15/20,228,13,191
5/16/20,228,13,192
5/17/20,228,13,194
5/18/20,228,13,195
5/19/20,228,13,195
5/20/20,228,13,196
5/21/20,228,13,198
5/22/20,228,13,199
5/23/20,228,13,199
5/24/20,228,13,200
5/25/20,228,13,202
5/26/20,228,13,203
5/27/20,228,13,203
5/28/20,228,13,203
5/29/20,228,13,205
5/30/20,228,13,206
5/31/20,228,13,207
6/1/20,228,13,207
6/2/20,228,13,208
6/3/20,228,13,208
6/4/20,228,13,208
6/5/20,228,13,208
6/6/20,228,13,209
6/7/20,228,13,209
6/8/20,228,13,209
6/9/20,228,13,209
6/10/20,228,13,209
6/11/20,228,13,212
6/12/20,228,13,213
6/13/20,228,13,213
6/14/20,228,13,213
6/15/20,228,13,213
6/16/20,228,13,213
6/17/20,228,13,215
