Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,2,0,0
3/1/20,2,1,0
3/2/20,2,1,0
3/3/20,2,1,0
3/4/20,2,1,0
3/5/20,3,1,0
3/6/20,3,1,0
3/7/20,3,1,0
3/8/20,3,1,0
3/9/20,4,1,0
3/10/20,6,1,0
3/11/20,9,1,0
3/12/20,9,1,0
3/13/20,14,1,0
3/14/20,17,1,0
3/15/20,17,1,0
3/16/20,28,1,0
3/17/20,31,1,0
3/18/20,35,1,0
3/19/20,52,1,0
3/20/20,64,1,0
3/21/20,90,1,0
3/22/20,120,1,0
3/23/20,140,1,0
3/24/20,175,1,0
3/25/20,175,1,1
3/26/20,231,2,1
3/27/20,231,2,1
3/28/20,278,2,28
3/29/20,311,2,28
3/30/20,355,2,41
3/31/20,364,2,41
4/1/20,392,2,48
4/2/20,400,2,64
4/3/20,400,2,92
4/4/20,436,2,92
4/5/20,453,3,92
4/6/20,460,4,162
4/7/20,460,4,162
4/8/20,481,6,162
4/9/20,495,6,170
4/10/20,506,6,203
4/11/20,514,6,216
4/12/20,514,6,216
4/13/20,517,6,216
4/14/20,527,6,251
4/15/20,527,6,251
4/16/20,532,6,338
4/17/20,541,7,340
4/18/20,544,7,340
4/19/20,545,7,340
4/20/20,545,7,435
4/21/20,546,7,443
4/22/20,546,7,451
4/23/20,546,7,458
4/24/20,548,8,464
4/25/20,549,8,478
4/26/20,549,8,486
4/27/20,549,8,486
4/28/20,550,8,495
4/29/20,551,8,507
4/30/20,551,8,507
5/1/20,551,8,511
5/2/20,551,8,520
5/3/20,551,9,523
5/4/20,551,9,528
5/5/20,551,9,528
5/6/20,551,9,528
5/7/20,552,9,534
5/8/20,552,9,534
5/9/20,552,9,536
5/10/20,552,9,536
5/11/20,553,9,536
5/12/20,553,9,537
5/13/20,552,9,538
5/14/20,552,9,538
5/15/20,552,9,538
5/16/20,553,9,541
5/17/20,554,9,543
5/18/20,557,9,545
5/19/20,557,9,545
5/20/20,557,9,545
5/21/20,557,9,545
5/22/20,557,9,545
5/23/20,560,9,549
5/24/20,560,9,549
5/25/20,564,9,549
5/26/20,570,9,549
5/27/20,570,9,549
5/28/20,577,9,550
5/29/20,585,9,551
5/30/20,586,9,552
5/31/20,589,9,552
6/1/20,591,9,553
6/2/20,592,9,553
6/3/20,592,9,557
6/4/20,592,9,557
6/5/20,596,9,557
6/6/20,599,9,559
6/7/20,599,9,559
6/8/20,599,9,560
6/9/20,599,9,560
6/10/20,601,9,571
6/11/20,602,9,575
6/12/20,602,9,575
6/13/20,602,9,582
6/14/20,602,9,591
6/15/20,602,9,591
6/16/20,602,9,592
6/17/20,603,9,592
