Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,2,0,0
2/26/20,2,0,0
2/27/20,3,0,0
2/28/20,3,0,0
2/29/20,9,0,0
3/1/20,14,0,0
3/2/20,18,0,0
3/3/20,21,0,0
3/4/20,29,0,0
3/5/20,41,0,0
3/6/20,55,0,0
3/7/20,79,0,0
3/8/20,104,0,0
3/9/20,131,0,2
3/10/20,182,0,4
3/11/20,246,0,4
3/12/20,302,1,4
3/13/20,504,1,6
3/14/20,655,1,6
3/15/20,860,1,6
3/16/20,1018,3,6
3/17/20,1332,3,1
3/18/20,1646,4,9
3/19/20,2013,6,9
3/20/20,2388,6,9
3/21/20,2814,8,9
3/22/20,3582,16,9
3/23/20,4474,21,9
3/24/20,5283,28,9
3/25/20,5588,30,9
3/26/20,6909,49,112
3/27/20,7657,58,225
3/28/20,8271,68,225
3/29/20,8788,86,479
3/30/20,9618,108,636
3/31/20,10180,128,1095
4/1/20,10711,146,1436
4/2/20,11129,158,1749
4/3/20,11524,168,2022
4/4/20,11781,186,2507
4/5/20,12051,204,2998
4/6/20,12297,220,3463
4/7/20,12639,243,4046
4/8/20,12942,273,4512
4/9/20,13244,295,5240
4/10/20,13555,319,6064
4/11/20,13806,337,6604
4/12/20,13945,350,6987
4/13/20,14041,368,7343
4/14/20,14226,384,7633
4/15/20,14336,393,8098
4/16/20,14476,410,8986
4/17/20,14595,431,9704
4/18/20,14671,443,10214
4/19/20,14749,452,10501
4/20/20,14795,470,10631
4/21/20,14873,491,10971
4/22/20,14925,510,11328
4/23/20,15002,522,11694
4/24/20,15071,530,11872
4/25/20,15148,536,12103
4/26/20,15225,542,12282
4/27/20,15274,549,12362
4/28/20,15357,569,12580
4/29/20,15402,580,12779
4/30/20,15452,584,12907
5/1/20,15531,589,13110
5/2/20,15558,596,13180
5/3/20,15597,598,13228
5/4/20,15621,600,13316
5/5/20,15650,606,13462
5/6/20,15684,608,13639
5/7/20,15752,609,13698
5/8/20,15774,614,13836
5/9/20,15833,615,13928
5/10/20,15871,618,13991
5/11/20,15882,620,14061
5/12/20,15961,623,14148
5/13/20,15997,624,14304
5/14/20,16058,626,14405
5/15/20,16109,628,14471
5/16/20,16201,629,14524
5/17/20,16242,629,14563
5/18/20,16269,629,14614
5/19/20,16321,632,14678
5/20/20,16353,633,14882
5/21/20,16404,633,14951
5/22/20,16436,635,15005
5/23/20,16486,639,15037
5/24/20,16503,640,15063
5/25/20,16539,641,15138
5/26/20,16557,643,15182
5/27/20,16591,645,15228
5/28/20,16628,668,15286
5/29/20,16655,668,15347
5/30/20,16685,668,15520
5/31/20,16731,668,15593
6/1/20,16733,668,15596
6/2/20,16759,669,15629
6/3/20,16771,670,15672
6/4/20,16805,670,15717
6/5/20,16843,672,15742
6/6/20,16898,672,15789
6/7/20,16902,672,15793
6/8/20,16968,672,15839
6/9/20,16979,672,15875
6/10/20,17005,673,15910
6/11/20,17034,674,15949
6/12/20,17064,675,15985
6/13/20,17078,677,16012
6/14/20,17109,677,16059
6/15/20,17135,678,16066
6/16/20,17189,681,16089
6/17/20,17203,687,16099
