Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,3,0,0
3/2/20,3,0,0
3/3/20,3,0,0
3/4/20,3,0,0
3/5/20,6,0,0
3/6/20,6,0,0
3/7/20,9,0,0
3/8/20,9,0,0
3/9/20,9,0,0
3/10/20,11,0,0
3/11/20,11,0,3
3/12/20,11,0,3
3/13/20,15,1,3
3/14/20,15,1,3
3/15/20,23,1,6
3/16/20,28,1,6
3/17/20,28,1,6
3/18/20,28,1,6
3/19/20,44,1,6
3/20/20,44,1,6
3/21/20,53,1,11
3/22/20,65,1,10
3/23/20,72,1,10
3/24/20,87,1,10
3/25/20,93,2,10
3/26/20,122,3,15
3/27/20,165,3,15
3/28/20,182,4,15
3/29/20,209,4,15
3/30/20,273,4,26
3/31/20,298,5,26
4/1/20,359,5,26
4/2/20,400,5,26
4/3/20,443,5,32
4/4/20,521,5,32
4/5/20,584,7,32
4/6/20,641,7,44
4/7/20,717,8,44
4/8/20,822,8,63
4/9/20,926,9,101
4/10/20,991,10,159
4/11/20,1058,11,200
4/12/20,1098,11,250
4/13/20,1148,12,289
4/14/20,1197,13,351
4/15/20,1253,13,404
4/16/20,1283,15,460
4/17/20,1340,15,528
4/18/20,1373,18,590
4/19/20,1398,19,712
4/20/20,1436,19,791
4/21/20,1480,20,865
4/22/20,1518,20,907
4/23/20,1548,20,948
4/24/20,1592,21,1013
4/25/20,1617,21,1080
4/26/20,1645,21,1139
4/27/20,1678,22,1162
4/28/20,1717,22,1221
4/29/20,1766,23,1267
4/30/20,1804,24,1325
5/1/20,1854,25,1365
5/2/20,1894,25,1411
5/3/20,1932,25,1441
5/4/20,1984,26,1480
5/5/20,2060,26,1508
5/6/20,2127,28,1536
5/7/20,2204,28,1551
5/8/20,2279,28,1576
5/9/20,2422,31,1620
5/10/20,2519,32,1650
5/11/20,2589,32,1680
5/12/20,2693,33,1680
5/13/20,2758,35,1789
5/14/20,2879,35,1833
5/15/20,2980,36,1886
5/16/20,3138,36,1944
5/17/20,3274,39,2015
5/18/20,3387,40,2055
5/19/20,3518,41,2198
5/20/20,3631,43,2253
5/21/20,3749,44,2340
5/22/20,3855,46,2399
5/23/20,3982,49,2506
5/24/20,4122,49,2607
5/25/20,4271,51,2741
5/26/20,4403,52,2819
5/27/20,4568,54,2897
5/28/20,4759,56,3022
5/29/20,4989,58,3125
5/30/20,5246,61,3327
5/31/20,5494,63,3428
6/1/20,5662,68,3508
6/2/20,5935,71,3564
6/3/20,6260,76,3665
6/4/20,6522,78,3737
6/5/20,6860,82,3871
6/6/20,7239,84,4024
6/7/20,7553,88,4149
6/8/20,7876,93,4377
6/9/20,8191,98,4606
6/10/20,8530,102,4720
6/11/20,8882,108,4930
6/12/20,9218,113,5116
6/13/20,9570,115,5309
6/14/20,9957,119,5583
6/15/20,10324,122,5739
6/16/20,10662,126,5948
6/17/20,10991,133,6075
