Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,3,0,0
3/20/20,3,0,0
3/21/20,4,0,0
3/22/20,4,0,0
3/23/20,4,0,0
3/24/20,5,0,1
3/25/20,5,0,1
3/26/20,9,0,1
3/27/20,10,0,1
3/28/20,10,0,1
3/29/20,11,0,1
3/30/20,14,0,1
3/31/20,14,0,1
4/1/20,21,1,1
4/2/20,24,1,1
4/3/20,24,1,1
4/4/20,28,4,0
4/5/20,28,4,0
4/6/20,29,5,4
4/7/20,33,6,5
4/8/20,40,7,5
4/9/20,41,8,5
4/10/20,42,8,5
4/11/20,46,8,5
4/12/20,46,8,5
4/13/20,47,8,6
4/14/20,49,8,6
4/15/20,49,8,6
4/16/20,53,8,6
4/17/20,54,9,6
4/18/20,55,9,10
4/19/20,55,9,10
4/20/20,60,9,11
4/21/20,65,9,12
4/22/20,65,9,12
4/23/20,72,11,14
4/24/20,73,11,15
4/25/20,78,11,15
4/26/20,80,11,22
4/27/20,80,11,22
4/28/20,80,11,23
4/29/20,80,11,23
4/30/20,81,11,25
5/1/20,81,11,24
5/2/20,83,11,24
5/3/20,83,11,24
5/4/20,83,11,25
5/5/20,89,11,26
5/6/20,92,11,26
5/7/20,92,11,26
5/8/20,92,11,31
5/9/20,92,11,37
5/10/20,92,11,37
5/11/20,93,11,39
5/12/20,93,11,39
5/13/20,94,11,41
5/14/20,96,11,41
5/15/20,96,11,41
5/16/20,96,11,42
5/17/20,96,11,42
5/18/20,96,11,43
5/19/20,96,11,43
5/20/20,97,11,43
5/21/20,97,11,44
5/22/20,97,11,44
5/23/20,100,11,45
5/24/20,100,11,45
5/25/20,100,11,46
5/26/20,100,11,46
5/27/20,100,11,46
5/28/20,101,11,47
5/29/20,102,11,48
5/30/20,102,11,48
5/31/20,102,11,48
6/1/20,102,11,49
6/2/20,102,11,49
6/3/20,102,11,55
6/4/20,102,11,55
6/5/20,102,11,55
6/6/20,103,11,62
6/7/20,103,11,62
6/8/20,103,11,64
6/9/20,103,11,64
6/10/20,103,11,67
6/11/20,103,11,68
6/12/20,103,11,68
6/13/20,103,11,68
6/14/20,103,11,68
6/15/20,103,11,68
6/16/20,104,11,72
6/17/20,104,11,72
