Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,6,0,0
3/5/20,6,0,0
3/6/20,6,0,0
3/7/20,6,0,0
3/8/20,6,0,0
3/9/20,6,0,1
3/10/20,9,0,3
3/11/20,9,0,3
3/12/20,12,0,3
3/13/20,27,0,3
3/14/20,27,0,3
3/15/20,27,0,3
3/16/20,36,0,3
3/17/20,36,0,3
3/18/20,51,0,5
3/19/20,51,0,5
3/20/20,69,0,5
3/21/20,76,0,15
3/22/20,76,0,15
3/23/20,81,0,15
3/24/20,81,0,22
3/25/20,86,0,29
3/26/20,86,0,29
3/27/20,94,0,32
3/28/20,94,0,32
3/29/20,94,0,32
3/30/20,152,0,32
3/31/20,152,1,47
4/1/20,163,2,53
4/2/20,304,4,53
4/3/20,351,4,53
4/4/20,440,5,53
4/5/20,562,8,52
4/6/20,700,13,53
4/7/20,861,13,54
4/8/20,1066,13,77
4/9/20,1486,16,139
4/10/20,1981,19,169
4/11/20,2226,23,172
4/12/20,2578,26,203
4/13/20,2919,29,203
4/14/20,3281,33,203
4/15/20,3728,36,203
4/16/20,4204,40,203
4/17/20,4779,42,342
4/18/20,4779,45,342
4/19/20,4779,47,494
4/20/20,6264,51,514
4/21/20,6723,55,577
4/22/20,7281,58,769
4/23/20,8022,60,938
4/24/20,8773,63,1120
4/25/20,9590,67,1573
4/26/20,10463,72,1695
4/27/20,11289,75,1740
4/28/20,12208,79,1993
4/29/20,13181,84,2072
4/30/20,14027,89,2386
5/1/20,14917,93,2918
5/2/20,15828,97,3117
5/3/20,16705,99,3196
5/4/20,17489,103,3259
5/5/20,18350,107,3771
5/6/20,19255,112,4388
5/7/20,20168,116,5067
5/8/20,21101,121,5484
5/9/20,22052,126,6050
5/10/20,22973,131,6406
5/11/20,23906,135,6531
5/12/20,24873,142,6974
5/13/20,25825,146,7711
5/14/20,26772,151,8168
5/15/20,27730,156,8807
5/16/20,28681,160,9498
5/17/20,29650,165,9932
5/18/20,30572,171,10130
5/19/20,31508,175,10620
5/20/20,32426,179,11415
5/21/20,33371,185,12057
5/22/20,34303,190,12833
5/23/20,35244,194,13528
5/24/20,36198,199,14155
5/25/20,37144,204,14449
5/26/20,38059,208,15086
5/27/20,38956,214,15923
5/28/20,39858,219,16660
5/29/20,40764,224,17390
5/30/20,41658,229,17964
5/31/20,42556,235,18514
6/1/20,43403,240,18776
6/2/20,44255,243,19195
6/3/20,45116,248,20171
6/4/20,45981,253,21162
6/5/20,46868,259,22066
6/6/20,47751,263,23015
6/7/20,48630,269,23647
6/8/20,49453,276,23880
6/9/20,50265,282,24506
6/10/20,51066,288,25667
6/11/20,51816,293,26643
6/12/20,52520,298,27760
6/13/20,53241,303,29111
6/14/20,53973,308,30103
6/15/20,54680,312,30420
6/16/20,55369,318,31273
6/17/20,56032,324,32735
