Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,1,0,0
2/10/20,1,0,0
2/11/20,1,0,0
2/12/20,1,0,0
2/13/20,1,0,0
2/14/20,1,0,0
2/15/20,1,0,0
2/16/20,1,0,0
2/17/20,1,0,1
2/18/20,1,0,1
2/19/20,1,0,1
2/20/20,1,0,1
2/21/20,1,0,1
2/22/20,1,0,1
2/23/20,1,0,1
2/24/20,1,0,1
2/25/20,1,0,1
2/26/20,1,0,1
2/27/20,1,0,1
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,2,0,1
3/2/20,8,0,1
3/3/20,13,0,1
3/4/20,23,0,1
3/5/20,50,0,1
3/6/20,109,0,1
3/7/20,169,0,1
3/8/20,200,0,1
3/9/20,239,0,1
3/10/20,267,0,1
3/11/20,314,3,1
3/12/20,314,3,1
3/13/20,559,3,1
3/14/20,689,4,1
3/15/20,886,4,1
3/16/20,1058,5,1
3/17/20,1243,10,1
3/18/20,1486,14,31
3/19/20,1795,21,31
3/20/20,2257,37,1
3/21/20,2815,67,263
3/22/20,3401,75,263
3/23/20,3743,88,263
3/24/20,4269,122,461
3/25/20,4937,178,547
3/26/20,6235,220,675
3/27/20,7284,289,858
3/28/20,9134,353,1063
3/29/20,10836,431,1359
3/30/20,11899,513,1527
3/31/20,12775,705,1696
4/1/20,13964,828,2132
4/2/20,15348,1011,2495
4/3/20,16770,1143,2872
4/4/20,18431,1283,3247
4/5/20,19691,1447,3751
4/6/20,20814,1632,3986
4/7/20,22194,2035,4157
4/8/20,23403,2240,4681
4/9/20,24983,2523,5164
4/10/20,26667,3019,5568
4/11/20,28018,3346,5986
4/12/20,29647,3600,6463
4/13/20,30589,3903,6707
4/14/20,31119,4157,6868
4/15/20,33573,4440,7107
4/16/20,34809,4857,7562
4/17/20,36138,5163,7961
4/18/20,37183,5453,8348
4/19/20,38496,5683,8757
4/20/20,39983,5828,8895
4/21/20,40956,5998,9002
4/22/20,41889,6262,9433
4/23/20,42797,6490,9800
4/24/20,44293,6679,10122
4/25/20,45325,6917,10417
4/26/20,46134,7094,10785
4/27/20,46687,7207,10878
4/28/20,47334,7331,10943
4/29/20,47859,7501,11283
4/30/20,48519,7594,11576
5/1/20,49032,7703,11892
5/2/20,49517,7765,12211
5/3/20,49906,7844,12309
5/4/20,50267,7924,12378
5/5/20,50509,8016,12441
5/6/20,50781,8339,12731
5/7/20,51420,8415,12980
5/8/20,52011,8521,13201
5/9/20,52596,8581,13411
5/10/20,53081,8656,13642
5/11/20,53449,8707,13697
5/12/20,53779,8761,13732
5/13/20,53981,8843,13937
5/14/20,54288,8903,14111
5/15/20,54644,8959,14301
5/16/20,54989,9005,14460
5/17/20,55280,9052,14630
5/18/20,55559,9080,14657
5/19/20,55791,9108,14687
5/20/20,55983,9150,14847
5/21/20,56235,9186,14988
5/22/20,56511,9212,15123
5/23/20,56810,9237,15155
5/24/20,57092,9280,15272
5/25/20,57342,9312,15297
5/26/20,57455,9334,15320
5/27/20,57592,9364,15465
5/28/20,57849,9388,15572
5/29/20,58061,9430,15682
5/30/20,58186,9453,15769
5/31/20,58381,9467,15887
6/1/20,58517,9486,15919
6/2/20,58615,9505,15934
6/3/20,58685,9522,15959
6/4/20,58767,9548,16048
6/5/20,58907,9566,16112
6/6/20,59072,9580,16190
6/7/20,59226,9595,16291
6/8/20,59348,9606,16315
6/9/20,59437,9619,16324
6/10/20,59569,9629,16392
6/11/20,59711,9636,16453
6/12/20,59819,9646,16498
6/13/20,59918,9650,16547
6/14/20,60029,9655,16589
6/15/20,60100,9661,16610
6/16/20,60155,9663,16625
6/17/20,60244,9675,16684
