Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,2,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,2,0,0
3/23/20,5,0,0
3/24/20,6,0,0
3/25/20,6,0,0
3/26/20,6,0,0
3/27/20,6,0,0
3/28/20,6,0,0
3/29/20,6,0,0
3/30/20,6,0,0
3/31/20,9,0,1
4/1/20,13,0,1
4/2/20,13,0,1
4/3/20,16,0,2
4/4/20,16,0,2
4/5/20,22,0,5
4/6/20,26,1,5
4/7/20,26,1,5
4/8/20,26,1,5
4/9/20,26,1,5
4/10/20,35,1,5
4/11/20,35,1,5
4/12/20,35,1,5
4/13/20,35,1,5
4/14/20,35,1,18
4/15/20,35,1,18
4/16/20,35,1,18
4/17/20,35,1,18
4/18/20,35,1,18
4/19/20,35,1,18
4/20/20,54,1,27
4/21/20,54,1,27
4/22/20,54,1,27
4/23/20,54,1,27
4/24/20,54,1,27
4/25/20,54,1,27
4/26/20,64,1,33
4/27/20,64,1,33
4/28/20,64,1,33
4/29/20,64,1,33
4/30/20,64,1,33
5/1/20,90,2,42
5/2/20,90,2,42
5/3/20,90,2,42
5/4/20,96,2,50
5/5/20,96,2,50
5/6/20,96,2,50
5/7/20,140,2,53
5/8/20,242,2,62
5/9/20,284,2,62
5/10/20,319,2,62
5/11/20,319,2,62
5/12/20,327,2,76
5/13/20,327,2,83
5/14/20,339,2,83
5/15/20,339,2,83
5/16/20,339,2,83
5/17/20,339,2,83
5/18/20,339,2,83
5/19/20,130,2,83
5/20/20,130,2,57
5/21/20,135,3,61
5/22/20,135,3,61
5/23/20,135,3,61
5/24/20,191,3,82
5/25/20,191,3,84
5/26/20,208,3,118
5/27/20,210,3,134
5/28/20,210,3,134
5/29/20,224,3,136
5/30/20,224,3,136
5/31/20,232,3,143
6/1/20,243,3,147
6/2/20,244,3,148
6/3/20,244,3,148
6/4/20,261,3,151
6/5/20,261,3,151
6/6/20,261,3,151
6/7/20,261,3,151
6/8/20,288,4,186
6/9/20,305,4,188
6/10/20,305,4,188
6/11/20,305,4,188
6/12/20,388,5,217
6/13/20,412,6,222
6/14/20,442,6,228
6/15/20,483,9,232
6/16/20,532,9,236
6/17/20,572,9,237
