Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,3,0,0
3/14/20,10,0,0
3/15/20,10,0,0
3/16/20,11,0,0
3/17/20,11,0,0
3/18/20,12,0,0
3/19/20,12,0,0
3/20/20,15,0,0
3/21/20,19,0,0
3/22/20,24,0,0
3/23/20,27,0,0
3/24/20,29,0,0
3/25/20,32,0,0
3/26/20,43,0,0
3/27/20,61,0,0
3/28/20,74,0,0
3/29/20,81,1,0
3/30/20,97,4,0
3/31/20,107,6,0
4/1/20,115,7,1
4/2/20,123,8,1
4/3/20,132,9,1
4/4/20,139,10,1
4/5/20,157,10,2
4/6/20,183,11,2
4/7/20,194,14,2
4/8/20,210,15,2
4/9/20,264,18,2
4/10/20,268,19,2
4/11/20,275,20,2
4/12/20,300,24,2
4/13/20,330,27,2
4/14/20,354,28,6
4/15/20,397,28,7
4/16/20,441,29,14
4/17/20,465,31,26
4/18/20,493,31,31
4/19/20,520,32,31
4/20/20,564,33,31
4/21/20,598,34,37
4/22/20,609,37,44
4/23/20,703,43,44
4/24/20,807,44,54
4/25/20,866,46,54
4/26/20,950,50,80
4/27/20,1014,53,98
4/28/20,1053,55,110
4/29/20,1110,59,117
4/30/20,1167,62,132
5/1/20,1229,66,134
5/2/20,1470,71,159
5/3/20,1594,76,166
5/4/20,1681,82,174
5/5/20,1802,86,187
5/6/20,1886,91,198
5/7/20,2081,102,219
5/8/20,2266,106,237
5/9/20,2437,114,258
5/10/20,2556,118,273
5/11/20,2831,122,299
5/12/20,2964,128,313
5/13/20,3148,142,339
5/14/20,3372,152,356
5/15/20,3577,164,434
5/16/20,3826,165,473
5/17/20,4088,169,493
5/18/20,4263,174,503
5/19/20,4481,189,533
5/20/20,4919,199,553
5/21/20,5187,215,561
5/22/20,5579,230,575
5/23/20,5915,240,609
5/24/20,6263,250,629
5/25/20,6660,261,647
5/26/20,7136,274,677
5/27/20,7768,280,689
5/28/20,8387,293,738
5/29/20,8731,300,749
5/30/20,9592,310,889
5/31/20,9982,313,968
6/1/20,10531,343,1137
6/2/20,10991,376,1298
6/3/20,11638,400,1507
6/4/20,12245,415,1658
6/5/20,12728,427,1739
6/6/20,13358,454,1902
6/7/20,13643,465,2086
6/8/20,13949,475,2159
6/9/20,14644,487,2190
6/10/20,15281,512,2261
6/11/20,16165,533,2372
6/12/20,16929,559,2431
6/13/20,17842,585,2768
6/14/20,18459,611,3113
6/15/20,19073,632,3430
6/16/20,19883,659,3752
6/17/20,20685,679,4002
