Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,2,0,0
3/6/20,2,0,0
3/7/20,3,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,5,0,0
3/11/20,7,0,0
3/12/20,11,0,0
3/13/20,13,0,0
3/14/20,18,0,0
3/15/20,24,0,0
3/16/20,25,0,0
3/17/20,26,0,2
3/18/20,38,0,2
3/19/20,63,0,2
3/20/20,89,0,2
3/21/20,93,1,2
3/22/20,126,1,2
3/23/20,136,1,2
3/24/20,166,3,2
3/25/20,176,3,2
3/26/20,191,3,2
3/27/20,237,4,5
3/28/20,258,5,5
3/29/20,323,6,8
3/30/20,368,10,17
3/31/20,420,13,17
4/1/20,459,13,19
4/2/20,533,16,20
4/3/20,579,17,27
4/4/20,624,21,30
4/5/20,654,23,30
4/6/20,674,29,47
4/7/20,764,33,68
4/8/20,804,34,79
4/9/20,858,35,101
4/10/20,901,36,129
4/11/20,946,37,139
4/12/20,1009,39,193
4/13/20,1037,39,206
4/14/20,1083,40,236
4/15/20,1110,41,253
4/16/20,1167,43,277
4/17/20,1214,46,320
4/18/20,1268,47,338
4/19/20,1285,48,347
4/20/20,1309,49,381
4/21/20,1342,51,437
4/22/20,1368,53,460
4/23/20,1413,54,485
4/24/20,1421,55,538
4/25/20,1486,57,592
4/26/20,1516,59,624
4/27/20,1565,60,659
4/28/20,1585,63,682
4/29/20,1677,65,710
4/30/20,1757,69,727
5/1/20,1781,70,755
5/2/20,1839,72,779
5/3/20,1857,77,825
5/4/20,1926,78,855
5/5/20,1946,79,911
5/6/20,1987,86,928
5/7/20,2027,90,954
5/8/20,2070,98,960
5/9/20,2090,102,1059
5/10/20,2117,107,1106
5/11/20,2141,113,1114
5/12/20,2158,117,1168
5/13/20,2181,120,1228
5/14/20,2218,122,1272
5/15/20,2236,128,1336
5/16/20,2267,129,1355
5/17/20,2290,133,1436
5/18/20,2304,133,1464
5/19/20,2321,134,1522
5/20/20,2338,136,1557
5/21/20,2350,140,1596
5/22/20,2372,141,1614
5/23/20,2391,141,1662
5/24/20,2401,144,1680
5/25/20,2406,146,1696
5/26/20,2416,149,1721
5/27/20,2435,151,1744
5/28/20,2462,153,1781
5/29/20,2485,153,1803
5/30/20,2494,153,1831
5/31/20,2510,153,1862
6/1/20,2524,154,1888
6/2/20,2535,157,1910
6/3/20,2551,157,1939
6/4/20,2594,159,1951
6/5/20,2606,159,1968
6/6/20,2606,159,1968
6/7/20,2606,159,1968
6/8/20,2704,160,2023
6/9/20,2728,160,2049
6/10/20,2775,161,2063
6/11/20,2832,161,2100
6/12/20,2893,163,2119
6/13/20,2893,163,2119
6/14/20,2893,163,2119
6/15/20,3040,165,2162
6/16/20,3085,168,2178
6/17/20,3141,168,2197
