Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,2,0,0
3/1/20,2,0,0
3/2/20,2,0,0
3/3/20,2,0,0
3/4/20,4,0,0
3/5/20,4,0,0
3/6/20,13,0,0
3/7/20,13,0,0
3/8/20,20,0,0
3/9/20,25,0,0
3/10/20,31,0,0
3/11/20,38,0,0
3/12/20,52,0,0
3/13/20,151,0,0
3/14/20,151,0,0
3/15/20,162,0,0
3/16/20,200,0,1
3/17/20,321,1,2
3/18/20,372,3,2
3/19/20,621,6,2
3/20/20,793,11,2
3/21/20,1021,15,2
3/22/20,1546,25,2
3/23/20,1924,34,2
3/24/20,2247,46,2
3/25/20,2554,59,2
3/26/20,2985,77,6
3/27/20,3417,92,6
3/28/20,3904,111,6
3/29/20,4256,136,6
3/30/20,4579,159,120
3/31/20,5717,201,127
4/1/20,6836,240,127
4/2/20,8044,324,127
4/3/20,9056,359,127
4/4/20,10360,445,127
4/5/20,11130,486,127
4/6/20,12161,564,127
4/7/20,14034,686,127
4/8/20,16170,819,127
4/9/20,18092,950,173
4/10/20,19638,1057,173
4/11/20,20727,1124,173
4/12/20,22192,1223,173
4/13/20,23430,1328,173
4/14/20,25262,1532,3046
4/15/20,28320,1736,14026
4/16/20,30425,1924,14026
4/17/20,33682,2141,14026
4/18/20,36658,2354,14026
4/19/20,38654,2462,22130
4/20/20,40743,2587,22130
4/21/20,43079,2741,22991
4/22/20,45757,2906,25318
4/23/20,50036,3331,26573
4/24/20,54043,3704,27655
4/25/20,59324,4057,29160
4/26/20,63100,4286,30152
4/27/20,67446,4603,31142
4/28/20,73235,5083,32544
4/29/20,79685,5513,34132
4/30/20,87187,6006,35935
5/1/20,92202,6412,38039
5/2/20,97100,6761,40937
5/3/20,101826,7051,42991
5/4/20,108620,7367,45815
5/5/20,115455,7938,48221
5/6/20,126611,8588,51370
5/7/20,135773,9190,55350
5/8/20,146894,10017,59297
5/9/20,156061,10656,61685
5/10/20,162699,11123,64957
5/11/20,169594,11653,67384
5/12/20,178214,12461,72597
5/13/20,190137,13240,78424
5/14/20,203165,13999,79479
5/15/20,220291,14962,84970
5/16/20,233511,15662,89672
5/17/20,241080,16118,94122
5/18/20,255368,16853,100459
5/19/20,271885,17983,106794
5/20/20,291579,18859,116683
5/21/20,310087,20047,125960
5/22/20,330890,21048,135430
5/23/20,347398,22013,142587
5/24/20,363211,22666,149911
5/25/20,374898,23473,153833
5/26/20,391222,24512,158593
5/27/20,411821,25598,166647
5/28/20,438238,26754,177604
5/29/20,465166,27878,189476
5/30/20,498440,28834,200892
5/31/20,514849,29314,206555
6/1/20,526447,29937,211080
6/2/20,555383,31199,223638
6/3/20,584016,32548,238617
6/4/20,614941,34021,254963
6/5/20,645771,35026,266940
6/6/20,672846,35930,277149
6/7/20,691758,36455,283952
6/8/20,707412,37134,378257
6/9/20,739503,38406,396737
6/10/20,772416,39680,413916
6/11/20,802828,40919,429965
6/12/20,828810,41828,445123
6/13/20,850514,42720,459436
6/14/20,867624,43332,469141
6/15/20,888271,43959,477709
6/16/20,923189,45241,490005
6/17/20,955377,46510,521046
