Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,11,0,0
3/12/20,11,0,0
3/13/20,37,0,0
3/14/20,40,0,0
3/15/20,50,0,0
3/16/20,54,0,0
3/17/20,56,0,0
3/18/20,68,0,0
3/19/20,75,0,0
3/20/20,78,0,1
3/21/20,83,0,2
3/22/20,88,0,2
3/23/20,91,0,2
3/24/20,104,0,2
3/25/20,109,0,2
3/26/20,114,0,5
3/27/20,115,0,11
3/28/20,120,1,25
3/29/20,126,1,34
3/30/20,127,1,38
3/31/20,129,1,45
4/1/20,131,1,52
4/2/20,133,1,56
4/3/20,134,1,65
4/4/20,135,1,66
4/5/20,135,1,73
4/6/20,135,1,82
4/7/20,135,1,85
4/8/20,135,1,91
4/9/20,135,1,92
4/10/20,136,1,99
4/11/20,136,1,104
4/12/20,136,1,106
4/13/20,136,1,107
4/14/20,136,1,107
4/15/20,136,1,108
4/16/20,136,1,108
4/17/20,136,1,112
4/18/20,137,1,113
4/19/20,138,1,115
4/20/20,138,1,116
4/21/20,138,1,116
4/22/20,138,1,117
4/23/20,138,1,119
4/24/20,138,1,120
4/25/20,138,1,121
4/26/20,138,1,123
4/27/20,138,1,124
4/28/20,138,1,124
4/29/20,138,1,124
4/30/20,138,1,124
5/1/20,138,1,124
5/2/20,138,1,126
5/3/20,138,1,128
5/4/20,138,1,130
5/5/20,138,1,131
5/6/20,139,1,131
5/7/20,141,1,131
5/8/20,141,1,132
5/9/20,141,1,132
5/10/20,141,1,134
5/11/20,141,1,134
5/12/20,141,1,134
5/13/20,141,1,134
5/14/20,141,1,134
5/15/20,141,1,135
5/16/20,141,1,136
5/17/20,141,1,136
5/18/20,141,1,136
5/19/20,141,1,136
5/20/20,141,1,136
5/21/20,141,1,136
5/22/20,141,1,136
5/23/20,141,1,136
5/24/20,141,1,137
5/25/20,141,1,137
5/26/20,141,1,137
5/27/20,141,2,137
5/28/20,141,2,138
5/29/20,141,2,138
5/30/20,141,2,138
5/31/20,141,2,138
6/1/20,141,2,138
6/2/20,141,2,138
6/3/20,141,2,138
6/4/20,141,2,138
6/5/20,141,2,138
6/6/20,141,2,138
6/7/20,141,2,138
6/8/20,141,2,138
6/9/20,141,2,138
6/10/20,141,2,138
6/11/20,141,2,138
6/12/20,141,2,138
6/13/20,141,2,138
6/14/20,141,2,138
6/15/20,141,2,138
6/16/20,141,3,138
6/17/20,141,3,138
