Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,4,0,0
3/9/20,4,0,0
3/10/20,4,0,0
3/11/20,7,1,0
3/12/20,7,1,0
3/13/20,23,1,0
3/14/20,41,2,0
3/15/20,51,2,0
3/16/20,52,2,0
3/17/20,67,2,0
3/18/20,92,2,0
3/19/20,94,3,0
3/20/20,127,3,0
3/21/20,163,3,3
3/22/20,187,3,3
3/23/20,201,3,3
3/24/20,218,3,3
3/25/20,242,3,4
3/26/20,264,3,8
3/27/20,293,3,9
3/28/20,331,7,11
3/29/20,346,8,14
3/30/20,359,8,17
3/31/20,399,8,17
4/1/20,422,10,20
4/2/20,457,10,25
4/3/20,485,14,30
4/4/20,503,17,34
4/5/20,531,20,37
4/6/20,549,22,39
4/7/20,577,23,42
4/8/20,593,24,42
4/9/20,618,24,48
4/10/20,635,25,54
4/11/20,661,28,62
4/12/20,675,29,68
4/13/20,685,32,71
4/14/20,713,35,81
4/15/20,747,36,105
4/16/20,800,38,122
4/17/20,846,41,141
4/18/20,878,41,153
4/19/20,894,42,161
4/20/20,929,43,167
4/21/20,975,45,170
4/22/20,1024,49,174
4/23/20,1097,52,190
4/24/20,1234,54,197
4/25/20,1247,55,197
4/26/20,1300,56,205
4/27/20,1363,58,206
4/28/20,1399,58,222
4/29/20,1447,64,243
4/30/20,1506,66,266
5/1/20,1555,68,276
5/2/20,1594,72,287
5/3/20,1618,73,308
5/4/20,1652,78,321
5/5/20,1704,80,342
5/6/20,1778,84,360
5/7/20,1829,84,384
5/8/20,1872,86,401
5/9/20,1921,90,422
5/10/20,1965,91,444
5/11/20,1990,93,461
5/12/20,2023,95,476
5/13/20,2069,96,499
5/14/20,2100,99,531
5/15/20,2138,102,545
5/16/20,2175,105,573
5/17/20,2211,108,598
5/18/20,2235,110,612
5/19/20,2259,112,646
5/20/20,2292,116,684
5/21/20,2331,120,727
5/22/20,2372,125,769
5/23/20,2408,126,808
5/24/20,2427,130,840
5/25/20,2433,130,862
5/26/20,2443,130,880
5/27/20,2460,133,912
5/28/20,2477,134,965
5/29/20,2485,136,1016
5/30/20,2499,139,1064
5/31/20,2513,140,1074
6/1/20,2519,140,1090
6/2/20,2538,144,1123
6/3/20,2560,146,1206
6/4/20,2585,147,1322
6/5/20,2627,159,1390
6/6/20,2711,160,1545
6/7/20,2727,160,1548
6/8/20,2810,164,1587
6/9/20,2889,167,1623
6/10/20,2993,167,1664
6/11/20,3086,168,1688
6/12/20,3191,172,1716
6/13/20,3266,172,1723
6/14/20,3290,174,1730
6/15/20,3341,176,1784
6/16/20,3453,181,1817
6/17/20,3542,184,1880
