Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,3,0,0
3/16/20,15,0,0
3/17/20,15,0,0
3/18/20,20,1,0
3/19/20,33,1,0
3/20/20,40,1,0
3/21/20,64,2,5
3/22/20,75,4,5
3/23/20,99,4,5
3/24/20,114,4,7
3/25/20,146,4,10
3/26/20,152,7,10
3/27/20,180,9,12
3/28/20,207,11,21
3/29/20,222,12,23
3/30/20,246,12,31
3/31/20,261,14,32
4/1/20,282,16,46
4/2/20,288,16,50
4/3/20,302,16,50
4/4/20,318,16,66
4/5/20,345,17,90
4/6/20,364,18,108
4/7/20,384,19,127
4/8/20,414,23,134
4/9/20,443,24,146
4/10/20,443,24,146
4/11/20,484,27,155
4/12/20,497,27,161
4/13/20,497,27,161
4/14/20,528,30,177
4/15/20,542,32,226
4/16/20,546,32,257
4/17/20,557,35,294
4/18/20,565,36,321
4/19/20,576,36,338
4/20/20,581,38,357
4/21/20,600,38,362
4/22/20,609,39,389
4/23/20,616,41,410
4/24/20,629,41,425
4/25/20,629,41,442
4/26/20,632,42,453
4/27/20,635,42,469
4/28/20,638,42,476
4/29/20,641,43,498
4/30/20,645,43,506
5/1/20,649,44,517
5/2/20,652,44,535
5/3/20,662,45,540
5/4/20,672,46,545
5/5/20,688,48,548
5/6/20,729,48,555
5/7/20,736,48,562
5/8/20,744,48,566
5/9/20,748,48,569
5/10/20,751,49,577
5/11/20,760,50,584
5/12/20,766,51,588
5/13/20,773,51,592
5/14/20,773,51,592
5/15/20,780,51,595
5/16/20,782,51,604
5/17/20,796,51,644
5/18/20,796,51,652
5/19/20,796,51,652
5/20/20,809,52,661
5/21/20,812,52,669
5/22/20,814,52,672
5/23/20,814,52,672
5/24/20,814,52,672
5/25/20,832,52,672
5/26/20,832,52,672
5/27/20,845,53,672
5/28/20,847,53,719
5/29/20,847,53,720
5/30/20,847,53,720
5/31/20,847,53,720
6/1/20,847,53,720
6/2/20,881,53,720
6/3/20,884,53,753
6/4/20,885,53,760
6/5/20,888,53,760
6/6/20,888,53,765
6/7/20,889,53,765
6/8/20,890,53,765
6/9/20,891,53,765
6/10/20,891,53,765
6/11/20,892,53,790
6/12/20,892,53,791
6/13/20,892,53,799
6/14/20,894,53,799
6/15/20,894,53,804
6/16/20,895,53,807
6/17/20,899,53,809
