Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,8,0,0
3/28/20,8,0,0
3/29/20,10,0,0
3/30/20,14,0,0
3/31/20,15,1,0
4/1/20,15,1,0
4/2/20,20,1,0
4/3/20,20,1,0
4/4/20,21,1,0
4/5/20,21,1,0
4/6/20,22,1,0
4/7/20,22,1,0
4/8/20,22,3,0
4/9/20,23,3,2
4/10/20,27,3,2
4/11/20,38,3,2
4/12/20,41,4,2
4/13/20,62,4,2
4/14/20,63,4,2
4/15/20,74,4,2
4/16/20,85,4,2
4/17/20,88,4,5
4/18/20,98,5,5
4/19/20,111,5,7
4/20/20,119,5,7
4/21/20,121,5,7
4/22/20,123,5,7
4/23/20,139,5,9
4/24/20,144,5,9
4/25/20,146,5,10
4/26/20,146,5,10
4/27/20,146,5,16
4/28/20,150,5,16
4/29/20,150,6,27
4/30/20,151,6,27
5/1/20,151,6,31
5/2/20,151,6,37
5/3/20,155,6,43
5/4/20,161,6,49
5/5/20,161,6,49
5/6/20,161,6,50
5/7/20,176,6,62
5/8/20,177,6,67
5/9/20,178,6,68
5/10/20,180,6,72
5/11/20,180,6,74
5/12/20,180,6,76
5/13/20,181,6,79
5/14/20,181,6,84
5/15/20,182,6,89
5/16/20,182,6,96
5/17/20,184,6,97
5/18/20,191,6,101
5/19/20,193,6,104
5/20/20,199,6,108
5/21/20,199,6,108
5/22/20,199,6,116
5/23/20,201,6,120
5/24/20,201,6,122
5/25/20,203,6,123
5/26/20,206,6,124
5/27/20,206,6,126
5/28/20,206,6,126
5/29/20,207,6,130
5/30/20,224,6,130
5/31/20,224,6,138
6/1/20,228,6,138
6/2/20,232,6,143
6/3/20,233,6,145
6/4/20,236,6,148
6/5/20,236,6,151
6/6/20,240,6,156
6/7/20,242,6,156
6/8/20,244,6,159
6/9/20,246,6,159
6/10/20,248,6,165
6/11/20,260,6,165
6/12/20,261,6,165
6/13/20,261,6,167
6/14/20,261,6,167
6/15/20,262,6,175
6/16/20,262,6,179
6/17/20,262,6,185
