Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,3,1,0
3/25/20,4,1,0
3/26/20,4,1,0
3/27/20,5,1,0
3/28/20,5,1,0
3/29/20,6,1,0
3/30/20,6,1,0
3/31/20,6,1,0
4/1/20,6,1,0
4/2/20,6,1,0
4/3/20,6,1,0
4/4/20,7,1,0
4/5/20,7,1,0
4/6/20,7,1,1
4/7/20,7,1,1
4/8/20,7,1,1
4/9/20,7,1,1
4/10/20,7,1,1
4/11/20,8,1,1
4/12/20,8,1,1
4/13/20,10,1,1
4/14/20,11,1,1
4/15/20,56,1,1
4/16/20,56,1,1
4/17/20,56,1,1
4/18/20,58,1,1
4/19/20,61,1,1
4/20/20,67,1,1
4/21/20,68,1,1
4/22/20,73,1,1
4/23/20,82,1,1
4/24/20,88,1,1
4/25/20,90,1,1
4/26/20,106,1,1
4/27/20,109,1,1
4/28/20,114,1,2
4/29/20,114,1,2
4/30/20,121,1,4
5/1/20,122,1,18
5/2/20,152,2,18
5/3/20,165,2,33
5/4/20,175,2,37
5/5/20,186,2,37
5/6/20,191,2,38
5/7/20,218,2,38
5/8/20,230,2,44
5/9/20,236,2,56
5/10/20,246,2,56
5/11/20,260,2,58
5/12/20,267,2,58
5/13/20,289,2,61
5/14/20,315,2,67
5/15/20,326,2,67
5/16/20,328,3,84
5/17/20,328,3,84
5/18/20,328,3,85
5/19/20,335,3,85
5/20/20,349,3,85
5/21/20,356,3,95
5/22/20,362,3,95
5/23/20,371,3,142
5/24/20,380,3,155
5/25/20,390,3,155
5/26/20,390,4,155
5/27/20,390,4,155
5/28/20,390,4,155
5/29/20,405,4,155
5/30/20,421,4,167
5/31/20,435,4,193
6/1/20,458,4,193
6/2/20,466,5,237
6/3/20,477,5,238
6/4/20,502,5,239
6/5/20,536,5,239
6/6/20,542,5,240
6/7/20,554,5,240
6/8/20,567,5,266
6/9/20,585,5,270
6/10/20,615,5,294
6/11/20,657,6,294
6/12/20,697,6,294
6/13/20,726,6,294
6/14/20,750,6,301
6/15/20,760,7,340
6/16/20,781,7,354
6/17/20,792,7,377
