Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,2,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,2,0,0
3/16/20,4,0,0
3/17/20,10,0,0
3/18/20,10,0,0
3/19/20,13,0,0
3/20/20,20,0,0
3/21/20,27,0,0
3/22/20,40,0,0
3/23/20,56,0,0
3/24/20,66,0,0
3/25/20,75,1,2
3/26/20,75,1,2
3/27/20,91,2,2
3/28/20,91,2,2
3/29/20,139,6,5
3/30/20,139,6,5
3/31/20,193,6,5
4/1/20,233,6,10
4/2/20,306,7,10
4/3/20,509,8,17
4/4/20,555,9,17
4/5/20,650,9,17
4/6/20,658,9,17
4/7/20,658,9,43
4/8/20,730,10,60
4/9/20,730,10,60
4/10/20,820,12,98
4/11/20,820,12,98
4/12/20,820,12,98
4/13/20,820,12,98
4/14/20,848,14,130
4/15/20,848,17,165
4/16/20,996,22,164
4/17/20,996,22,164
4/18/20,1017,22,177
4/19/20,1017,42,305
4/20/20,1163,42,305
4/21/20,1163,43,329
4/22/20,1163,43,397
4/23/20,1334,43,668
4/24/20,1430,43,668
4/25/20,1518,53,697
4/26/20,1621,56,786
4/27/20,1705,58,805
4/28/20,1705,58,915
4/29/20,1832,61,934
4/30/20,1832,61,934
5/1/20,1832,61,934
5/2/20,2077,64,953
5/3/20,2077,64,953
5/4/20,2104,64,953
5/5/20,2104,64,953
5/6/20,2265,108,1000
5/7/20,2267,108,1002
5/8/20,2267,108,1002
5/9/20,2274,108,1232
5/10/20,2579,114,1465
5/11/20,2689,125,1524
5/12/20,2689,125,1524
5/13/20,2800,136,1543
5/14/20,2954,139,1553
5/15/20,3105,140,1567
5/16/20,3105,140,1567
5/17/20,3105,140,1567
5/18/20,3529,140,1567
5/19/20,3529,140,1567
5/20/20,3733,146,1595
5/21/20,4288,156,1808
5/22/20,4400,159,1822
5/23/20,4400,159,1822
5/24/20,4890,165,1865
5/25/20,4890,165,1865
5/26/20,5436,175,1996
5/27/20,5436,175,1996
5/28/20,5436,175,1996
5/29/20,5436,177,3326
5/30/20,5904,191,3568
5/31/20,5904,191,3568
6/1/20,6397,199,3629
6/2/20,6585,200,3676
6/3/20,6585,200,3676
6/4/20,6789,203,3705
6/5/20,7392,205,4575
6/6/20,7599,212,4587
6/7/20,7908,212,4735
6/8/20,8060,212,4748
6/9/20,8312,212,4794
6/10/20,8681,212,4836
6/11/20,8681,212,4836
6/12/20,8681,212,4836
6/13/20,8681,212,4836
6/14/20,8681,212,4836
6/15/20,9864,276,5570
6/16/20,9864,276,5570
6/17/20,9864,276,5570
