Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,1,0,0
1/27/20,1,0,0
1/28/20,2,0,0
1/29/20,2,0,0
1/30/20,2,0,0
1/31/20,4,0,0
2/1/20,4,0,0
2/2/20,4,0,0
2/3/20,4,0,0
2/4/20,4,0,0
2/5/20,5,0,0
2/6/20,5,0,0
2/7/20,7,0,0
2/8/20,7,0,0
2/9/20,7,0,0
2/10/20,7,0,0
2/11/20,7,0,0
2/12/20,7,0,1
2/13/20,7,0,1
2/14/20,7,0,1
2/15/20,7,0,1
2/16/20,7,0,1
2/17/20,8,0,1
2/18/20,8,0,1
2/19/20,8,0,1
2/20/20,8,0,1
2/21/20,9,0,3
2/22/20,9,0,3
2/23/20,9,0,3
2/24/20,10,0,3
2/25/20,11,0,3
2/26/20,11,0,3
2/27/20,13,0,6
2/28/20,14,0,6
2/29/20,20,0,6
3/1/20,24,0,6
3/2/20,27,0,6
3/3/20,30,0,6
3/4/20,33,0,6
3/5/20,37,0,6
3/6/20,49,0,6
3/7/20,54,0,8
3/8/20,64,0,8
3/9/20,77,1,8
3/10/20,79,1,8
3/11/20,108,1,8
3/12/20,117,1,8
3/13/20,193,1,8
3/14/20,198,1,8
3/15/20,252,1,8
3/16/20,415,4,9
3/17/20,478,5,9
3/18/20,657,8,9
3/19/20,800,9,9
3/20/20,943,12,9
3/21/20,1277,19,10
3/22/20,1469,21,10
3/23/20,2088,25,10
3/24/20,2790,26,110
3/25/20,3251,30,183
3/26/20,4042,38,184
3/27/20,4682,54,256
3/28/20,5576,61,466
3/29/20,6280,64,466
3/30/20,7398,80,466
3/31/20,8527,101,1592
4/1/20,9560,109,1324
4/2/20,11284,139,1735
4/3/20,12437,179,2175
4/4/20,12978,218,2577
4/5/20,15756,259,3012
4/6/20,16563,339,3256
4/7/20,17872,375,3791
4/8/20,19141,407,4154
4/9/20,20654,503,5162
4/10/20,22059,557,5855
4/11/20,23316,654,6589
4/12/20,24299,714,7123
4/13/20,25680,781,7758
4/14/20,27035,901,8210
4/15/20,28209,1008,8966
4/16/20,30809,1259,9698
4/17/20,32814,1356,10545
4/18/20,34356,1401,10964
4/19/20,35633,1565,11847
4/20/20,37658,1727,12543
4/21/20,39402,1910,13188
4/22/20,41663,2078,14454
4/23/20,43299,2241,14761
4/24/20,44919,2402,15149
4/25/20,46371,2571,16013
4/26/20,48033,2687,16883
4/27/20,49616,2841,18268
4/28/20,51150,2983,19231
4/29/20,52865,3155,20327
4/30/20,54457,3310,21424
5/1/20,56343,3537,22764
5/2/20,57926,3684,23814
5/3/20,60504,3795,24921
5/4/20,61957,4003,26030
5/5/20,63215,4190,27006
5/6/20,64694,4366,28184
5/7/20,66201,4541,29260
5/8/20,67674,4697,30239
5/9/20,68918,4823,31262
5/10/20,70091,4991,32109
5/11/20,71264,5115,33007
5/12/20,72419,5300,34055
5/13/20,73568,5425,35177
5/14/20,74781,5592,36104
5/15/20,75959,5679,36908
5/16/20,77206,5800,37832
5/17/20,78332,5903,38563
5/18/20,79411,5960,39251
5/19/20,80493,6028,40069
5/20/20,81575,6150,40793
5/21/20,82742,6267,41731
5/22/20,83947,6360,42608
5/23/20,85151,6466,43318
5/24/20,86106,6534,43998
5/25/20,87119,6655,44651
5/26/20,88090,6753,45352
5/27/20,88989,6876,46248
5/28/20,89976,6982,46961
5/29/20,90909,7063,47905
5/30/20,91681,7159,48517
5/31/20,92479,7374,49213
6/1/20,93288,7404,50091
6/2/20,93960,7478,50725
6/3/20,94641,7579,51506
6/4/20,95269,7717,52184
6/5/20,95947,7778,53074
6/6/20,96475,7850,54087
6/7/20,97178,7877,54675
6/8/20,97779,7910,55343
6/9/20,98241,7970,56117
6/10/20,98720,8038,57215
6/11/20,99159,8071,58131
6/12/20,99595,8125,59034
6/13/20,100043,8183,59851
6/14/20,100404,8218,60668
6/15/20,100763,8228,61466
6/16/20,101087,8271,61899
6/17/20,101491,8312,63280
