Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,0,0,0.0
1/29/20,0,0,0.0
1/30/20,0,0,0.0
1/31/20,0,0,0.0
2/1/20,0,0,0.0
2/2/20,0,0,0.0
2/3/20,0,0,0.0
2/4/20,0,0,0.0
2/5/20,0,0,0.0
2/6/20,0,0,0.0
2/7/20,0,0,0.0
2/8/20,0,0,0.0
2/9/20,0,0,0.0
2/10/20,0,0,0.0
2/11/20,0,0,0.0
2/12/20,0,0,0.0
2/13/20,0,0,0.0
2/14/20,0,0,0.0
2/15/20,0,0,0.0
2/16/20,0,0,0.0
2/17/20,0,0,0.0
2/18/20,0,0,0.0
2/19/20,0,0,0.0
2/20/20,0,0,0.0
2/21/20,0,0,0.0
2/22/20,0,0,0.0
2/23/20,0,0,0.0
2/24/20,0,0,0.0
2/25/20,0,0,0.0
2/26/20,0,0,0.0
2/27/20,0,0,0.0
2/28/20,0,0,0.0
2/29/20,0,0,0.0
3/1/20,0,0,0.0
3/2/20,0,0,0.0
3/3/20,0,0,0.0
3/4/20,0,0,0.0
3/5/20,0,0,0.0
3/6/20,1,0,0.0
3/7/20,2,0,0.0
3/8/20,4,0,0.0
3/9/20,7,0,0.0
3/10/20,7,0,0.0
3/11/20,19,0,0.0
3/12/20,19,0,0.0
3/13/20,29,0,0.0
3/14/20,29,0,0.0
3/15/20,39,0,0.0
3/16/20,56,0,0.0
3/17/20,74,0,0.0
3/18/20,97,0,0.0
3/19/20,119,0,0.0
3/20/20,146,1,0.0
3/21/20,195,1,0.0
3/22/20,259,1,0.0
3/23/20,301,1,0.0
3/24/20,359,1,0.0
3/25/20,358,2,0.0
3/26/20,486,2,0.0
3/27/20,542,2,0.0
3/28/20,542,2,0.0
3/29/20,621,2,0.0
3/30/20,661,3,0.0
3/31/20,690,8,0.0
4/1/20,754,9,0.0
4/2/20,969,13,0.0
4/3/20,969,13,0.0
4/4/20,1075,18,0.0
4/5/20,1181,20,0.0
4/6/20,1250,23,0.0
4/7/20,1373,24,0.0
4/8/20,1373,26,0.0
4/9/20,1423,29,0.0
4/10/20,1451,32,0.0
4/11/20,1567,40,0.0
4/12/20,1567,40,0.0
4/13/20,1732,46,0.0
4/14/20,1870,48,0.0
4/15/20,1870,48,0.0
4/16/20,1996,48,0.0
4/17/20,2397,50,0.0
4/18/20,2562,51,0.0
4/19/20,2803,51,0.0
4/20/20,2908,59,0.0
4/21/20,3095,61,0.0
4/22/20,3401,66,0.0
4/23/20,3720,68,0.0
4/24/20,4017,72,0.0
4/25/20,4233,73,0.0
4/26/20,4480,73,0.0
4/27/20,4696,75,0.0
4/28/20,4850,80,0.0
4/29/20,5165,87,0.0
4/30/20,5355,90,0.0
5/1/20,5573,92,0.0
5/2/20,5670,94,0.0
5/3/20,5766,95,0.0
5/4/20,5836,104,0.0
5/5/20,5893,106,0.0
5/6/20,5963,112,0.0
5/7/20,6017,114,0.0
5/8/20,6098,115,0.0
5/9/20,6157,116,0.0
5/10/20,6253,117,0.0
5/11/20,6300,117,0.0
5/12/20,6345,118,0.0
5/13/20,6407,120,0.0
5/14/20,6457,121,0.0
5/15/20,6515,125,0.0
5/16/20,6587,126,0.0
5/17/20,6644,127,0.0
5/18/20,6683,128,0.0
5/19/20,6716,128,0.0
5/20/20,6735,128,0.0
5/21/20,6768,132,0.0
5/22/20,6800,134,0.0
5/23/20,6818,135,0.0
5/24/20,6860,135,0.0
5/25/20,6879,138,0.0
5/26/20,6901,139,0.0
5/27/20,6926,141,0.0
5/28/20,6955,143,0.0
5/29/20,6979,143,0.0
5/30/20,6992,143,0.0
5/31/20,7010,143,0.0
6/1/20,7044,143,0.0
6/2/20,7057,143,0.0
6/3/20,7076,145,0.0
6/4/20,7091,146,0.0
6/5/20,7098,146,0.0
6/6/20,7138,146,0.0
6/7/20,7138,146,0.0
6/8/20,7202,149,0.0
6/9/20,7229,151,0.0
6/10/20,7276,151,0.0
6/11/20,7316,149,0.0
6/12/20,7346,149,0.0
6/13/20,7383,150,0.0
6/14/20,7433,150,0.0
6/15/20,7453,151,0.0
6/16/20,7482,151,0.0
6/17/20,7530,151,0.0
