Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,1,0,0.0
1/29/20,1,0,0.0
1/30/20,1,0,0.0
1/31/20,1,0,0.0
2/1/20,1,0,0.0
2/2/20,1,0,0.0
2/3/20,1,0,0.0
2/4/20,1,0,0.0
2/5/20,2,0,0.0
2/6/20,2,0,0.0
2/7/20,4,0,0.0
2/8/20,4,0,0.0
2/9/20,4,0,0.0
2/10/20,4,0,0.0
2/11/20,4,0,0.0
2/12/20,4,0,0.0
2/13/20,4,0,0.0
2/14/20,4,0,0.0
2/15/20,4,0,0.0
2/16/20,4,0,0.0
2/17/20,5,0,0.0
2/18/20,5,0,0.0
2/19/20,5,0,0.0
2/20/20,5,0,0.0
2/21/20,6,0,0.0
2/22/20,6,0,0.0
2/23/20,6,0,0.0
2/24/20,6,0,0.0
2/25/20,7,0,0.0
2/26/20,7,0,0.0
2/27/20,7,0,0.0
2/28/20,7,0,0.0
2/29/20,8,0,0.0
3/1/20,8,0,0.0
3/2/20,8,0,0.0
3/3/20,9,0,0.0
3/4/20,12,0,0.0
3/5/20,13,0,0.0
3/6/20,21,0,0.0
3/7/20,21,0,0.0
3/8/20,27,0,0.0
3/9/20,32,1,0.0
3/10/20,32,1,0.0
3/11/20,39,1,0.0
3/12/20,46,1,0.0
3/13/20,64,1,0.0
3/14/20,64,1,0.0
3/15/20,73,1,0.0
3/16/20,103,4,0.0
3/17/20,103,4,0.0
3/18/20,186,7,0.0
3/19/20,231,7,0.0
3/20/20,271,8,0.0
3/21/20,424,10,0.0
3/22/20,424,10,0.0
3/23/20,472,13,0.0
3/24/20,617,13,0.0
3/25/20,617,13,0.0
3/26/20,725,14,0.0
3/27/20,725,14,0.0
3/28/20,884,17,0.0
3/29/20,884,17,0.0
3/30/20,970,19,0.0
3/31/20,1013,24,0.0
4/1/20,1013,24,0.0
4/2/20,1121,31,0.0
4/3/20,1174,31,0.0
4/4/20,1203,38,0.0
4/5/20,1203,38,0.0
4/6/20,1266,38,0.0
4/7/20,1266,39,0.0
4/8/20,1291,43,0.0
4/9/20,1336,48,0.0
4/10/20,1370,50,0.0
4/11/20,1445,58,0.0
4/12/20,1445,58,0.0
4/13/20,1490,69,0.0
4/14/20,1490,69,0.0
4/15/20,1517,72,0.0
4/16/20,1561,75,0.0
4/17/20,1575,77,0.0
4/18/20,1618,78,0.0
4/19/20,1647,81,0.0
4/20/20,1647,82,0.0
4/21/20,1724,87,0.0
4/22/20,1795,90,0.0
4/23/20,1824,94,0.0
4/24/20,1853,98,0.0
4/25/20,1948,100,0.0
4/26/20,1948,100,0.0
4/27/20,1998,104,0.0
4/28/20,2053,106,0.0
4/29/20,2087,109,0.0
4/30/20,2112,111,0.0
5/1/20,2145,112,0.0
5/2/20,2171,114,0.0
5/3/20,2171,114,0.0
5/4/20,2224,117,0.0
5/5/20,2232,121,0.0
5/6/20,2255,124,0.0
5/7/20,2288,126,0.0
5/8/20,2315,127,0.0
5/9/20,2330,129,0.0
5/10/20,2330,129,0.0
5/11/20,2353,130,0.0
5/12/20,2360,132,0.0
5/13/20,2376,132,0.0
5/14/20,2392,135,0.0
5/15/20,2407,140,0.0
5/16/20,2428,141,0.0
5/17/20,2428,141,0.0
5/18/20,2444,143,0.0
5/19/20,2446,146,0.0
5/20/20,2467,149,0.0
5/21/20,2479,152,0.0
5/22/20,2507,155,0.0
5/23/20,2517,157,0.0
5/24/20,2517,157,0.0
5/25/20,2530,161,0.0
5/26/20,2541,161,0.0
5/27/20,2550,162,0.0
5/28/20,2558,164,0.0
5/29/20,2562,164,0.0
5/30/20,2573,164,0.0
5/31/20,2573,164,0.0
6/1/20,2597,165,0.0
6/2/20,2601,165,0.0
6/3/20,2623,166,0.0
6/4/20,2632,166,0.0
6/5/20,2632,167,0.0
6/6/20,2632,167,0.0
6/7/20,2632,167,0.0
6/8/20,2659,167,0.0
6/9/20,2669,167,0.0
6/10/20,2680,167,0.0
6/11/20,2694,167,0.0
6/12/20,2709,168,0.0
6/13/20,2709,168,0.0
6/14/20,2709,168,0.0
6/15/20,2745,168,0.0
6/16/20,2756,168,0.0
6/17/20,2775,168,0.0
