Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,0,0,0.0
1/29/20,0,0,0.0
1/30/20,0,0,0.0
1/31/20,0,0,0.0
2/1/20,0,0,0.0
2/2/20,0,0,0.0
2/3/20,0,0,0.0
2/4/20,0,0,0.0
2/5/20,0,0,0.0
2/6/20,0,0,0.0
2/7/20,0,0,0.0
2/8/20,0,0,0.0
2/9/20,0,0,0.0
2/10/20,0,0,0.0
2/11/20,0,0,0.0
2/12/20,0,0,0.0
2/13/20,0,0,0.0
2/14/20,0,0,0.0
2/15/20,0,0,0.0
2/16/20,0,0,0.0
2/17/20,0,0,0.0
2/18/20,0,0,0.0
2/19/20,0,0,0.0
2/20/20,0,0,0.0
2/21/20,0,0,0.0
2/22/20,0,0,0.0
2/23/20,0,0,0.0
2/24/20,0,0,0.0
2/25/20,0,0,0.0
2/26/20,0,0,0.0
2/27/20,0,0,0.0
2/28/20,0,0,0.0
2/29/20,0,0,0.0
3/1/20,0,0,0.0
3/2/20,0,0,0.0
3/3/20,0,0,0.0
3/4/20,0,0,0.0
3/5/20,0,0,0.0
3/6/20,0,0,0.0
3/7/20,0,0,0.0
3/8/20,0,0,0.0
3/9/20,0,0,0.0
3/10/20,0,0,0.0
3/11/20,0,0,0.0
3/12/20,0,0,0.0
3/13/20,0,0,0.0
3/14/20,0,0,0.0
3/15/20,0,0,0.0
3/16/20,5,0,0.0
3/17/20,7,0,0.0
3/18/20,12,0,0.0
3/19/20,14,0,0.0
3/20/20,15,0,0.0
3/21/20,21,0,0.0
3/22/20,28,0,0.0
3/23/20,41,0,0.0
3/24/20,51,0,0.0
3/25/20,68,0,0.0
3/26/20,73,0,0.0
3/27/20,90,0,0.0
3/28/20,110,0,0.0
3/29/20,122,0,0.0
3/30/20,127,0,0.0
3/31/20,147,0,0.0
4/1/20,173,0,0.0
4/2/20,193,0,0.0
4/3/20,207,0,0.0
4/4/20,236,0,0.0
4/5/20,262,0,0.0
4/6/20,293,0,0.0
4/7/20,310,1,0.0
4/8/20,310,1,0.0
4/9/20,342,1,0.0
4/10/20,407,2,0.0
4/11/20,428,2,0.0
4/12/20,445,2,0.0
4/13/20,474,3,0.0
4/14/20,517,3,0.0
4/15/20,549,3,0.0
4/16/20,579,3,0.0
4/17/20,606,4,0.0
4/18/20,649,7,0.0
4/19/20,675,9,0.0
4/20/20,721,9,0.0
4/21/20,737,10,0.0
4/22/20,772,12,0.0
4/23/20,827,16,0.0
4/24/20,850,16,0.0
4/25/20,865,22,0.0
4/26/20,873,24,0.0
4/27/20,900,24,0.0
4/28/20,915,27,0.0
4/29/20,935,28,0.0
4/30/20,947,28,0.0
5/1/20,959,29,0.0
5/2/20,963,31,0.0
5/3/20,971,37,0.0
5/4/20,985,38,0.0
5/5/20,991,41,0.0
5/6/20,998,41,0.0
5/7/20,1007,44,0.0
5/8/20,1008,46,0.0
5/9/20,1011,47,0.0
5/10/20,1018,47,0.0
5/11/20,1019,48,0.0
5/12/20,1020,48,0.0
5/13/20,1024,51,0.0
5/14/20,1026,51,0.0
5/15/20,1034,55,0.0
5/16/20,1037,55,0.0
5/17/20,1040,55,0.0
5/18/20,1043,55,0.0
5/19/20,1044,56,0.0
5/20/20,1045,57,0.0
5/21/20,1046,58,0.0
5/22/20,1048,58,0.0
5/23/20,1049,58,0.0
5/24/20,1050,58,0.0
5/25/20,1051,58,0.0
5/26/20,1052,59,0.0
5/27/20,1053,59,0.0
5/28/20,1055,59,0.0
5/29/20,1055,59,0.0
5/30/20,1056,60,0.0
5/31/20,1056,60,0.0
6/1/20,1057,60,0.0
6/2/20,1057,60,0.0
6/3/20,1058,60,0.0
6/4/20,1058,61,0.0
6/5/20,1058,61,0.0
6/6/20,1058,61,0.0
6/7/20,1059,61,0.0
6/8/20,1059,61,0.0
6/9/20,1060,62,0.0
6/10/20,1061,62,0.0
6/11/20,1061,62,0.0
6/12/20,1061,62,0.0
6/13/20,1061,62,0.0
6/14/20,1061,62,0.0
6/15/20,1061,62,0.0
6/16/20,1061,62,0.0
6/17/20,1061,62,0.0
