Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,1,0,0.0
1/27/20,1,0,0.0
1/28/20,1,0,0.0
1/29/20,1,0,0.0
1/30/20,1,0,0.0
1/31/20,3,0,0.0
2/1/20,3,0,0.0
2/2/20,3,0,0.0
2/3/20,3,0,0.0
2/4/20,3,0,0.0
2/5/20,3,0,0.0
2/6/20,3,0,0.0
2/7/20,3,0,0.0
2/8/20,3,0,0.0
2/9/20,3,0,0.0
2/10/20,3,0,0.0
2/11/20,3,0,0.0
2/12/20,3,0,0.0
2/13/20,3,0,0.0
2/14/20,3,0,0.0
2/15/20,3,0,0.0
2/16/20,3,0,0.0
2/17/20,3,0,0.0
2/18/20,3,0,0.0
2/19/20,3,0,0.0
2/20/20,3,0,0.0
2/21/20,3,0,0.0
2/22/20,3,0,0.0
2/23/20,3,0,0.0
2/24/20,4,0,0.0
2/25/20,4,0,0.0
2/26/20,4,0,0.0
2/27/20,6,0,0.0
2/28/20,6,0,0.0
2/29/20,11,0,0.0
3/1/20,15,0,0.0
3/2/20,18,0,0.0
3/3/20,20,0,0.0
3/4/20,20,0,0.0
3/5/20,22,0,0.0
3/6/20,25,0,0.0
3/7/20,28,0,0.0
3/8/20,29,0,0.0
3/9/20,34,0,0.0
3/10/20,36,0,0.0
3/11/20,41,0,0.0
3/12/20,42,0,0.0
3/13/20,74,0,0.0
3/14/20,79,0,0.0
3/15/20,104,0,0.0
3/16/20,177,0,0.0
3/17/20,185,1,0.0
3/18/20,221,1,0.0
3/19/20,257,1,0.0
3/20/20,308,2,0.0
3/21/20,377,3,0.0
3/22/20,425,5,0.0
3/23/20,503,6,0.0
3/24/20,588,7,0.0
3/25/20,688,8,0.0
3/26/20,858,13,0.0
3/27/20,994,18,0.0
3/28/20,1144,18,0.0
3/29/20,1355,21,0.0
3/30/20,1706,31,0.0
3/31/20,1966,33,0.0
4/1/20,2392,37,0.0
4/2/20,2793,53,0.0
4/3/20,3255,67,0.0
4/4/20,3630,94,0.0
4/5/20,4354,119,0.0
4/6/20,4347,150,0.0
4/7/20,4726,153,0.0
4/8/20,5276,153,0.0
4/9/20,5759,200,0.0
4/10/20,6237,222,0.0
4/11/20,6648,253,0.0
4/12/20,7049,274,0.0
4/13/20,7470,291,0.0
4/14/20,7953,334,0.0
4/15/20,8447,385,0.0
4/16/20,9840,490,0.0
4/17/20,10456,524,0.0
4/18/20,11013,564,0.0
4/19/20,11561,591,0.0
4/20/20,12063,624,0.0
4/21/20,12715,694,0.0
4/22/20,13718,762,0.0
4/23/20,14068,806,0.0
4/24/20,14550,862,0.0
4/25/20,15012,916,0.0
4/26/20,15568,960,0.0
4/27/20,15970,1023,0.0
4/28/20,16500,1072,0.0
4/29/20,16978,1153,0.0
4/30/20,17395,1205,0.0
5/1/20,17880,1265,0.0
5/2/20,18321,1292,0.0
5/3/20,18574,1326,0.0
5/4/20,19097,1446,0.0
5/5/20,19468,1505,0.0
5/6/20,19910,1560,0.0
5/7/20,20388,1607,0.0
5/8/20,20826,1665,0.0
5/9/20,21148,1726,0.0
5/10/20,21469,1751,0.0
5/11/20,21817,1788,0.0
5/12/20,22158,1852,0.0
5/13/20,22516,1883,0.0
5/14/20,22865,1915,0.0
5/15/20,23258,1939,0.0
5/16/20,23645,1976,0.0
5/17/20,23974,1999,0.0
5/18/20,24286,2019,0.0
5/19/20,24755,2032,0.0
5/20/20,25197,2079,0.0
5/21/20,25595,2106,0.0
5/22/20,26085,2129,0.0
5/23/20,26560,2157,0.0
5/24/20,26897,2181,0.0
5/25/20,27302,2210,0.0
5/26/20,27624,2235,0.0
5/27/20,27943,2264,0.0
5/28/20,28320,2292,0.0
5/29/20,28700,2313,0.0
5/30/20,29023,2332,0.0
5/31/20,29390,2344,0.0
6/1/20,29845,2353,0.0
6/2/20,30259,2375,0.0
6/3/20,30603,2392,0.0
6/4/20,30946,2436,0.0
6/5/20,31359,2446,0.0
6/6/20,31620,2483,0.0
6/7/20,32096,2502,0.0
6/8/20,32395,2524,0.0
6/9/20,32678,2536,0.0
6/10/20,32936,2552,0.0
6/11/20,33173,2563,0.0
6/12/20,33378,2573,0.0
6/13/20,33625,2582,0.0
6/14/20,33806,2590,0.0
6/15/20,33986,2579,0.0
6/16/20,34174,2595,0.0
6/17/20,34382,2607,0.0
