Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,0,0,0.0
1/29/20,0,0,0.0
1/30/20,0,0,0.0
1/31/20,0,0,0.0
2/1/20,0,0,0.0
2/2/20,0,0,0.0
2/3/20,0,0,0.0
2/4/20,0,0,0.0
2/5/20,0,0,0.0
2/6/20,0,0,0.0
2/7/20,0,0,0.0
2/8/20,0,0,0.0
2/9/20,0,0,0.0
2/10/20,0,0,0.0
2/11/20,0,0,0.0
2/12/20,0,0,0.0
2/13/20,0,0,0.0
2/14/20,0,0,0.0
2/15/20,0,0,0.0
2/16/20,0,0,0.0
2/17/20,0,0,0.0
2/18/20,0,0,0.0
2/19/20,0,0,0.0
2/20/20,0,0,0.0
2/21/20,0,0,0.0
2/22/20,0,0,0.0
2/23/20,0,0,0.0
2/24/20,0,0,0.0
2/25/20,0,0,0.0
2/26/20,0,0,0.0
2/27/20,0,0,0.0
2/28/20,1,0,0.0
2/29/20,1,0,0.0
3/1/20,1,0,0.0
3/2/20,1,0,0.0
3/3/20,1,0,0.0
3/4/20,1,0,0.0
3/5/20,2,0,0.0
3/6/20,2,0,0.0
3/7/20,3,0,0.0
3/8/20,4,0,0.0
3/9/20,4,0,0.0
3/10/20,4,0,0.0
3/11/20,8,0,0.0
3/12/20,9,0,0.0
3/13/20,17,0,0.0
3/14/20,17,0,0.0
3/15/20,24,0,0.0
3/16/20,50,0,0.0
3/17/20,74,0,0.0
3/18/20,94,0,0.0
3/19/20,121,1,0.0
3/20/20,139,1,0.0
3/21/20,181,5,0.0
3/22/20,219,4,0.0
3/23/20,628,4,0.0
3/24/20,1013,4,0.0
3/25/20,1342,6,0.0
3/26/20,1632,8,0.0
3/27/20,2024,18,0.0
3/28/20,2498,22,0.0
3/29/20,2840,22,0.0
3/30/20,3430,22,0.0
3/31/20,4162,31,0.0
4/1/20,4611,33,0.0
4/2/20,5518,36,0.0
4/3/20,6101,61,0.0
4/4/20,6101,61,0.0
4/5/20,7944,75,0.0
4/6/20,8580,121,0.0
4/7/20,9340,150,0.0
4/8/20,10031,175,0.0
4/9/20,10912,216,0.0
4/10/20,11677,241,0.0
4/11/20,12292,289,0.0
4/12/20,12846,328,0.0
4/13/20,13557,360,0.0
4/14/20,14248,435,0.0
4/15/20,14860,487,0.0
4/16/20,15857,630,0.0
4/17/20,16798,688,0.0
4/18/20,17521,688,0.0
4/19/20,17950,820,0.0
4/20/20,19319,939,0.0
4/21/20,20126,1044,0.0
4/22/20,20965,1134,0.0
4/23/20,21838,1243,0.0
4/24/20,22616,1340,0.0
4/25/20,23267,1446,0.0
4/26/20,24109,1516,0.0
4/27/20,24983,1600,0.0
4/28/20,25761,1683,0.0
4/29/20,26610,1762,0.0
4/30/20,27550,1859,0.0
5/1/20,28656,2022,0.0
5/2/20,29664,2136,0.0
5/3/20,31873,2206,0.0
5/4/20,32631,2281,0.0
5/5/20,33425,2399,0.0
5/6/20,34334,2511,0.0
5/7/20,35249,2632,0.0
5/8/20,36161,2726,0.0
5/9/20,36997,2787,0.0
5/10/20,37732,2929,0.0
5/11/20,38480,3014,0.0
5/12/20,39235,3132,0.0
5/13/20,39940,3221,0.0
5/14/20,40732,3352,0.0
5/15/20,41429,3402,0.0
5/16/20,42192,3484,0.0
5/17/20,42928,3563,0.0
5/18/20,43636,3597,0.0
5/19/20,44206,3648,0.0
5/20/20,44784,3719,0.0
5/21/20,45504,3801,0.0
5/22/20,46150,3866,0.0
5/23/20,46847,3941,0.0
5/24/20,47420,3985,0.0
5/25/20,47993,4070,0.0
5/26/20,48607,4140,0.0
5/27/20,49148,4229,0.0
5/28/20,49711,4303,0.0
5/29/20,50232,4363,0.0
5/30/20,50651,4439,0.0
5/31/20,51059,4641,0.0
6/1/20,51354,4661,0.0
6/2/20,51593,4713,0.0
6/3/20,51884,4794,0.0
6/4/20,52143,4885,0.0
6/5/20,52398,4935,0.0
6/6/20,52624,4970,0.0
6/7/20,52849,4978,0.0
6/8/20,53047,4984,0.0
6/9/20,53185,5029,0.0
6/10/20,53341,5081,0.0
6/11/20,53485,5105,0.0
6/12/20,53666,5148,0.0
6/13/20,53824,5195,0.0
6/14/20,53952,5222,0.0
6/15/20,54054,5242,0.0
6/16/20,54146,5269,0.0
6/17/20,54263,5298,0.0
