Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,0,0,0.0
1/29/20,0,0,0.0
1/30/20,0,0,0.0
1/31/20,0,0,0.0
2/1/20,0,0,0.0
2/2/20,0,0,0.0
2/3/20,0,0,0.0
2/4/20,0,0,0.0
2/5/20,0,0,0.0
2/6/20,0,0,0.0
2/7/20,0,0,0.0
2/8/20,0,0,0.0
2/9/20,0,0,0.0
2/10/20,0,0,0.0
2/11/20,0,0,0.0
2/12/20,0,0,0.0
2/13/20,0,0,0.0
2/14/20,0,0,0.0
2/15/20,0,0,0.0
2/16/20,0,0,0.0
2/17/20,0,0,0.0
2/18/20,0,0,0.0
2/19/20,0,0,0.0
2/20/20,0,0,0.0
2/21/20,0,0,0.0
2/22/20,0,0,0.0
2/23/20,0,0,0.0
2/24/20,0,0,0.0
2/25/20,0,0,0.0
2/26/20,0,0,0.0
2/27/20,0,0,0.0
2/28/20,0,0,0.0
2/29/20,0,0,0.0
3/1/20,0,0,0.0
3/2/20,0,0,0.0
3/3/20,0,0,0.0
3/4/20,0,0,0.0
3/5/20,0,0,0.0
3/6/20,0,0,0.0
3/7/20,0,0,0.0
3/8/20,0,0,0.0
3/9/20,0,0,0.0
3/10/20,0,0,0.0
3/11/20,0,0,0.0
3/12/20,0,0,0.0
3/13/20,2,0,0.0
3/14/20,2,0,0.0
3/15/20,2,0,0.0
3/16/20,7,0,0.0
3/17/20,7,0,0.0
3/18/20,8,0,0.0
3/19/20,16,0,0.0
3/20/20,20,0,0.0
3/21/20,26,0,0.0
3/22/20,52,0,0.0
3/23/20,66,0,0.0
3/24/20,72,0,0.0
3/25/20,72,0,0.0
3/26/20,95,0,0.0
3/27/20,95,0,0.0
3/28/20,134,0,0.0
3/29/20,156,0,0.0
3/30/20,156,2,0.0
3/31/20,184,2,0.0
4/1/20,193,3,0.0
4/2/20,206,3,0.0
4/3/20,220,3,0.0
4/4/20,220,3,0.0
4/5/20,249,3,0.0
4/6/20,249,3,0.0
4/7/20,260,3,0.0
4/8/20,260,3,0.0
4/9/20,271,3,0.0
4/10/20,285,3,0.0
4/11/20,289,4,0.0
4/12/20,298,4,0.0
4/13/20,300,4,0.0
4/14/20,300,4,0.0
4/15/20,304,4,0.0
4/16/20,305,4,0.0
4/17/20,307,4,0.0
4/18/20,313,4,0.0
4/19/20,315,4,0.0
4/20/20,316,4,0.0
4/21/20,320,4,0.0
4/22/20,326,4,0.0
4/23/20,331,4,0.0
4/24/20,341,4,0.0
4/25/20,349,4,0.0
4/26/20,353,4,0.0
4/27/20,365,5,0.0
4/28/20,366,5,0.0
4/29/20,383,6,0.0
4/30/20,389,7,0.0
5/1/20,415,7,0.0
5/2/20,421,7,0.0
5/3/20,433,7,0.0
5/4/20,467,7,0.0
5/5/20,487,7,0.0
5/6/20,512,7,0.0
5/7/20,531,7,0.0
5/8/20,544,7,0.0
5/9/20,553,7,0.0
5/10/20,564,7,0.0
5/11/20,568,7,0.0
5/12/20,573,7,0.0
5/13/20,577,7,0.0
5/14/20,582,7,0.0
5/15/20,590,7,0.0
5/16/20,591,7,0.0
5/17/20,592,7,0.0
5/18/20,592,7,0.0
5/19/20,599,7,0.0
5/20/20,620,7,0.0
5/21/20,622,7,0.0
5/22/20,627,7,0.0
5/23/20,630,7,0.0
5/24/20,632,7,0.0
5/25/20,634,7,0.0
5/26/20,634,8,0.0
5/27/20,637,10,0.0
5/28/20,639,10,0.0
5/29/20,641,10,0.0
5/30/20,645,10,0.0
5/31/20,646,11,0.0
6/1/20,646,11,0.0
6/2/20,646,11,0.0
6/3/20,647,11,0.0
6/4/20,648,11,0.0
6/5/20,649,11,0.0
6/6/20,650,11,0.0
6/7/20,650,11,0.0
6/8/20,654,13,0.0
6/9/20,656,13,0.0
6/10/20,658,13,0.0
6/11/20,660,13,0.0
6/12/20,663,13,0.0
6/13/20,664,13,0.0
6/14/20,665,13,0.0
6/15/20,683,13,0.0
6/16/20,684,13,0.0
6/17/20,693,13,0.0
