Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,3,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,3,0,0
3/26/20,3,0,0
3/27/20,3,0,0
3/28/20,3,0,0
3/29/20,3,0,0
3/30/20,3,0,0
3/31/20,3,0,0
4/1/20,3,0,0
4/2/20,3,0,0
4/3/20,8,0,0
4/4/20,8,0,0
4/5/20,8,0,0
4/6/20,8,0,0
4/7/20,8,0,0
4/8/20,8,0,0
4/9/20,8,0,0
4/10/20,8,0,0
4/11/20,8,0,0
4/12/20,8,0,0
4/13/20,11,0,3
4/14/20,11,0,4
4/15/20,12,0,4
4/16/20,12,0,4
4/17/20,12,0,4
4/18/20,12,0,4
4/19/20,12,0,4
4/20/20,12,0,4
4/21/20,14,0,10
4/22/20,14,0,10
4/23/20,16,0,10
4/24/20,16,0,10
4/25/20,16,0,10
4/26/20,19,0,10
4/27/20,19,0,10
4/28/20,50,0,10
4/29/20,50,0,10
4/30/20,50,0,10
5/1/20,72,0,10
5/2/20,72,0,10
5/3/20,72,0,10
5/4/20,85,0,10
5/5/20,85,0,10
5/6/20,94,0,10
5/7/20,94,0,10
5/8/20,143,0,10
5/9/20,143,0,10
5/10/20,143,0,10
5/11/20,143,0,10
5/12/20,143,0,10
5/13/20,143,0,10
5/14/20,143,0,10
5/15/20,301,0,13
5/16/20,327,0,13
5/17/20,327,0,13
5/18/20,327,0,13
5/19/20,366,0,18
5/20/20,418,0,18
5/21/20,436,0,18
5/22/20,479,0,18
5/23/20,552,1,18
5/24/20,604,1,22
5/25/20,652,1,22
5/26/20,671,1,22
5/27/20,702,1,23
5/28/20,755,1,23
5/29/20,874,1,23
5/30/20,962,1,23
5/31/20,1011,2,23
6/1/20,1069,4,23
6/2/20,1069,4,23
6/3/20,1173,4,23
6/4/20,1288,4,23
6/5/20,1451,4,29
6/6/20,1570,5,37
6/7/20,1634,5,38
6/8/20,1850,5,38
6/9/20,1850,5,38
6/10/20,1888,5,38
6/11/20,1952,5,38
6/12/20,2044,7,360
6/13/20,2057,7,363
6/14/20,2057,7,363
6/15/20,2222,7,369
6/16/20,2410,14,396
6/17/20,2564,18,402
