Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,1,0,0
3/23/20,1,0,0
3/24/20,3,0,0
3/25/20,3,0,0
3/26/20,3,0,0
3/27/20,3,0,0
3/28/20,3,0,0
3/29/20,3,0,0
3/30/20,5,0,0
3/31/20,7,0,0
4/1/20,7,0,0
4/2/20,8,0,0
4/3/20,8,0,0
4/4/20,9,0,0
4/5/20,9,0,0
4/6/20,9,0,0
4/7/20,10,0,2
4/8/20,10,0,2
4/9/20,11,0,2
4/10/20,11,0,2
4/11/20,11,0,2
4/12/20,18,0,2
4/13/20,23,0,2
4/14/20,23,0,2
4/15/20,23,0,2
4/16/20,27,0,5
4/17/20,27,0,5
4/18/20,33,0,8
4/19/20,33,0,8
4/20/20,33,0,8
4/21/20,33,0,8
4/22/20,33,0,8
4/23/20,33,0,8
4/24/20,40,0,8
4/25/20,46,0,15
4/26/20,46,0,15
4/27/20,46,0,15
4/28/20,52,2,19
4/29/20,52,2,19
4/30/20,73,5,33
5/1/20,73,5,33
5/2/20,117,10,39
5/3/20,117,10,39
5/4/20,117,10,39
5/5/20,170,17,43
5/6/20,170,17,43
5/7/20,253,27,50
5/8/20,260,28,50
5/9/20,322,31,53
5/10/20,322,31,53
5/11/20,322,31,53
5/12/20,357,40,76
5/13/20,372,42,78
5/14/20,399,46,83
5/15/20,428,48,88
5/16/20,474,50,111
5/17/20,503,53,117
5/18/20,519,53,117
5/19/20,545,56,139
5/20/20,565,57,177
5/21/20,588,58,186
5/22/20,611,58,196
5/23/20,648,60,204
5/24/20,675,60,215
5/25/20,687,61,244
5/26/20,700,62,303
5/27/20,715,64,359
5/28/20,726,65,413
5/29/20,759,65,444
5/30/20,759,65,470
5/31/20,778,65,491
6/1/20,790,66,539
6/2/20,803,66,562
6/3/20,820,66,590
6/4/20,828,66,633
6/5/20,836,68,657
6/6/20,836,69,672
6/7/20,837,69,672
6/8/20,839,70,685
6/9/20,844,71,706
6/10/20,846,72,706
6/11/20,848,72,706
6/12/20,848,72,711
6/13/20,848,72,718
6/14/20,850,73,720
6/15/20,850,73,720
6/16/20,853,74,720
6/17/20,854,74,721
