Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,4,0,0
3/6/20,4,0,0
3/7/20,4,0,0
3/8/20,8,0,0
3/9/20,8,0,0
3/10/20,13,0,0
3/11/20,23,0,0
3/12/20,23,0,0
3/13/20,43,0,0
3/14/20,61,0,0
3/15/20,74,0,0
3/16/20,155,0,0
3/17/20,201,0,0
3/18/20,238,0,0
3/19/20,238,0,0
3/20/20,434,0,6
3/21/20,537,0,6
3/22/20,632,1,8
3/23/20,746,2,8
3/24/20,922,2,17
3/25/20,1142,3,22
3/26/20,1306,4,22
3/27/20,1610,5,43
3/28/20,1909,6,61
3/29/20,2139,7,75
3/30/20,2449,8,156
3/31/20,2738,12,156
4/1/20,3031,16,234
4/2/20,3404,18,335
4/3/20,3737,22,427
4/4/20,4161,27,528
4/5/20,4471,34,618
4/6/20,4815,37,728
4/7/20,5116,43,898
4/8/20,5546,48,1115
4/9/20,5972,57,1274
4/10/20,6501,65,1571
4/11/20,6927,73,1864
4/12/20,7213,80,2059
4/13/20,7525,82,2367
4/14/20,7917,92,2646
4/15/20,8273,94,2937
4/16/20,8807,105,3299
4/17/20,9252,116,3621
4/18/20,9730,126,4035
4/19/20,10088,133,4338
4/20/20,10507,139,4676
4/21/20,10832,147,4969
4/22/20,11296,160,5386
4/23/20,11812,168,5804
4/24/20,12306,174,6327
4/25/20,12858,181,6746
4/26/20,13331,189,7024
4/27/20,13813,198,7327
4/28/20,14365,207,7710
4/29/20,14885,216,8057
4/30/20,16023,227,8580
5/1/20,17008,234,9018
5/2/20,18435,247,9572
5/3/20,19663,260,10041
5/4/20,20643,270,10415
5/5/20,22016,275,10710
5/6/20,23048,281,11189
5/7/20,24581,285,11664
5/8/20,25972,294,12160
5/9/20,27219,304,12667
5/10/20,28866,312,13112
5/11/20,30063,323,13605
5/12/20,31721,335,14125
5/13/20,34381,346,14865
5/14/20,37040,368,15655
5/15/20,39542,394,16614
5/16/20,41428,421,18014
5/17/20,43781,450,19213
5/18/20,46059,478,20165
5/19/20,49579,509,21507
5/20/20,53617,544,22504
5/21/20,57581,589,23992
5/22/20,61857,630,25342
5/23/20,65393,673,26546
5/24/20,69102,718,28148
5/25/20,73997,761,29302
5/26/20,77961,806,30915
5/27/20,82289,841,33540
5/28/20,86943,890,36115
5/29/20,90638,944,38598
5/30/20,94858,997,40431
5/31/20,99688,1054,42727
6/1/20,105158,1113,44946
6/2/20,108686,1188,86173
6/3/20,113628,1275,90748
6/4/20,118292,1356,95631
6/5/20,122499,1448,99358
6/6/20,127745,1541,103817
6/7/20,134150,1637,108150
6/8/20,138846,2264,112248
6/9/20,142759,2283,117361
6/10/20,148456,2475,121780
6/11/20,154092,2648,126444
6/12/20,160846,2870,131358
6/13/20,167355,3101,137296
6/14/20,174293,3323,143704
6/15/20,179436,3362,148792
6/16/20,184449,3383,156232
6/17/20,220628,3615,181931
