Date,Confirmed,Deaths,Recovered
1/22/20,14,0,0
1/23/20,22,0,0
1/24/20,36,0,1
1/25/20,41,0,2
1/26/20,68,0,2
1/27/20,80,1,2
1/28/20,91,1,4
1/29/20,111,1,4
1/30/20,114,1,4
1/31/20,139,1,5
2/1/20,168,1,9
2/2/20,191,1,9
2/3/20,212,1,12
2/4/20,228,1,23
2/5/20,253,1,24
2/6/20,274,1,31
2/7/20,297,1,33
2/8/20,315,2,34
2/9/20,326,2,37
2/10/20,337,2,44
2/11/20,342,3,48
2/12/20,352,3,56
2/13/20,366,3,69
2/14/20,372,3,80
2/15/20,375,4,98
2/16/20,380,4,108
2/17/20,381,4,114
2/18/20,387,4,122
2/19/20,393,4,145
2/20/20,395,4,153
2/21/20,396,4,169
2/22/20,399,4,178
2/23/20,399,4,189
2/24/20,399,4,198
2/25/20,400,4,215
2/26/20,400,4,235
2/27/20,410,5,248
2/28/20,410,7,257
2/29/20,411,8,271
3/1/20,413,8,276
3/2/20,414,8,282
3/3/20,414,8,288
3/4/20,418,8,297
3/5/20,418,8,297
3/6/20,422,8,299
3/7/20,426,8,303
3/8/20,428,8,308
3/9/20,428,8,315
3/10/20,429,8,320
3/11/20,435,8,326
3/12/20,435,8,334
3/13/20,436,8,342
3/14/20,437,8,349
3/15/20,442,8,353
3/16/20,452,8,360
3/17/20,456,8,369
3/18/20,469,8,378
3/19/20,480,8,380
3/20/20,491,8,390
3/21/20,504,8,396
3/22/20,522,8,400
3/23/20,537,8,400
3/24/20,558,8,401
3/25/20,561,8,403
3/26/20,566,8,406
3/27/20,569,8,408
3/28/20,573,8,410
3/29/20,577,8,412
3/30/20,577,8,415
3/31/20,580,8,418
4/1/20,580,8,418
4/2/20,582,8,424
4/3/20,584,8,434
4/4/20,585,8,438
4/5/20,586,8,441
4/6/20,587,8,443
4/7/20,587,8,448
4/8/20,588,8,455
4/9/20,588,8,464
4/10/20,588,8,469
4/11/20,589,8,474
4/12/20,589,8,479
4/13/20,589,8,484
4/14/20,589,8,491
4/15/20,590,8,495
4/16/20,593,8,503
4/17/20,593,8,509
4/18/20,593,8,509
4/19/20,593,8,510
4/20/20,593,8,514
4/21/20,593,8,516
4/22/20,593,8,518
4/23/20,593,8,524
4/24/20,593,8,525
4/25/20,593,8,525
4/26/20,593,9,525
4/27/20,593,9,536
4/28/20,593,9,538
4/29/20,593,9,542
4/30/20,593,9,547
5/1/20,593,9,547
5/2/20,593,9,547
5/3/20,593,9,553
5/4/20,593,9,554
5/5/20,593,9,555
5/6/20,593,9,557
5/7/20,593,9,560
5/8/20,593,9,560
5/9/20,593,9,565
5/10/20,593,9,568
5/11/20,593,9,571
5/12/20,593,9,573
5/13/20,593,9,574
5/14/20,593,9,574
5/15/20,593,9,576
5/16/20,593,9,577
5/17/20,593,9,578
5/18/20,593,9,578
5/19/20,593,9,578
5/20/20,593,9,578
5/21/20,593,9,578
5/22/20,593,9,579
5/23/20,593,9,581
5/24/20,593,9,581
5/25/20,593,9,581
5/26/20,593,9,581
5/27/20,593,9,581
5/28/20,593,9,581
5/29/20,593,9,581
5/30/20,593,9,581
5/31/20,593,9,581
6/1/20,593,9,581
6/2/20,593,9,581
6/3/20,594,9,583
6/4/20,594,9,583
6/5/20,594,9,583
6/6/20,594,9,583
6/7/20,594,9,583
6/8/20,594,9,584
6/9/20,594,9,584
6/10/20,594,9,584
6/11/20,595,9,584
6/12/20,601,9,584
6/13/20,637,9,584
6/14/20,673,9,584
6/15/20,700,9,584
6/16/20,731,9,584
6/17/20,752,9,584
