Date,Confirmed,Deaths,Recovered
1/22/20,6,0,0
1/23/20,9,0,0
1/24/20,27,0,0
1/25/20,57,0,0
1/26/20,75,0,0
1/27/20,110,0,0
1/28/20,132,0,0
1/29/20,147,0,1
1/30/20,182,0,1
1/31/20,211,0,1
2/1/20,247,1,3
2/2/20,300,2,7
2/3/20,337,2,9
2/4/20,366,2,9
2/5/20,389,2,15
2/6/20,411,2,24
2/7/20,426,2,31
2/8/20,428,2,39
2/9/20,468,2,51
2/10/20,486,2,66
2/11/20,505,3,79
2/12/20,518,3,102
2/13/20,529,4,128
2/14/20,537,5,152
2/15/20,544,5,184
2/16/20,551,5,207
2/17/20,553,5,225
2/18/20,555,5,254
2/19/20,560,5,274
2/20/20,567,6,299
2/21/20,572,6,316
2/22/20,573,6,328
2/23/20,575,6,335
2/24/20,576,6,349
2/25/20,576,6,372
2/26/20,576,6,384
2/27/20,576,6,401
2/28/20,576,6,422
2/29/20,576,6,438
3/1/20,576,6,450
3/2/20,576,6,469
3/3/20,576,6,490
3/4/20,576,6,502
3/5/20,576,6,512
3/6/20,576,6,513
3/7/20,576,6,526
3/8/20,576,6,527
3/9/20,576,6,542
3/10/20,576,6,547
3/11/20,576,6,554
3/12/20,576,6,564
3/13/20,576,6,566
3/14/20,576,6,569
3/15/20,576,6,570
3/16/20,576,6,570
3/17/20,576,6,570
3/18/20,576,6,570
3/19/20,576,6,570
3/20/20,576,6,570
3/21/20,576,6,570
3/22/20,577,6,570
3/23/20,578,6,570
3/24/20,578,6,570
3/25/20,578,6,570
3/26/20,578,6,570
3/27/20,578,6,570
3/28/20,578,6,570
3/29/20,579,6,570
3/30/20,579,6,570
3/31/20,579,6,570
4/1/20,579,6,570
4/2/20,579,6,570
4/3/20,579,6,570
4/4/20,579,6,570
4/5/20,579,6,570
4/6/20,579,6,570
4/7/20,579,6,570
4/8/20,579,6,570
4/9/20,579,6,570
4/10/20,579,6,570
4/11/20,579,6,570
4/12/20,579,6,570
4/13/20,579,6,570
4/14/20,579,6,570
4/15/20,579,6,570
4/16/20,579,6,570
4/17/20,579,6,570
4/18/20,579,6,570
4/19/20,579,6,570
4/20/20,579,6,570
4/21/20,579,6,570
4/22/20,579,6,570
4/23/20,579,6,573
4/24/20,579,6,573
4/25/20,579,6,573
4/26/20,579,6,573
4/27/20,579,6,573
4/28/20,579,6,573
4/29/20,579,6,573
4/30/20,579,6,573
5/1/20,579,6,573
5/2/20,579,6,573
5/3/20,579,6,573
5/4/20,579,6,573
5/5/20,579,6,573
5/6/20,579,6,573
5/7/20,579,6,573
5/8/20,579,6,573
5/9/20,579,6,573
5/10/20,579,6,573
5/11/20,579,6,573
5/12/20,579,6,573
5/13/20,579,6,573
5/14/20,579,6,573
5/15/20,579,6,573
5/16/20,579,6,573
5/17/20,579,6,573
5/18/20,579,6,573
5/19/20,579,6,573
5/20/20,579,6,573
5/21/20,579,6,573
5/22/20,579,6,573
5/23/20,579,6,573
5/24/20,579,6,573
5/25/20,579,6,573
5/26/20,579,6,573
5/27/20,579,6,573
5/28/20,579,6,573
5/29/20,579,6,573
5/30/20,579,6,573
5/31/20,579,6,573
6/1/20,579,6,573
6/2/20,579,6,573
6/3/20,579,6,573
6/4/20,579,6,573
6/5/20,579,6,573
6/6/20,579,6,573
6/7/20,579,6,573
6/8/20,579,6,573
6/9/20,579,6,573
6/10/20,579,6,573
6/11/20,579,6,573
6/12/20,579,6,573
6/13/20,580,6,573
6/14/20,582,6,573
6/15/20,582,6,573
6/16/20,582,6,573
6/17/20,582,6,573
