Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,5,0,0
1/24/20,10,0,0
1/25/20,18,0,0
1/26/20,35,0,0
1/27/20,59,0,0
1/28/20,80,0,0
1/29/20,84,0,0
1/30/20,101,0,0
1/31/20,120,0,0
2/1/20,144,0,0
2/2/20,159,0,0
2/3/20,179,0,1
2/4/20,194,0,3
2/5/20,205,0,11
2/6/20,215,0,14
2/7/20,224,0,20
2/8/20,239,0,24
2/9/20,250,0,35
2/10/20,261,0,39
2/11/20,267,0,45
2/12/20,272,0,53
2/13/20,279,0,57
2/14/20,281,0,63
2/15/20,285,0,71
2/16/20,287,0,82
2/17/20,290,0,90
2/18/20,292,0,93
2/19/20,293,0,112
2/20/20,293,1,126
2/21/20,293,1,149
2/22/20,293,1,162
2/23/20,293,1,170
2/24/20,293,1,183
2/25/20,294,1,199
2/26/20,294,1,218
2/27/20,296,1,228
2/28/20,296,1,235
2/29/20,296,1,243
3/1/20,296,1,247
3/2/20,296,1,255
3/3/20,296,1,260
3/4/20,296,1,270
3/5/20,296,1,277
3/6/20,296,1,284
3/7/20,296,1,295
3/8/20,296,1,295
3/9/20,296,1,295
3/10/20,296,1,295
3/11/20,296,1,295
3/12/20,296,1,295
3/13/20,296,1,295
3/14/20,296,1,295
3/15/20,296,1,295
3/16/20,296,1,295
3/17/20,296,1,295
3/18/20,296,1,295
3/19/20,296,1,295
3/20/20,299,1,295
3/21/20,303,1,295
3/22/20,313,1,295
3/23/20,313,1,295
3/24/20,318,1,295
3/25/20,322,1,295
3/26/20,328,1,295
3/27/20,331,1,295
3/28/20,337,1,295
3/29/20,338,1,295
3/30/20,340,1,295
3/31/20,343,1,295
4/1/20,345,1,298
4/2/20,345,1,299
4/3/20,349,1,300
4/4/20,350,1,301
4/5/20,350,1,303
4/6/20,350,1,305
4/7/20,351,1,305
4/8/20,351,1,308
4/9/20,351,1,308
4/10/20,351,1,311
4/11/20,351,1,317
4/12/20,352,1,321
4/13/20,352,1,325
4/14/20,353,1,329
4/15/20,353,1,331
4/16/20,353,1,333
4/17/20,354,1,334
4/18/20,355,1,336
4/19/20,355,1,339
4/20/20,355,1,339
4/21/20,355,1,341
4/22/20,355,1,342
4/23/20,355,1,346
4/24/20,355,1,349
4/25/20,355,1,349
4/26/20,355,1,349
4/27/20,355,1,349
4/28/20,355,1,352
4/29/20,355,1,353
4/30/20,356,1,353
5/1/20,356,1,353
5/2/20,356,1,353
5/3/20,356,1,353
5/4/20,356,1,353
5/5/20,356,1,353
5/6/20,356,1,354
5/7/20,356,1,354
5/8/20,356,1,354
5/9/20,356,1,354
5/10/20,356,1,354
5/11/20,356,1,354
5/12/20,356,1,354
5/13/20,356,1,354
5/14/20,356,1,355
5/15/20,356,1,355
5/16/20,356,1,355
5/17/20,356,1,355
5/18/20,356,1,355
5/19/20,356,1,355
5/20/20,356,1,355
5/21/20,356,1,355
5/22/20,356,1,355
5/23/20,356,1,355
5/24/20,356,1,355
5/25/20,357,1,355
5/26/20,357,1,355
5/27/20,358,1,355
5/28/20,358,1,355
5/29/20,358,1,355
5/30/20,358,1,355
5/31/20,358,1,355
6/1/20,358,1,356
6/2/20,358,1,356
6/3/20,358,1,356
6/4/20,358,1,356
6/5/20,358,1,356
6/6/20,359,1,356
6/7/20,359,1,356
6/8/20,359,1,356
6/9/20,359,1,356
6/10/20,360,1,356
6/11/20,361,1,356
6/12/20,361,1,356
6/13/20,361,1,356
6/14/20,362,1,356
6/15/20,362,1,356
6/16/20,362,1,356
6/17/20,362,1,356
