Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,4,0,0
1/26/20,7,0,0
1/27/20,14,0,0
1/28/20,19,0,0
1/29/20,24,0,0
1/30/20,26,0,0
1/31/20,29,0,0
2/1/20,40,0,0
2/2/20,51,0,3
2/3/20,55,0,3
2/4/20,57,0,4
2/5/20,62,0,6
2/6/20,62,0,6
2/7/20,67,0,9
2/8/20,79,1,12
2/9/20,83,2,16
2/10/20,83,2,17
2/11/20,86,2,24
2/12/20,87,2,31
2/13/20,90,2,39
2/14/20,90,2,39
2/15/20,90,2,49
2/16/20,90,2,54
2/17/20,91,2,58
2/18/20,91,2,62
2/19/20,91,2,65
2/20/20,91,2,71
2/21/20,91,2,76
2/22/20,91,2,76
2/23/20,91,2,78
2/24/20,91,2,80
2/25/20,91,2,80
2/26/20,91,2,81
2/27/20,91,2,81
2/28/20,91,2,82
2/29/20,91,2,82
3/1/20,91,2,84
3/2/20,91,2,85
3/3/20,91,2,86
3/4/20,91,2,87
3/5/20,102,2,87
3/6/20,119,2,87
3/7/20,120,2,87
3/8/20,124,2,87
3/9/20,124,2,88
3/10/20,125,2,88
3/11/20,127,2,88
3/12/20,127,2,88
3/13/20,127,2,88
3/14/20,129,2,89
3/15/20,133,2,91
3/16/20,133,2,91
3/17/20,133,2,91
3/18/20,133,2,91
3/19/20,134,2,91
3/20/20,134,2,98
3/21/20,134,2,113
3/22/20,136,2,114
3/23/20,136,2,114
3/24/20,136,2,119
3/25/20,136,2,119
3/26/20,136,2,121
3/27/20,136,2,123
3/28/20,136,2,125
3/29/20,138,2,125
3/30/20,138,2,125
3/31/20,138,2,125
4/1/20,138,2,127
4/2/20,138,2,127
4/3/20,138,2,127
4/4/20,138,2,131
4/5/20,138,2,131
4/6/20,139,2,132
4/7/20,139,2,132
4/8/20,139,2,133
4/9/20,139,2,135
4/10/20,139,2,135
4/11/20,139,2,135
4/12/20,139,2,135
4/13/20,139,2,135
4/14/20,139,2,136
4/15/20,139,2,136
4/16/20,139,2,137
4/17/20,139,2,137
4/18/20,139,2,137
4/19/20,139,2,137
4/20/20,139,2,137
4/21/20,139,2,137
4/22/20,139,2,137
4/23/20,139,2,137
4/24/20,139,2,137
4/25/20,139,2,137
4/26/20,139,2,137
4/27/20,139,2,137
4/28/20,139,2,137
4/29/20,139,2,137
4/30/20,139,2,137
5/1/20,139,2,137
5/2/20,139,2,137
5/3/20,139,2,137
5/4/20,139,2,137
5/5/20,139,2,137
5/6/20,139,2,137
5/7/20,139,2,137
5/8/20,139,2,137
5/9/20,139,2,137
5/10/20,139,2,137
5/11/20,139,2,137
5/12/20,139,2,137
5/13/20,139,2,137
5/14/20,139,2,137
5/15/20,139,2,137
5/16/20,139,2,137
5/17/20,139,2,137
5/18/20,139,2,137
5/19/20,139,2,137
5/20/20,139,2,137
5/21/20,139,2,137
5/22/20,139,2,137
5/23/20,139,2,137
5/24/20,139,2,137
5/25/20,139,2,137
5/26/20,139,2,137
5/27/20,139,2,137
5/28/20,139,2,137
5/29/20,139,2,137
5/30/20,139,2,137
5/31/20,139,2,137
6/1/20,139,2,137
6/2/20,139,2,137
6/3/20,139,2,137
6/4/20,139,2,137
6/5/20,139,2,137
6/6/20,139,2,137
6/7/20,139,2,137
6/8/20,139,2,137
6/9/20,139,2,137
6/10/20,139,2,137
6/11/20,139,2,137
6/12/20,139,2,137
6/13/20,139,2,137
6/14/20,139,2,137
6/15/20,139,2,137
6/16/20,149,2,137
6/17/20,150,2,137
