Date,Confirmed,Deaths,Recovered
1/22/20,26,0,0
1/23/20,32,0,2
1/24/20,53,0,2
1/25/20,78,0,2
1/26/20,111,0,2
1/27/20,151,0,4
1/28/20,207,0,4
1/29/20,277,0,5
1/30/20,354,0,10
1/31/20,436,0,11
2/1/20,535,0,14
2/2/20,632,0,15
2/3/20,725,0,21
2/4/20,813,0,30
2/5/20,895,0,49
2/6/20,970,0,69
2/7/20,1034,1,88
2/8/20,1095,1,112
2/9/20,1131,1,141
2/10/20,1159,1,167
2/11/20,1177,1,212
2/12/20,1219,1,275
2/13/20,1241,2,314
2/14/20,1261,2,362
2/15/20,1294,2,410
2/16/20,1316,2,465
2/17/20,1322,4,524
2/18/20,1328,4,565
2/19/20,1331,5,606
2/20/20,1332,5,642
2/21/20,1333,5,690
2/22/20,1339,5,728
2/23/20,1342,6,755
2/24/20,1345,6,786
2/25/20,1347,7,822
2/26/20,1347,7,851
2/27/20,1347,7,890
2/28/20,1348,7,935
2/29/20,1349,7,983
3/1/20,1349,7,1016
3/2/20,1350,7,1059
3/3/20,1350,7,1101
3/4/20,1350,7,1133
3/5/20,1351,7,1181
3/6/20,1352,7,1216
3/7/20,1352,7,1237
3/8/20,1352,7,1256
3/9/20,1352,8,1260
3/10/20,1353,8,1274
3/11/20,1356,8,1282
3/12/20,1356,8,1289
3/13/20,1356,8,1296
3/14/20,1356,8,1299
3/15/20,1360,8,1304
3/16/20,1361,8,1306
3/17/20,1364,8,1307
3/18/20,1370,8,1313
3/19/20,1378,8,1318
3/20/20,1395,8,1323
3/21/20,1400,8,1325
3/22/20,1413,8,1329
3/23/20,1415,8,1332
3/24/20,1428,8,1333
3/25/20,1433,8,1336
3/26/20,1448,8,1336
3/27/20,1456,8,1337
3/28/20,1467,8,1341
3/29/20,1475,8,1349
3/30/20,1484,8,1351
3/31/20,1494,8,1356
4/1/20,1501,8,1357
4/2/20,1507,8,1365
4/3/20,1514,8,1368
4/4/20,1516,8,1378
4/5/20,1524,8,1387
4/6/20,1532,8,1395
4/7/20,1533,8,1401
4/8/20,1536,8,1411
4/9/20,1539,8,1423
4/10/20,1544,8,1434
4/11/20,1548,8,1437
4/12/20,1552,8,1443
4/13/20,1555,8,1454
4/14/20,1564,8,1458
4/15/20,1566,8,1462
4/16/20,1571,8,1471
4/17/20,1577,8,1475
4/18/20,1579,8,1482
4/19/20,1580,8,1490
4/20/20,1581,8,1494
4/21/20,1582,8,1501
4/22/20,1582,8,1511
4/23/20,1585,8,1528
4/24/20,1585,8,1534
4/25/20,1586,8,1542
4/26/20,1587,8,1542
4/27/20,1587,8,1547
4/28/20,1588,8,1554
4/29/20,1588,8,1557
4/30/20,1588,8,1565
5/1/20,1588,8,1565
5/2/20,1588,8,1567
5/3/20,1588,8,1569
5/4/20,1588,8,1571
5/5/20,1588,8,1575
5/6/20,1589,8,1575
5/7/20,1589,8,1575
5/8/20,1589,8,1575
5/9/20,1589,8,1576
5/10/20,1589,8,1577
5/11/20,1589,8,1578
5/12/20,1589,8,1578
5/13/20,1589,8,1579
5/14/20,1589,8,1579
5/15/20,1589,8,1579
5/16/20,1590,8,1579
5/17/20,1590,8,1579
5/18/20,1590,8,1579
5/19/20,1590,8,1579
5/20/20,1590,8,1579
5/21/20,1590,8,1579
5/22/20,1591,8,1580
5/23/20,1592,8,1580
5/24/20,1592,8,1581
5/25/20,1592,8,1581
5/26/20,1592,8,1581
5/27/20,1592,8,1582
5/28/20,1592,8,1582
5/29/20,1593,8,1583
5/30/20,1593,8,1583
5/31/20,1595,8,1583
6/1/20,1596,8,1583
6/2/20,1597,8,1583
6/3/20,1598,8,1583
6/4/20,1598,8,1584
6/5/20,1601,8,1584
6/6/20,1602,8,1584
6/7/20,1602,8,1585
6/8/20,1604,8,1586
6/9/20,1604,8,1587
6/10/20,1607,8,1588
6/11/20,1607,8,1589
6/12/20,1608,8,1590
6/13/20,1625,8,1590
6/14/20,1625,8,1590
6/15/20,1628,8,1592
6/16/20,1628,8,1593
6/17/20,1628,8,1603
