Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,5,0,0
1/24/20,23,0,0
1/25/20,23,0,0
1/26/20,36,0,0
1/27/20,46,0,0
1/28/20,51,0,2
1/29/20,58,0,2
1/30/20,78,0,2
1/31/20,87,0,2
2/1/20,100,0,2
2/2/20,111,0,2
2/3/20,127,0,7
2/4/20,139,0,10
2/5/20,150,0,13
2/6/20,168,0,14
2/7/20,172,0,17
2/8/20,183,0,17
2/9/20,195,1,18
2/10/20,210,1,24
2/11/20,215,1,33
2/12/20,222,1,32
2/13/20,222,2,33
2/14/20,226,2,36
2/15/20,235,2,44
2/16/20,237,2,49
2/17/20,238,2,53
2/18/20,242,2,69
2/19/20,244,2,86
2/20/20,245,2,90
2/21/20,246,2,97
2/22/20,249,2,104
2/23/20,249,2,106
2/24/20,251,2,112
2/25/20,252,2,134
2/26/20,252,2,147
2/27/20,252,2,161
2/28/20,252,2,168
2/29/20,252,2,176
3/1/20,252,2,181
3/2/20,252,2,192
3/3/20,252,2,202
3/4/20,252,2,210
3/5/20,252,2,214
3/6/20,252,2,217
3/7/20,252,2,218
3/8/20,252,2,223
3/9/20,252,2,230
3/10/20,252,2,234
3/11/20,252,2,238
3/12/20,252,2,241
3/13/20,252,2,243
3/14/20,252,2,243
3/15/20,252,2,243
3/16/20,252,2,248
3/17/20,253,2,248
3/18/20,253,2,250
3/19/20,253,2,250
3/20/20,254,2,250
3/21/20,254,2,250
3/22/20,254,2,250
3/23/20,254,2,250
3/24/20,254,2,250
3/25/20,254,2,250
3/26/20,254,2,250
3/27/20,254,2,250
3/28/20,254,2,250
3/29/20,254,2,250
3/30/20,254,2,250
3/31/20,254,2,250
4/1/20,254,2,250
4/2/20,254,2,252
4/3/20,254,2,252
4/4/20,254,2,252
4/5/20,254,2,252
4/6/20,254,2,252
4/7/20,254,2,252
4/8/20,254,2,252
4/9/20,254,2,252
4/10/20,254,2,252
4/11/20,254,2,252
4/12/20,254,2,252
4/13/20,254,2,252
4/14/20,254,2,252
4/15/20,254,2,252
4/16/20,254,2,252
4/17/20,254,2,252
4/18/20,254,2,252
4/19/20,254,2,252
4/20/20,254,2,252
4/21/20,254,2,252
4/22/20,254,2,252
4/23/20,254,2,252
4/24/20,254,2,252
4/25/20,254,2,252
4/26/20,254,2,252
4/27/20,254,2,252
4/28/20,254,2,252
4/29/20,254,2,252
4/30/20,254,2,252
5/1/20,254,2,252
5/2/20,254,2,252
5/3/20,254,2,252
5/4/20,254,2,252
5/5/20,254,2,252
5/6/20,254,2,252
5/7/20,254,2,252
5/8/20,254,2,252
5/9/20,254,2,252
5/10/20,254,2,252
5/11/20,254,2,252
5/12/20,254,2,252
5/13/20,254,2,252
5/14/20,254,2,252
5/15/20,254,2,252
5/16/20,254,2,252
5/17/20,254,2,252
5/18/20,254,2,252
5/19/20,254,2,252
5/20/20,254,2,252
5/21/20,254,2,252
5/22/20,254,2,252
5/23/20,254,2,252
5/24/20,254,2,252
5/25/20,254,2,252
5/26/20,254,2,252
5/27/20,254,2,252
5/28/20,254,2,252
5/29/20,254,2,252
5/30/20,254,2,252
5/31/20,254,2,252
6/1/20,254,2,252
6/2/20,254,2,252
6/3/20,254,2,252
6/4/20,254,2,252
6/5/20,254,2,252
6/6/20,254,2,252
6/7/20,254,2,252
6/8/20,254,2,252
6/9/20,254,2,252
6/10/20,254,2,252
6/11/20,254,2,252
6/12/20,254,2,252
6/13/20,254,2,252
6/14/20,254,2,252
6/15/20,254,2,252
6/16/20,254,2,252
6/17/20,254,2,252
