Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,3,0,0
1/24/20,3,0,0
1/25/20,4,0,0
1/26/20,5,0,0
1/27/20,7,0,0
1/28/20,9,0,0
1/29/20,9,0,1
1/30/20,12,0,1
1/31/20,29,0,2
2/1/20,29,0,2
2/2/20,38,0,2
2/3/20,46,0,2
2/4/20,58,0,2
2/5/20,64,1,9
2/6/20,71,1,6
2/7/20,81,1,6
2/8/20,89,1,7
2/9/20,99,1,7
2/10/20,109,1,10
2/11/20,127,1,17
2/12/20,133,1,18
2/13/20,135,1,27
2/14/20,140,1,28
2/15/20,143,1,41
2/16/20,144,1,46
2/17/20,146,1,57
2/18/20,146,2,66
2/19/20,146,2,70
2/20/20,146,2,72
2/21/20,146,2,77
2/22/20,146,2,90
2/23/20,146,2,102
2/24/20,146,2,102
2/25/20,146,2,104
2/26/20,146,2,104
2/27/20,146,2,112
2/28/20,146,2,112
2/29/20,146,2,112
3/1/20,146,2,112
3/2/20,146,2,114
3/3/20,146,2,114
3/4/20,146,2,114
3/5/20,146,2,114
3/6/20,146,2,114
3/7/20,146,2,115
3/8/20,146,2,117
3/9/20,146,2,123
3/10/20,146,2,129
3/11/20,146,2,133
3/12/20,146,2,137
3/13/20,146,2,140
3/14/20,146,2,143
3/15/20,146,2,143
3/16/20,146,2,144
3/17/20,147,2,144
3/18/20,146,2,144
3/19/20,146,2,144
3/20/20,146,2,144
3/21/20,146,2,144
3/22/20,146,2,144
3/23/20,146,2,144
3/24/20,146,2,144
3/25/20,146,2,144
3/26/20,146,2,144
3/27/20,146,2,144
3/28/20,146,2,144
3/29/20,146,2,144
3/30/20,146,2,144
3/31/20,146,2,144
4/1/20,146,2,144
4/2/20,146,2,144
4/3/20,146,2,144
4/4/20,146,2,144
4/5/20,146,2,144
4/6/20,146,2,144
4/7/20,146,2,144
4/8/20,146,2,144
4/9/20,146,2,144
4/10/20,146,2,144
4/11/20,146,2,144
4/12/20,146,2,144
4/13/20,146,2,144
4/14/20,146,2,144
4/15/20,146,2,144
4/16/20,146,2,144
4/17/20,146,2,144
4/18/20,146,2,144
4/19/20,147,2,145
4/20/20,147,2,145
4/21/20,147,2,145
4/22/20,147,2,145
4/23/20,147,2,145
4/24/20,147,2,145
4/25/20,147,2,145
4/26/20,147,2,145
4/27/20,147,2,145
4/28/20,147,2,145
4/29/20,147,2,145
4/30/20,147,2,145
5/1/20,147,2,145
5/2/20,147,2,145
5/3/20,147,2,145
5/4/20,147,2,145
5/5/20,147,2,145
5/6/20,147,2,145
5/7/20,147,2,145
5/8/20,147,2,145
5/9/20,147,2,145
5/10/20,147,2,145
5/11/20,147,2,145
5/12/20,147,2,145
5/13/20,147,2,145
5/14/20,147,2,145
5/15/20,147,2,145
5/16/20,147,2,145
5/17/20,147,2,145
5/18/20,147,2,145
5/19/20,147,2,145
5/20/20,147,2,145
5/21/20,147,2,145
5/22/20,147,2,145
5/23/20,147,2,145
5/24/20,147,2,145
5/25/20,147,2,145
5/26/20,147,2,145
5/27/20,147,2,145
5/28/20,147,2,145
5/29/20,147,2,145
5/30/20,147,2,145
5/31/20,147,2,145
6/1/20,147,2,145
6/2/20,147,2,145
6/3/20,147,2,145
6/4/20,147,2,145
6/5/20,147,2,145
6/6/20,147,2,145
6/7/20,147,2,145
6/8/20,147,2,145
6/9/20,147,2,145
6/10/20,147,2,145
6/11/20,147,2,145
6/12/20,147,2,145
6/13/20,147,2,145
6/14/20,147,2,145
6/15/20,147,2,145
6/16/20,147,2,145
6/17/20,147,2,145
