Date,Confirmed,Deaths,Recovered
1/22/20,4,0,0
1/23/20,5,0,0
1/24/20,8,0,0
1/25/20,19,0,0
1/26/20,22,0,0
1/27/20,33,1,0
1/28/20,40,1,0
1/29/20,43,1,0
1/30/20,46,1,1
1/31/20,52,1,1
2/1/20,62,1,1
2/2/20,64,1,4
2/3/20,72,1,4
2/4/20,80,1,5
2/5/20,99,1,5
2/6/20,106,1,8
2/7/20,117,2,10
2/8/20,124,2,14
2/9/20,131,3,19
2/10/20,138,3,19
2/11/20,144,3,20
2/12/20,157,4,27
2/13/20,157,4,30
2/14/20,159,4,43
2/15/20,162,4,39
2/16/20,162,4,52
2/17/20,163,4,59
2/18/20,163,4,79
2/19/20,168,4,84
2/20/20,168,4,86
2/21/20,168,4,95
2/22/20,168,4,104
2/23/20,168,5,106
2/24/20,168,5,116
2/25/20,168,5,124
2/26/20,168,5,129
2/27/20,168,5,131
2/28/20,168,5,133
2/29/20,168,5,148
3/1/20,168,5,149
3/2/20,168,5,151
3/3/20,168,5,155
3/4/20,168,5,158
3/5/20,168,6,158
3/6/20,168,6,158
3/7/20,168,6,158
3/8/20,168,6,159
3/9/20,168,6,159
3/10/20,168,6,159
3/11/20,168,6,159
3/12/20,168,6,160
3/13/20,168,6,160
3/14/20,168,6,160
3/15/20,168,6,160
3/16/20,168,6,161
3/17/20,168,6,161
3/18/20,168,6,161
3/19/20,168,6,161
3/20/20,168,6,161
3/21/20,168,6,161
3/22/20,168,6,161
3/23/20,168,6,161
3/24/20,168,6,168
3/25/20,168,6,168
3/26/20,168,6,168
3/27/20,168,6,168
3/28/20,168,6,168
3/29/20,168,6,168
3/30/20,168,6,168
3/31/20,168,6,168
4/1/20,168,6,168
4/2/20,168,6,162
4/3/20,168,6,162
4/4/20,168,6,162
4/5/20,168,6,162
4/6/20,168,6,162
4/7/20,168,6,162
4/8/20,168,6,162
4/9/20,168,6,162
4/10/20,168,6,162
4/11/20,168,6,162
4/12/20,168,6,162
4/13/20,168,6,162
4/14/20,168,6,162
4/15/20,168,6,162
4/16/20,168,6,162
4/17/20,168,6,162
4/18/20,168,6,162
4/19/20,168,6,162
4/20/20,168,6,162
4/21/20,168,6,162
4/22/20,168,6,162
4/23/20,168,6,162
4/24/20,168,6,162
4/25/20,168,6,162
4/26/20,168,6,162
4/27/20,168,6,162
4/28/20,168,6,162
4/29/20,168,6,162
4/30/20,168,6,162
5/1/20,168,6,162
5/2/20,168,6,162
5/3/20,168,6,162
5/4/20,168,6,162
5/5/20,168,6,162
5/6/20,168,6,162
5/7/20,168,6,162
5/8/20,168,6,162
5/9/20,168,6,162
5/10/20,168,6,162
5/11/20,168,6,162
5/12/20,168,6,162
5/13/20,168,6,162
5/14/20,168,6,162
5/15/20,169,6,162
5/16/20,169,6,162
5/17/20,169,6,162
5/18/20,169,6,162
5/19/20,169,6,162
5/20/20,169,6,162
5/21/20,169,6,162
5/22/20,169,6,162
5/23/20,169,6,162
5/24/20,169,6,162
5/25/20,169,6,162
5/26/20,169,6,162
5/27/20,169,6,162
5/28/20,169,6,162
5/29/20,169,6,163
5/30/20,169,6,163
5/31/20,169,6,163
6/1/20,169,6,163
6/2/20,169,6,163
6/3/20,169,6,163
6/4/20,169,6,163
6/5/20,169,6,163
6/6/20,170,6,162
6/7/20,170,6,162
6/8/20,170,6,162
6/9/20,170,6,162
6/10/20,170,6,162
6/11/20,170,6,162
6/12/20,171,6,162
6/13/20,171,6,162
6/14/20,171,6,162
6/15/20,171,6,163
6/16/20,171,6,163
6/17/20,171,6,163
