Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,1,0
1/24/20,2,1,0
1/25/20,8,1,0
1/26/20,13,1,0
1/27/20,18,1,0
1/28/20,33,1,0
1/29/20,48,1,0
1/30/20,65,1,0
1/31/20,82,1,0
2/1/20,96,1,0
2/2/20,104,1,3
2/3/20,113,1,3
2/4/20,126,1,4
2/5/20,135,1,6
2/6/20,157,1,13
2/7/20,172,1,22
2/8/20,195,1,30
2/9/20,206,2,34
2/10/20,218,2,41
2/11/20,239,2,48
2/12/20,251,2,54
2/13/20,265,3,68
2/14/20,283,3,87
2/15/20,291,3,101
2/16/20,300,3,105
2/17/20,301,3,122
2/18/20,306,4,136
2/19/20,306,4,152
2/20/20,307,5,169
2/21/20,308,5,184
2/22/20,309,6,203
2/23/20,311,6,219
2/24/20,311,6,234
2/25/20,311,6,248
2/26/20,312,6,261
2/27/20,317,6,274
2/28/20,318,6,277
2/29/20,318,6,282
3/1/20,318,6,294
3/2/20,318,6,296
3/3/20,318,6,300
3/4/20,318,6,301
3/5/20,318,6,304
3/6/20,318,6,305
3/7/20,318,6,307
3/8/20,318,6,307
3/9/20,318,6,307
3/10/20,318,6,307
3/11/20,318,6,307
3/12/20,318,6,308
3/13/20,318,6,310
3/14/20,318,6,310
3/15/20,318,6,310
3/16/20,318,6,310
3/17/20,318,6,310
3/18/20,318,6,310
3/19/20,318,6,310
3/20/20,318,6,310
3/21/20,318,6,310
3/22/20,319,6,310
3/23/20,319,6,310
3/24/20,319,6,310
3/25/20,319,6,310
3/26/20,319,6,310
3/27/20,319,6,310
3/28/20,319,6,310
3/29/20,319,6,310
3/30/20,321,6,310
3/31/20,321,6,310
4/1/20,323,6,310
4/2/20,325,6,310
4/3/20,326,6,310
4/4/20,326,6,310
4/5/20,327,6,310
4/6/20,327,6,310
4/7/20,327,6,312
4/8/20,327,6,312
4/9/20,327,6,313
4/10/20,327,6,313
4/11/20,327,6,313
4/12/20,327,6,313
4/13/20,327,6,313
4/14/20,327,6,314
4/15/20,327,6,314
4/16/20,328,6,315
4/17/20,328,6,316
4/18/20,328,6,316
4/19/20,328,6,316
4/20/20,328,6,317
4/21/20,328,6,317
4/22/20,328,6,317
4/23/20,328,6,317
4/24/20,328,6,318
4/25/20,328,6,318
4/26/20,328,6,318
4/27/20,328,6,318
4/28/20,328,6,318
4/29/20,328,6,318
4/30/20,328,6,318
5/1/20,328,6,318
5/2/20,328,6,318
5/3/20,328,6,318
5/4/20,328,6,320
5/5/20,328,6,320
5/6/20,328,6,320
5/7/20,328,6,320
5/8/20,328,6,320
5/9/20,328,6,321
5/10/20,328,6,321
5/11/20,328,6,321
5/12/20,328,6,321
5/13/20,328,6,321
5/14/20,328,6,321
5/15/20,328,6,321
5/16/20,328,6,321
5/17/20,328,6,322
5/18/20,328,6,322
5/19/20,328,6,322
5/20/20,328,6,322
5/21/20,328,6,322
5/22/20,328,6,322
5/23/20,328,6,322
5/24/20,328,6,322
5/25/20,328,6,322
5/26/20,328,6,322
5/27/20,328,6,322
5/28/20,328,6,322
5/29/20,328,6,322
5/30/20,328,6,322
5/31/20,328,6,322
6/1/20,328,6,322
6/2/20,328,6,322
6/3/20,328,6,322
6/4/20,328,6,322
6/5/20,328,6,322
6/6/20,328,6,322
6/7/20,328,6,322
6/8/20,328,6,322
6/9/20,328,6,322
6/10/20,328,6,322
6/11/20,328,6,322
6/12/20,328,6,322
6/13/20,328,6,322
6/14/20,331,6,322
6/15/20,335,6,322
6/16/20,336,6,322
6/17/20,338,6,322
