Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,4,1,0
1/25/20,9,1,0
1/26/20,15,1,0
1/27/20,21,1,0
1/28/20,33,1,0
1/29/20,38,1,0
1/30/20,44,2,0
1/31/20,59,2,0
2/1/20,80,2,2
2/2/20,95,2,2
2/3/20,121,2,2
2/4/20,155,2,4
2/5/20,190,2,7
2/6/20,227,3,8
2/7/20,277,3,12
2/8/20,295,5,13
2/9/20,307,6,14
2/10/20,331,7,30
2/11/20,360,8,28
2/12/20,378,8,31
2/13/20,395,9,33
2/14/20,419,11,47
2/15/20,425,11,68
2/16/20,445,11,79
2/17/20,457,11,85
2/18/20,464,11,111
2/19/20,470,12,120
2/20/20,476,12,136
2/21/20,479,12,175
2/22/20,479,12,204
2/23/20,480,12,222
2/24/20,480,12,227
2/25/20,480,12,243
2/26/20,480,12,249
2/27/20,480,13,270
2/28/20,480,13,283
2/29/20,480,13,301
3/1/20,480,13,342
3/2/20,480,13,356
3/3/20,480,13,366
3/4/20,480,13,373
3/5/20,481,13,379
3/6/20,481,13,396
3/7/20,481,13,403
3/8/20,481,13,412
3/9/20,481,13,430
3/10/20,481,13,434
3/11/20,482,13,436
3/12/20,482,13,441
3/13/20,482,13,446
3/14/20,482,13,447
3/15/20,482,13,453
3/16/20,482,13,455
3/17/20,482,13,456
3/18/20,482,13,459
3/19/20,483,13,460
3/20/20,484,13,463
3/21/20,484,13,463
3/22/20,484,13,466
3/23/20,484,13,465
3/24/20,484,13,468
3/25/20,484,13,468
3/26/20,484,13,469
3/27/20,484,13,469
3/28/20,484,13,469
3/29/20,484,13,469
3/30/20,484,13,469
3/31/20,484,13,469
4/1/20,484,13,469
4/2/20,488,13,469
4/3/20,489,13,469
4/4/20,491,13,469
4/5/20,504,13,469
4/6/20,524,13,469
4/7/20,544,13,469
4/8/20,569,13,470
4/9/20,609,13,470
4/10/20,638,13,470
4/11/20,661,13,470
4/12/20,684,13,470
4/13/20,740,13,470
4/14/20,819,13,470
4/15/20,841,13,470
4/16/20,861,13,471
4/17/20,872,13,471
4/18/20,892,13,472
4/19/20,898,13,472
4/20/20,905,13,472
4/21/20,913,13,475
4/22/20,921,13,479
4/23/20,928,13,485
4/24/20,930,13,508
4/25/20,935,13,511
4/26/20,936,13,556
4/27/20,939,13,586
4/28/20,939,13,587
4/29/20,939,13,587
4/30/20,944,13,587
5/1/20,944,13,605
5/2/20,944,13,604
5/3/20,944,13,657
5/4/20,944,13,719
5/5/20,944,13,758
5/6/20,944,13,793
5/7/20,944,13,815
5/8/20,944,13,815
5/9/20,944,13,891
5/10/20,945,13,904
5/11/20,945,13,924
5/12/20,945,13,929
5/13/20,945,13,930
5/14/20,945,13,930
5/15/20,945,13,931
5/16/20,945,13,932
5/17/20,945,13,932
5/18/20,945,13,932
5/19/20,945,13,932
5/20/20,945,13,932
5/21/20,945,13,932
5/22/20,945,13,932
5/23/20,945,13,932
5/24/20,945,13,932
5/25/20,945,13,932
5/26/20,945,13,932
5/27/20,945,13,932
5/28/20,945,13,932
5/29/20,945,13,932
5/30/20,945,13,932
5/31/20,945,13,932
6/1/20,945,13,932
6/2/20,945,13,932
6/3/20,947,13,934
6/4/20,947,13,934
6/5/20,947,13,934
6/6/20,947,13,934
6/7/20,947,13,934
6/8/20,947,13,934
6/9/20,947,13,934
6/10/20,947,13,934
6/11/20,947,13,934
6/12/20,947,13,934
6/13/20,947,13,934
6/14/20,947,13,934
6/15/20,947,13,934
6/16/20,947,13,934
6/17/20,947,13,934
