Date,Confirmed,Deaths,Recovered
1/22/20,5,0,0
1/23/20,5,0,0
1/24/20,9,0,0
1/25/20,32,0,0
1/26/20,83,1,0
1/27/20,128,1,0
1/28/20,168,1,0
1/29/20,206,2,1
1/30/20,278,2,2
1/31/20,352,2,3
2/1/20,422,2,3
2/2/20,493,2,10
2/3/20,566,2,16
2/4/20,675,2,27
2/5/20,764,2,47
2/6/20,851,2,56
2/7/20,914,3,86
2/8/20,981,4,116
2/9/20,1033,6,153
2/10/20,1073,6,191
2/11/20,1105,7,218
2/12/20,1135,8,246
2/13/20,1169,10,296
2/14/20,1184,11,357
2/15/20,1212,13,391
2/16/20,1231,13,440
2/17/20,1246,16,509
2/18/20,1257,19,522
2/19/20,1262,19,573
2/20/20,1265,19,637
2/21/20,1267,19,736
2/22/20,1270,19,830
2/23/20,1271,19,868
2/24/20,1271,19,943
2/25/20,1271,19,1002
2/26/20,1271,19,1033
2/27/20,1272,20,1068
2/28/20,1272,20,1112
2/29/20,1272,21,1170
3/1/20,1272,22,1198
3/2/20,1272,22,1205
3/3/20,1272,22,1231
3/4/20,1272,22,1234
3/5/20,1272,22,1239
3/6/20,1272,22,1244
3/7/20,1272,22,1244
3/8/20,1272,22,1247
3/9/20,1272,22,1247
3/10/20,1272,22,1247
3/11/20,1273,22,1249
3/12/20,1273,22,1249
3/13/20,1273,22,1249
3/14/20,1273,22,1250
3/15/20,1273,22,1250
3/16/20,1273,22,1250
3/17/20,1273,22,1250
3/18/20,1273,22,1250
3/19/20,1273,22,1250
3/20/20,1273,22,1250
3/21/20,1273,22,1250
3/22/20,1274,22,1250
3/23/20,1274,22,1250
3/24/20,1274,22,1250
3/25/20,1274,22,1250
3/26/20,1275,22,1250
3/27/20,1275,22,1250
3/28/20,1275,22,1251
3/29/20,1276,22,1251
3/30/20,1276,22,1251
3/31/20,1276,22,1251
4/1/20,1276,22,1251
4/2/20,1276,22,1251
4/3/20,1276,22,1251
4/4/20,1276,22,1251
4/5/20,1276,22,1251
4/6/20,1276,22,1252
4/7/20,1276,22,1252
4/8/20,1276,22,1252
4/9/20,1276,22,1252
4/10/20,1276,22,1252
4/11/20,1276,22,1252
4/12/20,1276,22,1253
4/13/20,1276,22,1253
4/14/20,1276,22,1254
4/15/20,1276,22,1254
4/16/20,1276,22,1254
4/17/20,1276,22,1254
4/18/20,1276,22,1254
4/19/20,1276,22,1254
4/20/20,1276,22,1254
4/21/20,1276,22,1254
4/22/20,1276,22,1254
4/23/20,1276,22,1254
4/24/20,1276,22,1254
4/25/20,1276,22,1254
4/26/20,1276,22,1254
4/27/20,1276,22,1254
4/28/20,1276,22,1254
4/29/20,1276,22,1254
4/30/20,1276,22,1254
5/1/20,1276,22,1254
5/2/20,1276,22,1254
5/3/20,1276,22,1254
5/4/20,1276,22,1254
5/5/20,1276,22,1254
5/6/20,1276,22,1254
5/7/20,1276,22,1254
5/8/20,1276,22,1254
5/9/20,1276,22,1254
5/10/20,1276,22,1254
5/11/20,1276,22,1254
5/12/20,1276,22,1254
5/13/20,1276,22,1254
5/14/20,1276,22,1254
5/15/20,1276,22,1254
5/16/20,1276,22,1254
5/17/20,1276,22,1254
5/18/20,1276,22,1254
5/19/20,1276,22,1254
5/20/20,1276,22,1254
5/21/20,1276,22,1254
5/22/20,1276,22,1254
5/23/20,1276,22,1254
5/24/20,1276,22,1254
5/25/20,1276,22,1254
5/26/20,1276,22,1254
5/27/20,1276,22,1254
5/28/20,1276,22,1254
5/29/20,1276,22,1254
5/30/20,1276,22,1254
5/31/20,1276,22,1254
6/1/20,1276,22,1254
6/2/20,1276,22,1254
6/3/20,1276,22,1254
6/4/20,1276,22,1254
6/5/20,1276,22,1254
6/6/20,1276,22,1254
6/7/20,1276,22,1254
6/8/20,1276,22,1254
6/9/20,1276,22,1254
6/10/20,1276,22,1254
6/11/20,1276,22,1254
6/12/20,1276,22,1254
6/13/20,1276,22,1254
6/14/20,1276,22,1254
6/15/20,1276,22,1254
6/16/20,1276,22,1254
6/17/20,1276,22,1254
