Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,5,0,0
1/26/20,8,0,0
1/27/20,8,0,0
1/28/20,8,0,0
1/29/20,10,0,0
1/30/20,10,0,0
1/31/20,12,0,0
2/1/20,13,0,0
2/2/20,15,0,0
2/3/20,15,0,0
2/4/20,17,1,0
2/5/20,21,1,0
2/6/20,24,1,0
2/7/20,25,1,0
2/8/20,26,1,0
2/9/20,29,1,0
2/10/20,38,1,0
2/11/20,49,1,0
2/12/20,50,1,1
2/13/20,53,1,1
2/14/20,56,1,1
2/15/20,56,1,1
2/16/20,57,1,2
2/17/20,60,1,2
2/18/20,62,1,2
2/19/20,63,2,5
2/20/20,68,2,6
2/21/20,68,2,5
2/22/20,69,2,6
2/23/20,74,2,11
2/24/20,79,2,19
2/25/20,84,2,19
2/26/20,91,2,24
2/27/20,92,2,24
2/28/20,94,2,30
2/29/20,95,2,33
3/1/20,96,2,36
3/2/20,100,2,36
3/3/20,100,2,37
3/4/20,105,2,37
3/5/20,105,2,43
3/6/20,107,2,46
3/7/20,108,2,51
3/8/20,114,3,58
3/9/20,115,3,59
3/10/20,120,3,65
3/11/20,126,3,65
3/12/20,129,3,67
3/13/20,134,4,77
3/14/20,140,4,78
3/15/20,145,4,81
3/16/20,155,4,84
3/17/20,162,4,88
3/18/20,181,4,92
3/19/20,208,4,95
3/20/20,256,4,98
3/21/20,273,4,98
3/22/20,317,4,100
3/23/20,356,4,100
3/24/20,386,4,101
3/25/20,410,4,102
3/26/20,453,4,110
3/27/20,519,4,110
3/28/20,561,4,112
3/29/20,641,4,112
3/30/20,682,4,123
3/31/20,714,4,128
4/1/20,765,4,147
4/2/20,802,4,147
4/3/20,845,4,173
4/4/20,862,4,173
4/5/20,890,4,206
4/6/20,914,4,216
4/7/20,935,4,216
4/8/20,960,4,264
4/9/20,973,4,293
4/10/20,989,4,309
4/11/20,1000,4,336
4/12/20,1004,4,360
4/13/20,1009,4,360
4/14/20,1012,4,434
4/15/20,1017,4,459
4/16/20,1017,4,485
4/17/20,1021,4,533
4/18/20,1024,4,568
4/19/20,1025,4,602
4/20/20,1025,4,630
4/21/20,1029,4,650
4/22/20,1033,4,678
4/23/20,1035,4,699
4/24/20,1035,4,725
4/25/20,1037,4,753
4/26/20,1037,4,772
4/27/20,1037,4,787
4/28/20,1037,4,811
4/29/20,1037,4,830
4/30/20,1037,4,846
5/1/20,1039,4,859
5/2/20,1039,4,864
5/3/20,1039,4,879
5/4/20,1040,4,900
5/5/20,1040,4,920
5/6/20,1040,4,932
5/7/20,1044,4,944
5/8/20,1044,4,960
5/9/20,1044,4,967
5/10/20,1047,4,982
5/11/20,1047,4,985
5/12/20,1047,4,991
5/13/20,1050,4,1008
5/14/20,1051,4,1009
5/15/20,1052,4,1019
5/16/20,1052,4,1022
5/17/20,1055,4,1024
5/18/20,1055,4,1025
5/19/20,1055,4,1025
5/20/20,1055,4,1025
5/21/20,1055,4,1025
5/22/20,1065,4,1029
5/23/20,1065,4,1029
5/24/20,1065,4,1030
5/25/20,1065,4,1030
5/26/20,1065,4,1033
5/27/20,1066,4,1034
5/28/20,1066,4,1035
5/29/20,1079,4,1035
5/30/20,1082,4,1036
5/31/20,1084,4,1037
6/1/20,1087,4,1037
6/2/20,1093,4,1038
6/3/20,1093,4,1039
6/4/20,1099,4,1042
6/5/20,1102,4,1045
6/6/20,1105,4,1048
6/7/20,1106,4,1049
6/8/20,1107,4,1049
6/9/20,1107,4,1050
6/10/20,1107,4,1051
6/11/20,1107,4,1055
6/12/20,1108,4,1060
6/13/20,1109,4,1061
6/14/20,1109,4,1067
6/15/20,1112,4,1067
6/16/20,1112,4,1069
6/17/20,1120,4,1071
