Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,1,0,0
1/25/20,7,0,0
1/26/20,7,0,0
1/27/20,11,0,0
1/28/20,15,0,0
1/29/20,16,0,0
1/30/20,19,0,0
1/31/20,20,0,1
2/1/20,23,0,1
2/2/20,27,0,1
2/3/20,34,0,1
2/4/20,35,0,1
2/5/20,42,0,3
2/6/20,46,0,4
2/7/20,50,0,5
2/8/20,52,0,5
2/9/20,54,0,5
2/10/20,58,0,5
2/11/20,58,0,5
2/12/20,60,0,6
2/13/20,61,0,6
2/14/20,65,0,6
2/15/20,68,0,7
2/16/20,70,0,8
2/17/20,72,0,8
2/18/20,73,0,8
2/19/20,75,0,10
2/20/20,75,0,16
2/21/20,75,0,17
2/22/20,75,0,26
2/23/20,75,0,27
2/24/20,75,0,34
2/25/20,75,0,35
2/26/20,75,0,38
2/27/20,75,0,43
2/28/20,75,0,45
2/29/20,75,0,49
3/1/20,75,0,52
3/2/20,75,0,54
3/3/20,75,1,59
3/4/20,75,1,63
3/5/20,75,1,65
3/6/20,75,1,65
3/7/20,75,1,67
3/8/20,75,1,70
3/9/20,75,1,70
3/10/20,75,1,70
3/11/20,75,1,71
3/12/20,75,1,71
3/13/20,75,1,71
3/14/20,75,1,71
3/15/20,75,1,71
3/16/20,75,1,73
3/17/20,75,1,73
3/18/20,75,1,73
3/19/20,75,1,74
3/20/20,75,1,74
3/21/20,75,1,74
3/22/20,75,1,74
3/23/20,75,1,74
3/24/20,75,1,74
3/25/20,77,1,74
3/26/20,89,1,74
3/27/20,92,1,74
3/28/20,94,1,74
3/29/20,95,1,74
3/30/20,97,1,74
3/31/20,107,1,74
4/1/20,111,1,74
4/2/20,117,1,74
4/3/20,117,1,74
4/4/20,117,1,74
4/5/20,117,1,74
4/6/20,118,1,74
4/7/20,121,1,74
4/8/20,124,1,74
4/9/20,126,1,79
4/10/20,128,1,79
4/11/20,155,1,79
4/12/20,189,1,83
4/13/20,190,1,83
4/14/20,190,1,91
4/15/20,190,1,94
4/16/20,193,1,94
4/17/20,193,1,103
4/18/20,193,1,104
4/19/20,193,1,104
4/20/20,194,1,104
4/21/20,194,1,108
4/22/20,194,1,108
4/23/20,194,1,108
4/24/20,197,1,114
4/25/20,198,1,121
4/26/20,198,1,129
4/27/20,199,1,145
4/28/20,199,1,146
4/29/20,200,1,150
4/30/20,201,1,152
5/1/20,201,1,154
5/2/20,201,1,154
5/3/20,201,1,156
5/4/20,201,1,160
5/5/20,201,1,167
5/6/20,201,1,171
5/7/20,201,1,172
5/8/20,201,1,172
5/9/20,201,1,184
5/10/20,208,1,187
5/11/20,209,1,188
5/12/20,209,1,190
5/13/20,209,1,190
5/14/20,209,1,194
5/15/20,209,1,196
5/16/20,209,1,196
5/17/20,213,1,196
5/18/20,216,1,196
5/19/20,216,1,196
5/20/20,216,1,196
5/21/20,216,1,196
5/22/20,217,1,199
5/23/20,217,1,199
5/24/20,227,1,201
5/25/20,232,1,204
5/26/20,232,1,205
5/27/20,232,1,205
5/28/20,232,1,205
5/29/20,232,1,205
5/30/20,232,1,206
5/31/20,235,1,207
6/1/20,235,1,209
6/2/20,235,1,209
6/3/20,235,1,212
6/4/20,235,1,213
6/5/20,235,1,213
6/6/20,235,1,213
6/7/20,235,1,218
6/8/20,235,1,226
6/9/20,237,1,230
6/10/20,237,1,230
6/11/20,237,1,231
6/12/20,237,1,232
6/13/20,237,1,232
6/14/20,237,1,232
6/15/20,238,1,234
6/16/20,238,1,234
6/17/20,238,1,234
