Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,5,0,0
1/24/20,9,0,0
1/25/20,18,0,1
1/26/20,33,0,1
1/27/20,47,0,1
1/28/20,70,0,1
1/29/20,99,0,1
1/30/20,129,0,1
1/31/20,168,0,5
2/1/20,202,0,6
2/2/20,236,0,7
2/3/20,271,0,8
2/4/20,308,0,12
2/5/20,341,0,23
2/6/20,373,0,34
2/7/20,408,0,43
2/8/20,439,0,51
2/9/20,468,0,71
2/10/20,492,0,81
2/11/20,515,0,93
2/12/20,543,0,125
2/13/20,570,0,139
2/14/20,593,0,157
2/15/20,604,0,186
2/16/20,617,0,218
2/17/20,626,0,258
2/18/20,629,0,280
2/19/20,631,0,318
2/20/20,631,0,356
2/21/20,631,0,373
2/22/20,631,0,401
2/23/20,631,0,418
2/24/20,631,0,452
2/25/20,631,0,458
2/26/20,631,0,478
2/27/20,631,0,498
2/28/20,631,0,515
2/29/20,631,0,523
3/1/20,631,0,536
3/2/20,631,0,543
3/3/20,631,0,562
3/4/20,631,0,577
3/5/20,631,0,583
3/6/20,631,0,594
3/7/20,631,0,606
3/8/20,631,0,612
3/9/20,631,0,621
3/10/20,631,0,627
3/11/20,631,0,627
3/12/20,631,0,629
3/13/20,631,0,630
3/14/20,631,0,630
3/15/20,631,0,631
3/16/20,631,0,631
3/17/20,631,0,631
3/18/20,631,0,631
3/19/20,631,0,631
3/20/20,631,0,631
3/21/20,631,0,631
3/22/20,633,0,631
3/23/20,633,0,631
3/24/20,636,0,631
3/25/20,638,0,631
3/26/20,640,0,631
3/27/20,641,0,631
3/28/20,641,0,631
3/29/20,644,0,631
3/30/20,645,0,631
3/31/20,646,0,631
4/1/20,646,0,631
4/2/20,647,0,631
4/3/20,651,0,632
4/4/20,651,0,632
4/5/20,651,0,633
4/6/20,651,0,633
4/7/20,651,0,633
4/8/20,651,0,633
4/9/20,651,0,633
4/10/20,651,0,634
4/11/20,652,0,636
4/12/20,653,0,638
4/13/20,653,0,638
4/14/20,653,0,641
4/15/20,653,0,642
4/16/20,653,0,642
4/17/20,653,0,643
4/18/20,653,0,643
4/19/20,653,0,643
4/20/20,653,0,643
4/21/20,653,0,644
4/22/20,653,0,645
4/23/20,653,0,646
4/24/20,653,0,646
4/25/20,653,0,646
4/26/20,653,0,646
4/27/20,653,0,646
4/28/20,653,0,647
4/29/20,653,0,648
4/30/20,653,0,650
5/1/20,653,0,650
5/2/20,653,0,650
5/3/20,653,0,650
5/4/20,653,0,650
5/5/20,653,0,650
5/6/20,653,0,651
5/7/20,653,0,652
5/8/20,653,0,652
5/9/20,653,0,652
5/10/20,653,0,653
5/11/20,653,0,653
5/12/20,653,0,653
5/13/20,653,0,653
5/14/20,653,0,653
5/15/20,653,0,653
5/16/20,653,0,653
5/17/20,653,0,653
5/18/20,653,0,653
5/19/20,653,0,653
5/20/20,653,0,653
5/21/20,653,0,653
5/22/20,653,0,653
5/23/20,653,0,653
5/24/20,653,0,653
5/25/20,653,0,653
5/26/20,653,0,653
5/27/20,653,0,653
5/28/20,653,0,653
5/29/20,653,0,653
5/30/20,653,0,653
5/31/20,653,0,653
6/1/20,653,0,653
6/2/20,653,0,653
6/3/20,653,0,653
6/4/20,653,0,653
6/5/20,653,0,653
6/6/20,653,0,653
6/7/20,653,0,653
6/8/20,653,0,653
6/9/20,653,0,653
6/10/20,653,0,653
6/11/20,653,0,653
6/12/20,653,0,653
6/13/20,653,0,653
6/14/20,653,0,653
6/15/20,653,0,653
6/16/20,653,0,653
6/17/20,653,0,653
