Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,4,0,0
1/26/20,4,0,0
1/27/20,6,0,0
1/28/20,8,0,0
1/29/20,9,0,0
1/30/20,14,0,1
1/31/20,14,0,1
2/1/20,17,0,1
2/2/20,23,0,1
2/3/20,31,0,1
2/4/20,42,0,1
2/5/20,54,0,2
2/6/20,59,0,4
2/7/20,65,1,4
2/8/20,69,1,4
2/9/20,78,1,12
2/10/20,80,1,13
2/11/20,81,1,18
2/12/20,83,1,22
2/13/20,84,1,24
2/14/20,86,1,25
2/15/20,88,1,26
2/16/20,89,1,30
2/17/20,89,1,34
2/18/20,89,1,36
2/19/20,90,1,37
2/20/20,91,1,43
2/21/20,91,1,45
2/22/20,91,1,52
2/23/20,91,1,54
2/24/20,93,1,60
2/25/20,93,1,63
2/26/20,93,1,65
2/27/20,93,1,67
2/28/20,93,1,73
2/29/20,93,1,75
3/1/20,93,1,78
3/2/20,93,1,83
3/3/20,93,1,83
3/4/20,93,1,86
3/5/20,93,1,88
3/6/20,93,1,90
3/7/20,93,1,90
3/8/20,93,1,90
3/9/20,93,1,91
3/10/20,93,1,91
3/11/20,93,1,91
3/12/20,93,1,91
3/13/20,93,1,91
3/14/20,93,1,91
3/15/20,93,1,91
3/16/20,93,1,92
3/17/20,93,1,92
3/18/20,93,1,92
3/19/20,93,1,92
3/20/20,93,1,92
3/21/20,93,1,92
3/22/20,93,1,92
3/23/20,93,1,92
3/24/20,93,1,92
3/25/20,94,1,92
3/26/20,95,1,92
3/27/20,95,1,92
3/28/20,97,1,92
3/29/20,98,1,92
3/30/20,98,1,92
3/31/20,98,1,92
4/1/20,98,1,92
4/2/20,98,1,92
4/3/20,98,1,92
4/4/20,98,1,92
4/5/20,98,1,92
4/6/20,98,1,92
4/7/20,98,1,92
4/8/20,98,1,93
4/9/20,98,1,93
4/10/20,98,1,95
4/11/20,98,1,96
4/12/20,99,1,96
4/13/20,100,1,96
4/14/20,100,1,96
4/15/20,102,1,96
4/16/20,102,1,96
4/17/20,102,1,97
4/18/20,102,1,97
4/19/20,104,1,97
4/20/20,104,1,97
4/21/20,106,1,97
4/22/20,106,1,98
4/23/20,108,1,99
4/24/20,109,1,99
4/25/20,109,1,99
4/26/20,110,1,99
4/27/20,110,1,99
4/28/20,110,1,99
4/29/20,111,1,99
4/30/20,111,1,101
5/1/20,112,1,102
5/2/20,112,1,102
5/3/20,112,1,103
5/4/20,112,1,103
5/5/20,112,1,103
5/6/20,112,1,103
5/7/20,113,1,104
5/8/20,113,1,104
5/9/20,124,1,105
5/10/20,127,1,105
5/11/20,127,1,105
5/12/20,133,1,108
5/13/20,134,1,108
5/14/20,138,1,108
5/15/20,140,1,108
5/16/20,144,2,113
5/17/20,146,2,122
5/18/20,151,2,123
5/19/20,151,2,123
5/20/20,151,2,123
5/21/20,151,2,123
5/22/20,154,2,128
5/23/20,155,2,128
5/24/20,155,2,128
5/25/20,155,2,128
5/26/20,155,2,128
5/27/20,155,2,133
5/28/20,155,2,136
5/29/20,155,2,142
5/30/20,155,2,144
5/31/20,155,2,144
6/1/20,155,2,147
6/2/20,155,2,147
6/3/20,155,2,148
6/4/20,155,2,149
6/5/20,155,2,150
6/6/20,155,2,151
6/7/20,155,2,153
6/8/20,155,2,153
6/9/20,155,2,153
6/10/20,155,2,153
6/11/20,155,2,153
6/12/20,155,2,153
6/13/20,155,2,153
6/14/20,155,2,153
6/15/20,155,2,153
6/16/20,155,2,153
6/17/20,155,2,153
