Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,3,0,0
1/24/20,4,0,0
1/25/20,17,0,0
1/26/20,21,0,0
1/27/20,27,0,0
1/28/20,34,0,0
1/29/20,39,0,1
1/30/20,41,0,1
1/31/20,48,0,1
2/1/20,64,0,1
2/2/20,70,0,1
2/3/20,74,0,1
2/4/20,81,0,2
2/5/20,89,0,4
2/6/20,94,0,5
2/7/20,99,0,7
2/8/20,105,0,8
2/9/20,107,0,12
2/10/20,108,0,13
2/11/20,111,0,19
2/12/20,116,1,20
2/13/20,117,1,22
2/14/20,119,1,29
2/15/20,119,1,31
2/16/20,121,1,40
2/17/20,121,1,43
2/18/20,121,1,53
2/19/20,121,1,55
2/20/20,121,1,59
2/21/20,121,1,61
2/22/20,121,1,66
2/23/20,121,1,73
2/24/20,121,1,80
2/25/20,121,1,83
2/26/20,121,1,88
2/27/20,121,1,93
2/28/20,121,1,93
2/29/20,121,1,96
3/1/20,122,1,103
3/2/20,122,1,103
3/3/20,125,1,106
3/4/20,125,1,106
3/5/20,125,1,106
3/6/20,125,1,106
3/7/20,125,1,107
3/8/20,125,1,109
3/9/20,125,1,109
3/10/20,125,1,111
3/11/20,125,1,111
3/12/20,125,1,112
3/13/20,125,1,112
3/14/20,125,1,113
3/15/20,125,1,114
3/16/20,125,1,115
3/17/20,125,1,120
3/18/20,125,1,122
3/19/20,125,1,122
3/20/20,126,2,122
3/21/20,126,2,122
3/22/20,127,2,124
3/23/20,127,2,124
3/24/20,127,2,124
3/25/20,127,2,124
3/26/20,128,2,124
3/27/20,128,2,124
3/28/20,132,2,124
3/29/20,134,2,124
3/30/20,136,2,124
3/31/20,139,2,124
4/1/20,140,2,124
4/2/20,141,2,124
4/3/20,141,2,124
4/4/20,141,2,125
4/5/20,142,2,126
4/6/20,142,2,128
4/7/20,144,2,130
4/8/20,144,2,131
4/9/20,144,2,132
4/10/20,144,2,132
4/11/20,145,2,133
4/12/20,145,2,136
4/13/20,145,2,136
4/14/20,145,2,138
4/15/20,145,2,138
4/16/20,145,2,140
4/17/20,146,2,140
4/18/20,146,2,142
4/19/20,146,2,142
4/20/20,146,2,143
4/21/20,146,2,143
4/22/20,146,2,143
4/23/20,146,2,143
4/24/20,146,2,143
4/25/20,146,2,143
4/26/20,146,2,143
4/27/20,146,2,143
4/28/20,146,2,143
4/29/20,146,2,143
4/30/20,146,2,143
5/1/20,146,2,144
5/2/20,146,2,144
5/3/20,146,2,144
5/4/20,146,2,144
5/5/20,146,2,144
5/6/20,146,2,144
5/7/20,146,2,144
5/8/20,146,2,144
5/9/20,146,2,144
5/10/20,147,2,144
5/11/20,147,2,144
5/12/20,147,2,144
5/13/20,149,2,144
5/14/20,149,2,144
5/15/20,149,2,144
5/16/20,149,2,144
5/17/20,149,2,144
5/18/20,149,2,144
5/19/20,149,2,144
5/20/20,149,2,144
5/21/20,149,2,144
5/22/20,149,2,144
5/23/20,149,2,144
5/24/20,149,2,145
5/25/20,149,2,147
5/26/20,149,2,147
5/27/20,149,2,147
5/28/20,149,2,147
5/29/20,149,2,147
5/30/20,149,2,147
5/31/20,149,2,147
6/1/20,149,2,147
6/2/20,149,2,147
6/3/20,149,2,147
6/4/20,149,2,147
6/5/20,149,2,147
6/6/20,149,2,147
6/7/20,149,2,147
6/8/20,149,2,147
6/9/20,149,2,147
6/10/20,149,2,147
6/11/20,149,2,147
6/12/20,149,2,147
6/13/20,151,2,147
6/14/20,151,2,147
6/15/20,152,2,147
6/16/20,152,2,147
6/17/20,152,2,147
