Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,6,0,0
1/28/20,7,0,0
1/29/20,7,0,0
1/30/20,7,0,0
1/31/20,7,0,0
2/1/20,7,0,0
2/2/20,8,0,0
2/3/20,8,0,0
2/4/20,10,0,0
2/5/20,10,0,0
2/6/20,10,0,1
2/7/20,10,0,1
2/8/20,10,0,1
2/9/20,10,0,1
2/10/20,10,0,1
2/11/20,10,0,1
2/12/20,10,0,2
2/13/20,10,0,3
2/14/20,10,0,3
2/15/20,10,0,3
2/16/20,10,0,5
2/17/20,10,0,5
2/18/20,10,0,5
2/19/20,10,0,5
2/20/20,10,0,6
2/21/20,10,0,6
2/22/20,10,0,6
2/23/20,10,0,6
2/24/20,10,0,6
2/25/20,10,0,7
2/26/20,10,0,7
2/27/20,10,0,8
2/28/20,10,0,8
2/29/20,10,0,8
3/1/20,10,0,8
3/2/20,10,0,8
3/3/20,10,0,9
3/4/20,10,0,9
3/5/20,10,0,9
3/6/20,10,0,10
3/7/20,10,0,10
3/8/20,10,0,10
3/9/20,10,0,10
3/10/20,10,0,10
3/11/20,10,0,10
3/12/20,10,0,10
3/13/20,10,0,10
3/14/20,10,0,10
3/15/20,10,0,10
3/16/20,11,0,10
3/17/20,12,0,10
3/18/20,15,0,10
3/19/20,17,0,10
3/20/20,17,0,10
3/21/20,18,0,10
3/22/20,24,0,10
3/23/20,24,0,10
3/24/20,25,0,10
3/25/20,30,0,10
3/26/20,31,0,10
3/27/20,33,0,10
3/28/20,37,0,10
3/29/20,37,0,10
3/30/20,38,0,10
3/31/20,41,0,10
4/1/20,41,0,10
4/2/20,41,0,10
4/3/20,43,0,10
4/4/20,43,0,10
4/5/20,44,0,10
4/6/20,44,0,10
4/7/20,44,0,10
4/8/20,45,0,10
4/9/20,45,0,10
4/10/20,45,0,10
4/11/20,45,0,10
4/12/20,45,0,13
4/13/20,45,0,13
4/14/20,45,0,13
4/15/20,45,0,16
4/16/20,45,0,16
4/17/20,45,0,16
4/18/20,45,0,17
4/19/20,45,0,20
4/20/20,45,0,22
4/21/20,45,0,24
4/22/20,45,0,26
4/23/20,45,0,27
4/24/20,45,0,27
4/25/20,45,0,28
4/26/20,45,0,31
4/27/20,45,0,32
4/28/20,45,0,33
4/29/20,45,0,34
4/30/20,45,0,35
5/1/20,45,0,35
5/2/20,45,0,37
5/3/20,45,0,39
5/4/20,45,0,39
5/5/20,45,0,39
5/6/20,45,0,40
5/7/20,45,0,40
5/8/20,45,0,40
5/9/20,45,0,40
5/10/20,45,0,41
5/11/20,45,0,42
5/12/20,45,0,42
5/13/20,45,0,43
5/14/20,45,0,43
5/15/20,45,0,43
5/16/20,45,0,44
5/17/20,45,0,44
5/18/20,45,0,44
5/19/20,45,0,44
5/20/20,45,0,44
5/21/20,45,0,44
5/22/20,45,0,45
5/23/20,45,0,45
5/24/20,45,0,45
5/25/20,45,0,45
5/26/20,45,0,45
5/27/20,45,0,45
5/28/20,45,0,45
5/29/20,45,0,45
5/30/20,45,0,45
5/31/20,45,0,45
6/1/20,45,0,45
6/2/20,45,0,45
6/3/20,45,0,45
6/4/20,45,0,45
6/5/20,45,0,45
6/6/20,45,0,45
6/7/20,45,0,45
6/8/20,45,0,45
6/9/20,45,0,45
6/10/20,45,0,45
6/11/20,45,0,45
6/12/20,45,0,45
6/13/20,45,0,45
6/14/20,45,0,45
6/15/20,45,0,45
6/16/20,45,0,45
6/17/20,45,0,45
