Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,3,0,0
1/24/20,5,0,0
1/25/20,15,0,0
1/26/20,22,0,0
1/27/20,35,0,0
1/28/20,46,0,0
1/29/20,56,0,0
1/30/20,63,0,0
1/31/20,87,0,0
2/1/20,101,0,0
2/2/20,116,0,0
2/3/20,128,0,0
2/4/20,142,0,2
2/5/20,165,0,6
2/6/20,173,0,9
2/7/20,184,0,17
2/8/20,195,0,20
2/9/20,208,0,25
2/10/20,213,0,30
2/11/20,219,0,32
2/12/20,225,0,43
2/13/20,229,0,46
2/14/20,230,0,54
2/15/20,232,0,60
2/16/20,236,0,71
2/17/20,240,0,79
2/18/20,240,0,89
2/19/20,242,0,102
2/20/20,245,1,118
2/21/20,245,1,134
2/22/20,245,1,149
2/23/20,245,1,163
2/24/20,245,1,173
2/25/20,245,1,186
2/26/20,245,1,192
2/27/20,245,1,195
2/28/20,245,1,199
2/29/20,245,1,207
3/1/20,245,1,208
3/2/20,245,1,216
3/3/20,245,1,216
3/4/20,245,1,223
3/5/20,245,1,224
3/6/20,245,1,226
3/7/20,245,1,226
3/8/20,245,1,227
3/9/20,245,1,227
3/10/20,245,1,227
3/11/20,245,1,232
3/12/20,245,2,232
3/13/20,245,2,232
3/14/20,245,2,232
3/15/20,245,2,232
3/16/20,245,2,233
3/17/20,246,3,236
3/18/20,246,3,237
3/19/20,246,3,237
3/20/20,247,3,237
3/21/20,248,3,239
3/22/20,248,3,239
3/23/20,248,3,239
3/24/20,249,3,240
3/25/20,250,3,240
3/26/20,253,3,242
3/27/20,253,3,242
3/28/20,253,3,242
3/29/20,253,3,242
3/30/20,253,3,242
3/31/20,253,3,242
4/1/20,255,3,242
4/2/20,255,3,242
4/3/20,255,3,244
4/4/20,256,3,245
4/5/20,256,3,245
4/6/20,256,3,246
4/7/20,256,3,246
4/8/20,256,3,246
4/9/20,256,3,246
4/10/20,256,3,246
4/11/20,256,3,248
4/12/20,256,3,248
4/13/20,256,3,248
4/14/20,256,3,248
4/15/20,256,3,251
4/16/20,256,3,251
4/17/20,256,3,252
4/18/20,256,3,252
4/19/20,256,3,252
4/20/20,256,3,252
4/21/20,277,3,253
4/22/20,279,3,253
4/23/20,279,3,253
4/24/20,286,3,253
4/25/20,286,3,253
4/26/20,286,3,253
4/27/20,286,3,253
4/28/20,306,3,253
4/29/20,306,3,253
4/30/20,306,3,254
5/1/20,306,3,254
5/2/20,306,3,255
5/3/20,306,3,263
5/4/20,306,3,263
5/5/20,308,3,264
5/6/20,308,3,266
5/7/20,308,3,268
5/8/20,308,3,268
5/9/20,308,3,293
5/10/20,308,3,294
5/11/20,308,3,296
5/12/20,308,3,297
5/13/20,308,3,297
5/14/20,308,3,300
5/15/20,308,3,301
5/16/20,308,3,301
5/17/20,308,3,301
5/18/20,308,3,303
5/19/20,308,3,303
5/20/20,308,3,303
5/21/20,308,3,303
5/22/20,308,3,304
5/23/20,308,3,305
5/24/20,308,3,305
5/25/20,308,3,305
5/26/20,308,3,305
5/27/20,308,3,305
5/28/20,308,3,305
5/29/20,308,3,305
5/30/20,308,3,305
5/31/20,308,3,305
6/1/20,309,3,305
6/2/20,309,3,305
6/3/20,309,3,305
6/4/20,309,3,305
6/5/20,309,3,305
6/6/20,311,3,305
6/7/20,311,3,305
6/8/20,311,3,305
6/9/20,311,3,305
6/10/20,311,3,306
6/11/20,311,3,306
6/12/20,311,3,306
6/13/20,311,3,306
6/14/20,313,3,306
6/15/20,313,3,306
6/16/20,313,3,306
6/17/20,314,3,306
