Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,6,0,0
1/24/20,15,0,0
1/25/20,27,0,0
1/26/20,46,0,0
1/27/20,75,0,0
1/28/20,95,0,0
1/29/20,130,0,1
1/30/20,158,0,1
1/31/20,184,0,2
2/1/20,206,0,3
2/2/20,230,0,6
2/3/20,259,0,7
2/4/20,275,0,11
2/5/20,307,0,15
2/6/20,347,0,27
2/7/20,386,0,37
2/8/20,416,0,44
2/9/20,444,1,63
2/10/20,466,1,66
2/11/20,487,1,80
2/12/20,497,2,92
2/13/20,509,2,105
2/14/20,523,2,136
2/15/20,532,2,156
2/16/20,537,2,173
2/17/20,541,2,191
2/18/20,543,3,211
2/19/20,544,3,231
2/20/20,546,4,254
2/21/20,749,4,281
2/22/20,750,4,302
2/23/20,754,4,321
2/24/20,755,5,343
2/25/20,756,6,355
2/26/20,756,6,377
2/27/20,756,6,387
2/28/20,756,6,405
2/29/20,756,6,421
3/1/20,758,6,443
3/2/20,758,6,460
3/3/20,758,6,511
3/4/20,758,6,516
3/5/20,758,6,578
3/6/20,758,6,618
3/7/20,758,6,627
3/8/20,758,6,642
3/9/20,758,6,700
3/10/20,758,6,719
3/11/20,760,6,726
3/12/20,760,6,734
3/13/20,760,7,739
3/14/20,760,7,741
3/15/20,760,7,741
3/16/20,760,7,746
3/17/20,761,7,746
3/18/20,761,7,746
3/19/20,761,7,747
3/20/20,762,7,748
3/21/20,764,7,749
3/22/20,767,7,750
3/23/20,768,7,751
3/24/20,768,7,752
3/25/20,769,7,752
3/26/20,771,7,752
3/27/20,772,7,752
3/28/20,772,7,752
3/29/20,772,7,752
3/30/20,773,7,753
3/31/20,774,7,753
4/1/20,774,7,753
4/2/20,775,7,753
4/3/20,778,7,754
4/4/20,778,7,755
4/5/20,779,7,755
4/6/20,780,7,755
4/7/20,781,7,755
4/8/20,783,7,755
4/9/20,783,7,756
4/10/20,783,7,756
4/11/20,784,7,757
4/12/20,784,7,757
4/13/20,784,7,758
4/14/20,784,7,759
4/15/20,784,7,761
4/16/20,784,7,761
4/17/20,787,7,761
4/18/20,787,7,765
4/19/20,787,7,765
4/20/20,787,7,765
4/21/20,787,7,765
4/22/20,787,7,766
4/23/20,787,7,766
4/24/20,787,7,767
4/25/20,787,7,767
4/26/20,787,7,768
4/27/20,787,7,768
4/28/20,787,7,771
4/29/20,787,7,772
4/30/20,787,7,772
5/1/20,787,7,772
5/2/20,787,7,772
5/3/20,788,7,773
5/4/20,788,7,773
5/5/20,788,7,775
5/6/20,788,7,775
5/7/20,788,7,776
5/8/20,788,7,776
5/9/20,788,7,776
5/10/20,788,7,777
5/11/20,788,7,777
5/12/20,788,7,777
5/13/20,788,7,777
5/14/20,788,7,778
5/15/20,788,7,780
5/16/20,788,7,780
5/17/20,788,7,780
5/18/20,788,7,780
5/19/20,788,7,780
5/20/20,788,7,780
5/21/20,788,7,780
5/22/20,788,7,780
5/23/20,788,7,780
5/24/20,788,7,780
5/25/20,788,7,780
5/26/20,788,7,780
5/27/20,788,7,780
5/28/20,788,7,780
5/29/20,790,7,780
5/30/20,792,7,780
5/31/20,792,7,780
6/1/20,792,7,780
6/2/20,792,7,780
6/3/20,792,7,780
6/4/20,792,7,780
6/5/20,792,7,780
6/6/20,792,7,780
6/7/20,792,7,781
6/8/20,792,7,781
6/9/20,792,7,781
6/10/20,792,7,781
6/11/20,792,7,781
6/12/20,792,7,781
6/13/20,792,7,782
6/14/20,792,7,782
6/15/20,792,7,783
6/16/20,792,7,783
6/17/20,792,7,783
