Date,Confirmed,Deaths,Recovered
1/22/20,9,0,0
1/23/20,16,0,0
1/24/20,20,0,1
1/25/20,33,0,1
1/26/20,40,1,1
1/27/20,53,1,3
1/28/20,66,1,4
1/29/20,96,1,5
1/30/20,112,1,5
1/31/20,135,1,9
2/1/20,169,1,10
2/2/20,182,1,10
2/3/20,203,1,10
2/4/20,219,1,12
2/5/20,243,1,15
2/6/20,257,1,25
2/7/20,277,1,30
2/8/20,286,1,41
2/9/20,293,1,44
2/10/20,299,1,48
2/11/20,303,1,52
2/12/20,311,1,57
2/13/20,315,1,62
2/14/20,318,1,90
2/15/20,326,1,124
2/16/20,328,1,140
2/17/20,333,1,161
2/18/20,333,1,177
2/19/20,333,2,186
2/20/20,334,2,199
2/21/20,334,2,211
2/22/20,335,3,227
2/23/20,335,3,249
2/24/20,335,3,261
2/25/20,336,3,268
2/26/20,337,3,272
2/27/20,337,3,276
2/28/20,337,3,279
2/29/20,337,3,287
3/1/20,337,3,290
3/2/20,337,3,292
3/3/20,338,3,294
3/4/20,338,3,298
3/5/20,339,3,303
3/6/20,342,3,306
3/7/20,342,3,313
3/8/20,342,3,314
3/9/20,342,3,315
3/10/20,344,3,319
3/11/20,344,3,320
3/12/20,344,3,321
3/13/20,346,3,324
3/14/20,353,3,324
3/15/20,353,3,324
3/16/20,355,3,325
3/17/20,358,3,325
3/18/20,361,3,326
3/19/20,363,3,326
3/20/20,371,3,326
3/21/20,380,3,327
3/22/20,404,4,328
3/23/20,404,4,329
3/24/20,414,4,330
3/25/20,433,5,330
3/26/20,451,5,331
3/27/20,468,5,334
3/28/20,485,5,334
3/29/20,492,5,334
3/30/20,498,5,338
3/31/20,509,5,341
4/1/20,516,6,341
4/2/20,522,6,343
4/3/20,526,6,348
4/4/20,529,6,356
4/5/20,531,6,383
4/6/20,536,6,389
4/7/20,538,6,406
4/8/20,543,7,418
4/9/20,552,7,422
4/10/20,555,7,435
4/11/20,555,7,438
4/12/20,607,7,446
4/13/20,618,7,446
4/14/20,618,7,468
4/15/20,622,7,485
4/16/20,628,7,489
4/17/20,628,7,512
4/18/20,628,7,512
4/19/20,635,7,521
4/20/20,638,7,530
4/21/20,638,7,530
4/22/20,639,7,534
4/23/20,641,7,533
4/24/20,641,7,558
4/25/20,642,7,558
4/26/20,642,7,568
4/27/20,644,7,581
4/28/20,645,7,584
4/29/20,647,7,597
4/30/20,652,7,599
5/1/20,652,7,612
5/2/20,652,7,612
5/3/20,655,7,615
5/4/20,656,7,619
5/5/20,656,7,620
5/6/20,657,7,620
5/7/20,657,7,623
5/8/20,657,7,623
5/9/20,659,7,626
5/10/20,659,7,627
5/11/20,659,7,627
5/12/20,660,7,631
5/13/20,660,7,633
5/14/20,660,7,638
5/15/20,665,7,640
5/16/20,665,7,641
5/17/20,666,7,641
5/18/20,666,7,641
5/19/20,666,7,641
5/20/20,666,7,641
5/21/20,666,7,641
5/22/20,667,7,647
5/23/20,668,7,647
5/24/20,668,7,648
5/25/20,669,7,652
5/26/20,670,7,653
5/27/20,671,7,655
5/28/20,671,7,655
5/29/20,672,7,657
5/30/20,672,7,657
5/31/20,672,7,657
6/1/20,673,7,660
6/2/20,673,7,661
6/3/20,673,7,661
6/4/20,677,7,662
6/5/20,677,7,663
6/6/20,677,7,664
6/7/20,678,7,664
6/8/20,678,7,664
6/9/20,678,7,665
6/10/20,684,7,665
6/11/20,689,7,666
6/12/20,690,7,666
6/13/20,691,7,666
6/14/20,692,7,667
6/15/20,695,7,667
6/16/20,695,7,667
6/17/20,697,7,668
