Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,1,0,0
1/25/20,6,0,0
1/26/20,9,0,0
1/27/20,13,0,0
1/28/20,27,0,0
1/29/20,27,0,1
1/30/20,35,0,1
1/31/20,39,0,1
2/1/20,47,0,1
2/2/20,66,0,3
2/3/20,74,0,2
2/4/20,81,0,4
2/5/20,81,0,5
2/6/20,96,0,12
2/7/20,104,0,15
2/8/20,115,0,21
2/9/20,119,0,25
2/10/20,119,0,25
2/11/20,124,0,30
2/12/20,126,0,33
2/13/20,126,0,36
2/14/20,127,0,38
2/15/20,128,0,46
2/16/20,129,0,50
2/17/20,130,0,53
2/18/20,131,0,61
2/19/20,131,0,68
2/20/20,132,0,76
2/21/20,132,0,78
2/22/20,132,0,81
2/23/20,132,0,88
2/24/20,133,0,94
2/25/20,133,0,98
2/26/20,133,0,104
2/27/20,133,0,107
2/28/20,133,0,112
2/29/20,133,0,114
3/1/20,133,0,116
3/2/20,133,0,119
3/3/20,133,0,124
3/4/20,133,0,124
3/5/20,133,0,126
3/6/20,133,0,126
3/7/20,133,0,126
3/8/20,133,0,126
3/9/20,133,0,127
3/10/20,133,0,131
3/11/20,133,0,131
3/12/20,133,0,132
3/13/20,133,0,133
3/14/20,133,0,133
3/15/20,133,0,133
3/16/20,133,0,133
3/17/20,133,0,133
3/18/20,133,0,133
3/19/20,133,0,133
3/20/20,133,0,133
3/21/20,133,0,133
3/22/20,133,0,133
3/23/20,134,0,133
3/24/20,134,0,133
3/25/20,134,0,133
3/26/20,135,0,133
3/27/20,135,0,133
3/28/20,135,0,133
3/29/20,136,0,133
3/30/20,136,0,133
3/31/20,136,0,133
4/1/20,137,0,133
4/2/20,137,0,133
4/3/20,137,0,133
4/4/20,137,0,133
4/5/20,138,0,133
4/6/20,138,0,133
4/7/20,138,0,133
4/8/20,163,0,134
4/9/20,166,0,134
4/10/20,168,0,134
4/11/20,172,0,135
4/12/20,172,0,135
4/13/20,173,0,135
4/14/20,173,0,135
4/15/20,186,0,135
4/16/20,194,0,135
4/17/20,197,0,135
4/18/20,197,0,135
4/19/20,197,0,135
4/20/20,197,0,135
4/21/20,197,0,140
4/22/20,197,0,140
4/23/20,197,0,142
4/24/20,197,0,149
4/25/20,197,0,154
4/26/20,197,0,157
4/27/20,197,0,160
4/28/20,197,0,160
4/29/20,197,0,164
4/30/20,197,0,172
5/1/20,197,0,172
5/2/20,197,0,176
5/3/20,198,0,180
5/4/20,198,0,190
5/5/20,198,0,193
5/6/20,198,0,194
5/7/20,198,0,195
5/8/20,198,0,195
5/9/20,198,0,197
5/10/20,198,0,197
5/11/20,198,0,197
5/12/20,198,0,198
5/13/20,198,0,198
5/14/20,198,0,198
5/15/20,198,0,198
5/16/20,198,0,198
5/17/20,198,0,198
5/18/20,198,0,198
5/19/20,198,0,198
5/20/20,198,0,198
5/21/20,198,0,198
5/22/20,198,0,198
5/23/20,198,0,198
5/24/20,198,0,198
5/25/20,198,0,198
5/26/20,198,0,198
5/27/20,198,0,198
5/28/20,198,0,198
5/29/20,198,0,198
5/30/20,198,0,198
5/31/20,198,0,198
6/1/20,198,0,198
6/2/20,198,0,198
6/3/20,198,0,198
6/4/20,198,0,198
6/5/20,198,0,198
6/6/20,198,0,198
6/7/20,198,0,198
6/8/20,198,0,198
6/9/20,198,0,198
6/10/20,198,0,198
6/11/20,198,0,198
6/12/20,198,0,198
6/13/20,198,0,198
6/14/20,198,0,198
6/15/20,198,0,198
6/16/20,198,0,198
6/17/20,198,0,198
