Date,Confirmed,Deaths,Recovered
1/22/20,4,0,0
1/23/20,4,0,0
1/24/20,8,0,0
1/25/20,10,0,0
1/26/20,14,0,0
1/27/20,23,0,0
1/28/20,24,0,0
1/29/20,27,0,0
1/30/20,31,0,0
1/31/20,32,0,0
2/1/20,41,0,0
2/2/20,48,0,1
2/3/20,60,0,1
2/4/20,67,0,2
2/5/20,69,1,2
2/6/20,79,1,2
2/7/20,81,1,2
2/8/20,88,1,4
2/9/20,91,1,4
2/10/20,95,1,8
2/11/20,106,2,10
2/12/20,112,2,11
2/13/20,119,3,21
2/14/20,120,3,31
2/15/20,122,3,37
2/16/20,124,3,45
2/17/20,125,3,46
2/18/20,128,3,48
2/19/20,130,3,54
2/20/20,131,3,59
2/21/20,132,3,62
2/22/20,135,3,65
2/23/20,135,3,81
2/24/20,135,3,87
2/25/20,135,3,91
2/26/20,135,3,96
2/27/20,136,3,102
2/28/20,136,3,102
2/29/20,136,3,109
3/1/20,136,3,111
3/2/20,136,3,111
3/3/20,136,3,124
3/4/20,136,3,124
3/5/20,136,3,128
3/6/20,136,3,128
3/7/20,136,3,128
3/8/20,136,3,128
3/9/20,136,3,130
3/10/20,136,3,131
3/11/20,136,3,131
3/12/20,136,3,132
3/13/20,136,3,132
3/14/20,136,3,132
3/15/20,136,3,133
3/16/20,136,3,133
3/17/20,136,3,133
3/18/20,136,3,133
3/19/20,137,3,133
3/20/20,137,3,133
3/21/20,137,3,133
3/22/20,137,3,133
3/23/20,141,3,133
3/24/20,145,3,133
3/25/20,145,3,133
3/26/20,151,3,133
3/27/20,155,3,133
3/28/20,161,3,133
3/29/20,166,3,133
3/30/20,174,3,133
3/31/20,174,3,135
4/1/20,176,3,135
4/2/20,176,3,135
4/3/20,180,3,140
4/4/20,180,3,144
4/5/20,180,3,144
4/6/20,180,3,144
4/7/20,180,3,151
4/8/20,180,3,152
4/9/20,182,3,152
4/10/20,183,3,158
4/11/20,183,3,161
4/12/20,183,3,161
4/13/20,184,3,164
4/14/20,185,3,168
4/15/20,185,3,171
4/16/20,186,3,172
4/17/20,189,3,173
4/18/20,189,3,173
4/19/20,189,3,174
4/20/20,189,3,174
4/21/20,189,3,176
4/22/20,189,3,176
4/23/20,189,3,179
4/24/20,190,3,181
4/25/20,190,3,182
4/26/20,190,3,182
4/27/20,190,3,182
4/28/20,190,3,183
4/29/20,190,3,183
4/30/20,190,3,184
5/1/20,190,3,185
5/2/20,190,3,185
5/3/20,190,3,186
5/4/20,190,3,186
5/5/20,190,3,186
5/6/20,190,3,186
5/7/20,190,3,186
5/8/20,191,3,186
5/9/20,191,3,186
5/10/20,191,3,186
5/11/20,191,3,186
5/12/20,191,3,186
5/13/20,191,3,187
5/14/20,191,3,187
5/15/20,191,3,187
5/16/20,192,3,187
5/17/20,192,3,187
5/18/20,192,3,187
5/19/20,192,3,187
5/20/20,192,3,187
5/21/20,192,3,187
5/22/20,192,3,187
5/23/20,192,3,187
5/24/20,192,3,188
5/25/20,192,3,188
5/26/20,192,3,188
5/27/20,192,3,188
5/28/20,192,3,188
5/29/20,192,3,188
5/30/20,192,3,188
5/31/20,192,3,188
6/1/20,192,3,188
6/2/20,192,3,188
6/3/20,192,3,188
6/4/20,192,3,189
6/5/20,192,3,189
6/6/20,193,3,189
6/7/20,193,3,189
6/8/20,193,3,189
6/9/20,194,3,189
6/10/20,195,3,189
6/11/20,195,3,189
6/12/20,196,3,189
6/13/20,196,3,189
6/14/20,196,3,189
6/15/20,196,3,189
6/16/20,196,3,189
6/17/20,197,3,191
