Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,2,0,0
1/24/20,5,0,0
1/25/20,11,0,0
1/26/20,16,0,0
1/27/20,26,0,0
1/28/20,44,0,0
1/29/20,55,0,0
1/30/20,70,0,0
1/31/20,83,0,1
2/1/20,93,0,2
2/2/20,105,0,3
2/3/20,117,0,5
2/4/20,122,0,5
2/5/20,128,0,5
2/6/20,133,0,7
2/7/20,138,0,12
2/8/20,138,0,17
2/9/20,141,0,18
2/10/20,149,0,19
2/11/20,153,0,20
2/12/20,154,0,26
2/13/20,156,0,27
2/14/20,162,0,36
2/15/20,168,0,42
2/16/20,171,0,42
2/17/20,171,0,47
2/18/20,172,0,57
2/19/20,172,1,60
2/20/20,174,2,79
2/21/20,174,2,96
2/22/20,174,2,107
2/23/20,174,2,115
2/24/20,174,2,124
2/25/20,174,2,129
2/26/20,174,2,144
2/27/20,174,2,150
2/28/20,174,2,156
2/29/20,174,2,157
3/1/20,174,2,163
3/2/20,174,2,168
3/3/20,174,2,169
3/4/20,174,2,169
3/5/20,174,2,169
3/6/20,174,2,170
3/7/20,174,2,170
3/8/20,174,2,170
3/9/20,174,2,170
3/10/20,174,2,170
3/11/20,174,2,170
3/12/20,174,2,170
3/13/20,174,2,170
3/14/20,174,2,172
3/15/20,174,2,172
3/16/20,176,2,172
3/17/20,176,2,172
3/18/20,176,2,172
3/19/20,176,2,172
3/20/20,176,2,172
3/21/20,176,2,172
3/22/20,176,2,172
3/23/20,176,2,172
3/24/20,176,2,172
3/25/20,176,2,172
3/26/20,178,2,172
3/27/20,180,2,172
3/28/20,180,2,172
3/29/20,180,2,172
3/30/20,180,2,172
3/31/20,182,2,172
4/1/20,182,2,172
4/2/20,183,2,172
4/3/20,184,2,172
4/4/20,184,2,172
4/5/20,184,2,172
4/6/20,184,2,172
4/7/20,184,2,173
4/8/20,184,2,173
4/9/20,184,2,173
4/10/20,184,2,173
4/11/20,184,2,174
4/12/20,184,2,174
4/13/20,184,2,174
4/14/20,184,2,175
4/15/20,184,2,176
4/16/20,184,2,176
4/17/20,184,2,177
4/18/20,184,2,177
4/19/20,184,2,178
4/20/20,184,2,178
4/21/20,184,2,178
4/22/20,184,2,178
4/23/20,184,2,180
4/24/20,185,2,180
4/25/20,185,2,181
4/26/20,185,2,181
4/27/20,185,2,181
4/28/20,185,2,181
4/29/20,185,2,181
4/30/20,185,2,181
5/1/20,185,2,181
5/2/20,185,2,181
5/3/20,185,2,181
5/4/20,185,2,181
5/5/20,185,2,181
5/6/20,185,2,181
5/7/20,185,2,182
5/8/20,185,2,182
5/9/20,185,2,183
5/10/20,185,2,183
5/11/20,185,2,183
5/12/20,185,2,183
5/13/20,185,2,183
5/14/20,185,2,183
5/15/20,185,2,183
5/16/20,185,2,183
5/17/20,185,2,183
5/18/20,185,2,183
5/19/20,185,2,183
5/20/20,185,2,183
5/21/20,185,2,183
5/22/20,185,2,183
5/23/20,185,2,183
5/24/20,185,2,183
5/25/20,185,2,183
5/26/20,185,2,183
5/27/20,185,2,183
5/28/20,185,2,183
5/29/20,185,2,183
5/30/20,185,2,183
5/31/20,185,2,183
6/1/20,185,2,183
6/2/20,185,2,183
6/3/20,185,2,183
6/4/20,185,2,183
6/5/20,185,2,183
6/6/20,185,2,183
6/7/20,185,2,183
6/8/20,185,2,183
6/9/20,185,2,183
6/10/20,185,2,183
6/11/20,185,2,183
6/12/20,185,2,183
6/13/20,185,2,183
6/14/20,185,2,183
6/15/20,185,2,183
6/16/20,185,2,183
6/17/20,185,2,183
