Date,Confirmed,Deaths,Recovered
1/22/20,10,0,0
1/23/20,27,0,0
1/24/20,43,0,1
1/25/20,62,0,1
1/26/20,104,0,1
1/27/20,128,0,1
1/28/20,173,0,3
1/29/20,296,0,3
1/30/20,428,0,4
1/31/20,538,0,14
2/1/20,599,0,21
2/2/20,661,0,32
2/3/20,724,0,43
2/4/20,829,0,62
2/5/20,895,0,78
2/6/20,954,0,94
2/7/20,1006,0,123
2/8/20,1048,0,175
2/9/20,1075,0,201
2/10/20,1092,0,242
2/11/20,1117,0,270
2/12/20,1131,0,321
2/13/20,1145,0,360
2/14/20,1155,0,403
2/15/20,1162,0,428
2/16/20,1167,0,456
2/17/20,1171,0,507
2/18/20,1172,0,535
2/19/20,1174,0,604
2/20/20,1175,1,633
2/21/20,1203,1,679
2/22/20,1205,1,719
2/23/20,1205,1,760
2/24/20,1205,1,782
2/25/20,1205,1,808
2/26/20,1205,1,867
2/27/20,1205,1,932
2/28/20,1205,1,975
2/29/20,1205,1,1016
3/1/20,1205,1,1046
3/2/20,1206,1,1069
3/3/20,1213,1,1093
3/4/20,1213,1,1114
3/5/20,1215,1,1124
3/6/20,1215,1,1147
3/7/20,1215,1,1154
3/8/20,1215,1,1161
3/9/20,1215,1,1176
3/10/20,1215,1,1191
3/11/20,1215,1,1195
3/12/20,1215,1,1197
3/13/20,1215,1,1197
3/14/20,1227,1,1211
3/15/20,1231,1,1211
3/16/20,1231,1,1216
3/17/20,1232,1,1216
3/18/20,1232,1,1216
3/19/20,1233,1,1217
3/20/20,1234,1,1219
3/21/20,1236,1,1219
3/22/20,1238,1,1219
3/23/20,1238,1,1221
3/24/20,1240,1,1221
3/25/20,1241,1,1221
3/26/20,1243,1,1222
3/27/20,1247,1,1222
3/28/20,1251,1,1225
3/29/20,1254,1,1225
3/30/20,1255,1,1225
3/31/20,1257,1,1226
4/1/20,1257,1,1226
4/2/20,1258,1,1228
4/3/20,1260,1,1228
4/4/20,1262,1,1229
4/5/20,1263,1,1230
4/6/20,1264,1,1230
4/7/20,1265,1,1230
4/8/20,1266,1,1232
4/9/20,1267,1,1235
4/10/20,1267,1,1235
4/11/20,1267,1,1236
4/12/20,1267,1,1238
4/13/20,1267,1,1239
4/14/20,1267,1,1242
4/15/20,1268,1,1244
4/16/20,1268,1,1244
4/17/20,1268,1,1246
4/18/20,1268,1,1246
4/19/20,1268,1,1247
4/20/20,1268,1,1249
4/21/20,1268,1,1251
4/22/20,1268,1,1252
4/23/20,1268,1,1256
4/24/20,1268,1,1256
4/25/20,1268,1,1257
4/26/20,1268,1,1258
4/27/20,1268,1,1261
4/28/20,1268,1,1262
4/29/20,1268,1,1263
4/30/20,1268,1,1264
5/1/20,1268,1,1265
5/2/20,1268,1,1265
5/3/20,1268,1,1265
5/4/20,1268,1,1267
5/5/20,1268,1,1267
5/6/20,1268,1,1267
5/7/20,1268,1,1267
5/8/20,1268,1,1267
5/9/20,1268,1,1267
5/10/20,1268,1,1267
5/11/20,1268,1,1267
5/12/20,1268,1,1267
5/13/20,1268,1,1267
5/14/20,1268,1,1267
5/15/20,1268,1,1267
5/16/20,1268,1,1267
5/17/20,1268,1,1267
5/18/20,1268,1,1267
5/19/20,1268,1,1267
5/20/20,1268,1,1267
5/21/20,1268,1,1267
5/22/20,1268,1,1267
5/23/20,1268,1,1267
5/24/20,1268,1,1267
5/25/20,1268,1,1267
5/26/20,1268,1,1267
5/27/20,1268,1,1267
5/28/20,1268,1,1267
5/29/20,1268,1,1267
5/30/20,1268,1,1267
5/31/20,1268,1,1267
6/1/20,1268,1,1267
6/2/20,1268,1,1267
6/3/20,1268,1,1267
6/4/20,1268,1,1267
6/5/20,1268,1,1267
6/6/20,1268,1,1267
6/7/20,1268,1,1267
6/8/20,1268,1,1267
6/9/20,1268,1,1267
6/10/20,1268,1,1267
6/11/20,1268,1,1267
6/12/20,1268,1,1267
6/13/20,1268,1,1267
6/14/20,1268,1,1267
6/15/20,1268,1,1267
6/16/20,1269,1,1267
6/17/20,1269,1,1267
