Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,3,0,0
3/11/20,9,0,0
3/12/20,9,0,0
3/13/20,13,0,0
3/14/20,22,0,0
3/15/20,34,0,0
3/16/20,54,0,0
3/17/20,65,0,1
3/18/20,93,0,1
3/19/20,102,0,1
3/20/20,128,0,1
3/21/20,196,0,1
3/22/20,231,2,3
3/23/20,277,3,3
3/24/20,378,3,6
3/25/20,470,4,8
3/26/20,491,6,8
3/27/20,539,6,10
3/28/20,608,6,10
3/29/20,702,10,10
3/30/20,798,12,15
3/31/20,906,16,31
4/1/20,1065,17,39
4/2/20,1161,19,55
4/3/20,1267,25,55
4/4/20,1406,32,85
4/5/20,1485,35,88
4/6/20,1579,46,88
4/7/20,1780,50,100
4/8/20,2054,54,123
4/9/20,2223,69,174
4/10/20,2473,80,197
4/11/20,2709,100,214
4/12/20,2776,109,270
4/13/20,2852,112,319
4/14/20,2979,127,354
4/15/20,3105,131,452
4/16/20,3233,144,550
4/17/20,3439,153,634
4/18/20,3439,153,634
4/19/20,3792,179,711
4/20/20,3977,189,804
4/21/20,4149,196,804
4/22/20,4356,206,870
4/23/20,4561,215,927
4/24/20,4881,225,1003
4/25/20,5142,233,1067
4/26/20,5379,244,1133
4/27/20,5597,253,1210
4/28/20,5949,269,1268
4/29/20,6207,278,1411
4/30/20,6507,293,1439
5/1/20,7006,314,1551
5/2/20,7285,324,1666
5/3/20,7668,340,1722
5/4/20,7973,358,1807
5/5/20,8613,378,2013
5/6/20,8959,397,2148
5/7/20,9456,407,2300
5/8/20,10051,428,2424
5/9/20,10495,445,2569
5/10/20,11063,463,2705
5/11/20,11613,479,2825
5/12/20,12272,493,2971
5/13/20,12930,509,3133
5/14/20,13610,525,3358
5/15/20,14216,546,3460
5/16/20,14939,562,3587
5/17/20,15574,574,3751
5/18/20,16295,592,3903
5/19/20,16935,613,4050
5/20/20,17687,630,4256
5/21/20,18330,652,4431
5/22/20,19131,682,4575
5/23/20,20177,705,4718
5/24/20,21175,727,5016
5/25/20,21981,750,5265
5/26/20,23003,776,5511
5/27/20,24104,803,6111
5/28/20,24141,833,6132
5/29/20,25406,855,6687
5/30/20,26734,891,6935
5/31/20,27219,916,7032
6/1/20,29384,963,8384
6/2/20,30593,1014,9689
6/3/20,31935,1057,11171
6/4/20,33466,1099,12319
6/5/20,36759,1204,13670
6/6/20,36759,1204,13670
6/7/20,38149,1265,14414
6/8/20,40847,1373,16459
6/9/20,40847,1373,16459
6/10/20,42206,1439,16566
6/11/20,43810,1505,17366
6/12/20,45344,1562,17823
6/13/20,46994,1623,18749
6/14/20,48896,1670,19460
6/15/20,53168,1808,19985
6/16/20,53211,1808,19986
6/17/20,55083,1887,20400
